datetime,gpsdate,dN,dE,dU,sN,sE,sU
2010.00548,2010-01-02,-93.0530,234.4860,-15.9640,1.6360,1.3970,7.0040
2010.03836,2010-01-14,-94.9900,234.2970,-40.7450,1.8020,1.6150,8.3520
2010.04110,2010-01-15,-96.8890,234.9060,-35.3330,1.3830,1.2660,6.2610
2010.04384,2010-01-16,-94.9440,235.7050,-38.1740,1.3590,1.2440,6.2970
2010.04658,2010-01-17,-96.1360,236.3180,-36.5690,1.3320,1.2180,6.0870
2010.04932,2010-01-18,-96.8140,234.8420,-33.4300,1.3850,1.3190,6.4570
2010.05205,2010-01-19,-94.3680,236.2420,-27.0020,1.3500,1.2990,6.2420
2010.05479,2010-01-20,-93.8410,237.4940,-30.0840,1.5570,1.3820,7.0260
2010.05753,2010-01-21,-91.6070,236.2810,-19.4830,1.4050,1.3370,6.6170
2010.06027,2010-01-22,-94.8830,235.9620,-26.7900,1.3030,1.1980,5.9870
2010.06301,2010-01-23,-95.1660,236.6100,-29.5700,1.3310,1.2490,6.0770
2010.06575,2010-01-24,-96.2240,237.0690,-20.6520,1.3600,1.2560,6.2190
2010.06849,2010-01-25,-91.3070,236.9120,-19.9730,1.3920,1.2310,6.2670
2010.07123,2010-01-26,-95.2610,234.9740,-28.6360,1.3450,1.2540,6.0590
2010.07397,2010-01-27,-94.5230,237.1080,-30.1550,1.3940,1.3080,6.3430
2010.07671,2010-01-28,-96.3990,237.2070,-20.4990,1.4150,1.3250,6.4150
2010.07945,2010-01-29,-96.3850,237.7720,-17.1320,1.3570,1.2500,6.1350
2010.08219,2010-01-30,-97.2340,236.6650,-24.6640,1.3690,1.2600,6.1690
2010.08493,2010-01-31,-94.4220,234.8820,-22.0720,1.3930,1.3240,6.4340
2010.08767,2010-02-01,-95.4050,234.8870,-28.0530,1.4260,1.3070,6.4550
2010.09041,2010-02-02,-94.9820,236.6930,-20.0350,1.4140,1.3220,6.5690
2010.09315,2010-02-03,-95.4110,235.2610,-26.0520,1.3750,1.2650,6.2320
2010.09589,2010-02-04,-95.1730,236.0880,-21.0640,1.4100,1.2950,6.4120
2010.09863,2010-02-05,-96.3410,237.6830,-22.2700,1.4460,1.3180,6.5200
2010.10137,2010-02-06,-94.8040,237.5240,-16.6100,1.3980,1.2350,6.3390
2010.10411,2010-02-07,-96.3180,236.9690,-34.0170,1.4640,1.3410,6.7740
2010.10685,2010-02-08,-94.7970,237.7460,-21.6920,1.4930,1.3240,6.7910
2010.10959,2010-02-09,-93.4400,239.1860,-19.0910,1.5560,1.4840,7.4040
2010.11233,2010-02-10,-89.2980,240.1150,-10.8000,1.6760,1.5300,7.7620
2010.11507,2010-02-11,-91.7320,236.6290,-25.7670,1.5640,1.4070,7.2940
2010.11781,2010-02-12,-92.4100,234.2300,-31.6630,1.4520,1.2950,6.6560
2010.12055,2010-02-13,-94.6670,238.9530,-24.3820,1.3980,1.2680,6.3660
2010.12329,2010-02-14,-91.1830,236.8890,-12.3950,1.3430,1.2390,6.2710
2010.12603,2010-02-15,-91.2480,240.7400,-6.3900,1.3990,1.2590,6.3920
2010.12877,2010-02-16,-92.5890,239.6900,-26.2280,1.4640,1.3360,6.7100
