datetime,gpsdate,dN,dE,dU,sN,sE,sU
2010.00548,2010-01-02,-36.1060,71.6480,-71.7190,0.8050,0.8160,3.3520
2010.00822,2010-01-03,-37.1660,72.9050,-69.4800,0.7940,0.8060,3.2820
2010.01096,2010-01-04,-36.9170,72.7650,-73.5920,0.7920,0.8120,3.2930
2010.01370,2010-01-05,-36.1560,72.9100,-74.7490,0.7860,0.8110,3.2720
2010.01644,2010-01-06,-37.2830,74.6960,-76.6240,0.7950,0.8120,3.3340
2010.01918,2010-01-07,-36.0210,71.9290,-77.6820,0.7980,0.8120,3.3420
2010.02192,2010-01-08,-37.1420,72.4810,-76.9730,0.7920,0.8040,3.2860
2010.02466,2010-01-09,-37.1080,72.0510,-75.5830,0.7960,0.8140,3.3140
2010.02740,2010-01-10,-35.4470,71.4540,-75.2140,0.7970,0.8150,3.3560
2010.03014,2010-01-11,-36.3260,70.9910,-73.6530,0.7900,0.8050,3.3000
2010.03288,2010-01-12,-39.0350,73.4850,-65.4290,0.7940,0.8110,3.3220
2010.03562,2010-01-13,-39.0710,73.1630,-72.6030,0.8110,0.8150,3.3810
2010.03836,2010-01-14,-38.8610,72.3660,-78.3270,0.8160,0.8430,3.4400
2010.04110,2010-01-15,-38.7000,73.3790,-77.1360,0.7960,0.8430,3.4010
2010.04384,2010-01-16,-37.5820,72.2040,-79.9520,0.7950,0.8090,3.3340
2010.04658,2010-01-17,-40.3150,73.7240,-78.9680,0.7860,0.8060,3.2920
2010.04932,2010-01-18,-38.8180,72.2540,-78.3060,0.7960,0.8160,3.3350
2010.05205,2010-01-19,-38.9350,73.3470,-76.5060,0.8100,0.8210,3.3470
2010.05479,2010-01-20,-36.4870,72.8620,-77.3070,0.8260,0.8260,3.3670
2010.05753,2010-01-21,-36.9270,73.4250,-77.8440,0.8030,0.8100,3.3210
2010.06027,2010-01-22,-40.2250,74.7710,-75.3520,0.7900,0.8120,3.2850
2010.06301,2010-01-23,-39.4700,73.5940,-76.4850,0.7970,0.8120,3.3190
2010.06575,2010-01-24,-39.5870,74.2860,-73.0470,0.7930,0.8130,3.3090
2010.06849,2010-01-25,-39.1420,73.5930,-75.2420,0.8000,0.8190,3.3400
2010.07123,2010-01-26,-39.1650,74.1700,-76.5410,0.8180,0.8570,3.4240
