datetime,gpsdate,dN,dE,dU,sN,sE,sU
2010.00548,2010-01-02,-27.9320,86.6550,-110.1330,0.7970,0.8110,3.3170
2010.00822,2010-01-03,-28.7980,86.1890,-112.5280,0.8000,0.8150,3.3270
2010.01096,2010-01-04,-29.1960,85.8710,-112.0840,0.7880,0.8030,3.2640
2010.01370,2010-01-05,-28.5160,87.1360,-118.7210,0.7930,0.8170,3.3160
2010.01644,2010-01-06,-29.3670,87.6030,-115.7780,0.8000,0.8180,3.3400
2010.01918,2010-01-07,-27.8720,85.1950,-118.4660,0.7970,0.8110,3.3370
2010.02192,2010-01-08,-28.3420,86.5320,-117.6490,0.7910,0.8100,3.2930
2010.02466,2010-01-09,-28.8210,86.5900,-117.4410,0.7940,0.8180,3.3200
2010.02740,2010-01-10,-27.6740,84.6800,-118.9550,0.7890,0.8100,3.3020
2010.03014,2010-01-11,-27.8330,84.1750,-116.7110,0.7900,0.8100,3.3090
2010.03288,2010-01-12,-29.9320,86.2810,-112.6460,0.7930,0.8120,3.3200
2010.03562,2010-01-13,-30.1970,86.6640,-114.5690,0.8140,0.8270,3.4000
2010.03836,2010-01-14,-30.0020,85.4990,-120.7650,0.8200,0.8510,3.4650
2010.04110,2010-01-15,-30.2240,87.2760,-121.2070,0.7930,0.8330,3.3660
2010.04384,2010-01-16,-28.6700,85.3290,-123.2800,0.7840,0.8040,3.2760
2010.04658,2010-01-17,-31.4840,87.2440,-122.3160,0.7820,0.8020,3.2590
2010.04932,2010-01-18,-29.6080,85.0090,-123.5130,0.7950,0.8170,3.3250
2010.05205,2010-01-19,-29.1190,86.1950,-120.3960,0.8020,0.8190,3.3320
2010.05479,2010-01-20,-28.2580,86.3390,-120.2140,0.8180,0.8270,3.3790
2010.05753,2010-01-21,-27.6560,86.6410,-121.6490,0.8010,0.8200,3.3570
2010.06027,2010-01-22,-31.5230,87.1690,-120.3210,0.7860,0.8060,3.2940
2010.06301,2010-01-23,-30.6300,86.5320,-123.8240,0.7950,0.8180,3.3460
2010.06575,2010-01-24,-30.3020,86.4030,-121.6380,0.7910,0.8130,3.3080
2010.06849,2010-01-25,-29.9320,86.5910,-120.1260,0.7990,0.8070,3.3310
2010.07123,2010-01-26,-31.6180,87.1060,-121.1810,0.9040,0.9640,3.7830
2010.07397,2010-01-27,-31.4420,88.8980,-124.6500,0.8040,0.8360,3.3320
2010.07671,2010-01-28,-30.9950,87.3820,-123.0450,0.7950,0.8160,3.3390
2010.07945,2010-01-29,-30.6660,88.5770,-126.5180,0.7920,0.8080,3.2930
2010.08219,2010-01-30,-30.3130,87.0100,-125.0540,0.7910,0.8080,3.3080
2010.08493,2010-01-31,-29.6240,87.8320,-127.3740,0.7880,0.8080,3.3050
2010.08767,2010-02-01,-29.7270,88.1330,-124.9580,0.7890,0.8150,3.3190
2010.09041,2010-02-02,-29.9060,88.4300,-126.1590,0.8160,0.8340,3.4160
2010.09315,2010-02-03,-29.5150,87.7490,-125.4110,0.7860,0.8090,3.2740
2010.09589,2010-02-04,-27.7570,86.2810,-127.6150,0.8020,0.8220,3.3440
2010.09863,2010-02-05,-31.8780,88.5370,-127.6990,0.8040,0.8300,3.3760
2010.10137,2010-02-06,-29.7540,89.5450,-126.6660,0.8060,0.8430,3.5000
2010.10411,2010-02-07,-30.9580,88.1820,-130.0550,0.8220,0.8270,3.4730
2010.10685,2010-02-08,-28.9440,89.5540,-123.8870,0.8420,0.8600,3.5980
2010.10959,2010-02-09,-29.4060,88.8350,-126.1070,0.8460,0.8390,3.5220
2010.11233,2010-02-10,-28.7610,90.9170,-125.1620,0.8320,0.8790,3.5510
2010.11781,2010-02-12,-24.3730,89.6120,-128.5130,0.8300,0.8420,3.5730
2010.12055,2010-02-13,-28.2370,89.6660,-134.8180,0.7890,0.8120,3.3590
2010.12329,2010-02-14,-26.1540,88.7070,-136.1510,0.8050,0.8230,3.4390
2010.12603,2010-02-15,-27.2900,91.6560,-133.4260,0.8500,0.8750,3.6260
2010.12877,2010-02-16,-27.4520,90.0950,-133.0060,0.8390,0.8720,3.6240
2010.13151,2010-02-17,-29.8730,90.7980,-129.7790,0.8180,0.8440,3.4650
2010.13425,2010-02-18,-31.4050,92.1020,-127.6800,0.8240,0.8490,3.4690
2010.13699,2010-02-19,-29.5950,91.7830,-130.3630,0.8230,0.8600,3.5330
2010.13973,2010-02-20,-31.0860,92.5890,-129.6530,0.7920,0.8190,3.3840
2010.14247,2010-02-21,-27.8860,92.2270,-132.1070,0.7920,0.8120,3.3540
2010.14521,2010-02-22,-30.4560,93.1290,-131.7340,0.8300,0.8440,3.5320
2010.14795,2010-02-23,-32.1990,93.5010,-128.9860,0.8280,0.8400,3.4830
2010.15068,2010-02-24,-32.0460,94.6740,-131.3000,0.8330,0.8580,3.6210
2010.15342,2010-02-25,-29.6910,90.7140,-123.0730,0.8350,0.8630,3.6370
2010.15616,2010-02-26,-29.2850,92.9060,-128.6150,0.8030,0.8300,3.4690
2010.15890,2010-02-27,-28.8570,93.0360,-137.9810,0.8360,0.8330,3.5700
2010.16164,2010-02-28,-29.4270,91.7890,-133.0590,0.7980,0.8140,3.4290
2010.16438,2010-03-01,-28.6420,93.1750,-132.3010,0.8000,0.8120,3.3920
2010.16712,2010-03-02,-31.0420,92.0790,-127.8730,0.8240,0.8340,3.5150
2010.16986,2010-03-03,-31.6390,92.5310,-128.8970,0.8040,0.8270,3.4310
2010.17260,2010-03-04,-28.4390,94.3680,-129.1360,0.8040,0.8140,3.4200
2010.17534,2010-03-05,-30.2090,93.4330,-130.5530,0.7880,0.8150,3.3460
2010.17808,2010-03-06,-29.2380,92.0730,-139.2780,0.8270,0.8190,3.4580
2010.18082,2010-03-07,-28.3050,92.5360,-141.9230,0.8030,0.8160,3.3860
2010.18356,2010-03-08,-27.8360,93.1130,-141.5550,0.8110,0.8200,3.4240
2010.18630,2010-03-09,-30.0150,92.8080,-138.2270,0.8030,0.8080,3.3700
2010.18904,2010-03-10,-29.5720,91.9730,-139.3400,0.7920,0.8070,3.3370
2010.19178,2010-03-11,-29.6660,94.1030,-141.0440,0.7960,0.8120,3.3620
2010.19452,2010-03-12,-29.8460,92.4830,-126.6430,0.8390,0.8480,3.6020
2010.19726,2010-03-13,-29.5980,92.5540,-135.4410,0.8080,0.8180,3.4090
2010.20000,2010-03-14,-29.8140,94.9500,-134.4680,0.8070,0.8210,3.4250
2010.20274,2010-03-15,-28.4180,94.7130,-135.0570,0.8020,0.8100,3.3670
2010.20548,2010-03-16,-28.3980,92.2890,-138.5250,0.8140,0.8420,3.4990
2010.20822,2010-03-17,-30.1230,94.6550,-140.8280,0.8140,0.8400,3.4840
2010.21096,2010-03-18,-28.9690,94.0810,-142.7710,0.7990,0.8140,3.3500
2010.21370,2010-03-19,-28.9890,94.9750,-134.6920,0.8140,0.8190,3.3980
2010.21644,2010-03-20,-30.3970,94.7130,-134.4210,0.8220,0.8380,3.4650
2010.21918,2010-03-21,-29.3940,93.6640,-135.9340,0.8030,0.8070,3.3510
