datetime,gpsdate,dN,dE,dU,sN,sE,sU
2010.00548,2010-01-02,-32.3260,84.8550,2.7310,0.8190,0.8540,3.5940
2010.00822,2010-01-03,-33.8260,84.1410,3.4930,0.8240,0.8530,3.5520
2010.01096,2010-01-04,-33.3160,84.1350,-3.5700,0.8100,0.8490,3.5590
2010.01370,2010-01-05,-32.8400,84.7200,-2.3870,0.8150,0.8530,3.5660
2010.01644,2010-01-06,-33.3150,86.3450,-4.6800,0.8180,0.8530,3.5980
2010.01918,2010-01-07,-33.0140,83.4020,-4.3240,0.8210,0.8470,3.5810
2010.02192,2010-01-08,-33.1240,84.8100,0.9630,0.8120,0.8420,3.5310
2010.02466,2010-01-09,-33.7820,84.8540,-4.0020,0.8160,0.8610,3.5770
2010.02740,2010-01-10,-32.5170,83.0190,-3.2470,0.8210,0.8600,3.5860
2010.03014,2010-01-11,-32.5640,83.3510,-0.0490,0.8130,0.8470,3.5580
2010.03288,2010-01-12,-34.5710,84.8750,-4.8880,0.8150,0.8460,3.6020
2010.03562,2010-01-13,-34.9960,85.5950,-3.9050,0.8290,0.8560,3.6260
2010.03836,2010-01-14,-34.2110,84.9990,-8.5330,0.8430,0.8890,3.7610
2010.04110,2010-01-15,-34.9410,85.8260,-8.3550,0.8150,0.8760,3.6210
2010.04384,2010-01-16,-34.5500,84.6890,-6.6080,0.8100,0.8430,3.5180
2010.04658,2010-01-17,-36.4070,85.6640,-6.6040,0.8060,0.8510,3.5460
2010.04932,2010-01-18,-34.7120,84.3430,-3.7080,0.8140,0.8510,3.5510
2010.05205,2010-01-19,-33.5550,85.0720,-4.4440,0.8280,0.8600,3.5960
2010.05479,2010-01-20,-32.9920,85.4790,-0.8100,0.8440,0.8700,3.6180
2010.05753,2010-01-21,-33.1670,86.3110,0.1110,0.8180,0.8590,3.5870
2010.06027,2010-01-22,-36.0550,86.3310,-0.0110,0.8200,0.8550,3.5840
2010.06301,2010-01-23,-35.4770,85.4730,-3.0440,0.8160,0.8450,3.5380
2010.06575,2010-01-24,-34.6490,85.9520,-1.3980,0.8230,0.8580,3.6110
2010.06849,2010-01-25,-34.4800,84.2570,-0.4160,0.8290,0.8690,3.6550
2010.07123,2010-01-26,-35.3760,85.4790,-3.0730,0.8360,0.8900,3.6310
2010.07397,2010-01-27,-36.2830,85.6580,0.6250,0.8350,0.8900,3.6120
2010.07671,2010-01-28,-35.7560,86.2540,-2.3470,0.8160,0.8400,3.5340
2010.07945,2010-01-29,-36.3120,86.5860,-1.7840,0.8230,0.8600,3.5890
2010.08219,2010-01-30,-35.8000,84.4000,2.3880,0.8260,0.8530,3.6220
2010.08493,2010-01-31,-34.5620,85.3210,3.0360,0.8170,0.8630,3.6230
