datetime,gpsdate,dN,dE,dU,sN,sE,sU
2010.00548,2010-01-02,-39.9930,86.9160,-103.5910,0.8600,0.9130,3.7700
2010.00822,2010-01-03,-41.0750,85.8900,-105.3650,0.8410,0.8990,3.6530
2010.01096,2010-01-04,-41.0320,87.0550,-106.3490,0.8380,0.8790,3.6690
2010.01370,2010-01-05,-40.1190,87.4890,-105.6660,0.8360,0.8860,3.6530
2010.01644,2010-01-06,-41.6160,88.7390,-111.1900,0.8430,0.8910,3.6980
2010.01918,2010-01-07,-39.9900,86.8740,-110.0560,0.8490,0.9060,3.7080
2010.02192,2010-01-08,-40.4650,87.5380,-111.4930,0.8470,0.9000,3.7310
2010.02466,2010-01-09,-41.3960,86.4640,-109.6590,0.8440,0.9020,3.6990
2010.02740,2010-01-10,-39.4840,85.4520,-110.0480,0.8420,0.8950,3.7160
2010.03014,2010-01-11,-39.9430,85.6620,-105.2290,0.8460,0.8890,3.6720
2010.03288,2010-01-12,-42.1440,88.1520,-100.8360,0.8590,0.9170,3.7900
2010.03562,2010-01-13,-42.9930,87.8680,-107.4100,0.8530,0.8930,3.7420
2010.03836,2010-01-14,-43.3080,87.2580,-114.0120,0.8600,0.9320,3.8530
2010.04110,2010-01-15,-42.2170,87.8490,-113.1880,0.8330,0.9140,3.7310
2010.04384,2010-01-16,-41.5560,89.1870,-111.4260,0.8400,0.8940,3.7600
2010.04658,2010-01-17,-44.7700,89.3910,-112.9930,0.8440,0.8900,3.7290
2010.04932,2010-01-18,-42.8220,87.6000,-110.9650,0.8380,0.8890,3.6780
2010.05205,2010-01-19,-43.4590,88.4660,-109.5260,0.8510,0.9000,3.7390
2010.05479,2010-01-20,-40.5070,88.0800,-112.0290,0.8800,0.9200,3.8420
2010.05753,2010-01-21,-42.7180,89.1670,-106.7390,1.0360,1.1570,4.6640
2010.06027,2010-01-22,-45.0340,91.1450,-107.8360,0.8340,0.8870,3.6700
2010.06301,2010-01-23,-43.8230,89.3440,-113.6450,0.8370,0.8790,3.6400
2010.06575,2010-01-24,-44.1410,89.1220,-110.6390,0.8400,0.9050,3.7520
2010.06849,2010-01-25,-42.8540,87.8800,-111.1680,0.8390,0.8860,3.7110
2010.07123,2010-01-26,-44.3360,88.5140,-113.7560,0.9250,1.0170,4.0840
2010.07397,2010-01-27,-45.1990,91.3130,-118.9100,0.8500,0.9160,3.7130
2010.07671,2010-01-28,-44.7960,89.8590,-111.9320,0.8420,0.8970,3.7310
2010.07945,2010-01-29,-45.3610,91.2760,-116.7950,0.8340,0.8760,3.6230
2010.08219,2010-01-30,-44.7550,88.1220,-114.2050,0.8420,0.8850,3.7430
2010.08493,2010-01-31,-43.8390,91.0210,-119.7990,0.8290,0.8810,3.6240
2010.08767,2010-02-01,-44.3970,90.2230,-115.7630,0.8290,0.8820,3.6280
2010.09041,2010-02-02,-44.2940,90.0480,-118.9440,0.8550,0.8870,3.7070
2010.09315,2010-02-03,-43.8420,90.5380,-119.8110,0.8360,0.8970,3.7080
2010.09589,2010-02-04,-42.6440,88.6620,-117.4550,0.8560,0.9050,3.7680
2010.09863,2010-02-05,-46.1000,90.0180,-119.1700,0.8650,0.9080,3.7980
2010.10137,2010-02-06,-43.8600,91.5870,-113.4510,0.8530,0.9050,3.8340
2010.10411,2010-02-07,-42.2420,90.6240,-120.6560,0.8750,0.9040,3.8880
2010.10685,2010-02-08,-45.8380,94.2830,-114.6870,0.8800,0.9460,3.9660
2010.10959,2010-02-09,-42.9040,90.9260,-126.6750,0.8920,0.9270,3.9610
2010.11233,2010-02-10,-42.7980,93.4840,-122.0140,0.8980,0.9820,4.0600
2010.11781,2010-02-12,-40.2990,91.8320,-125.5890,0.8690,0.9140,3.9340
2010.12055,2010-02-13,-42.9670,92.5680,-127.5830,0.8330,0.8950,3.7350
2010.12329,2010-02-14,-40.6210,90.0610,-134.7530,0.8470,0.8930,3.7640
2010.12603,2010-02-15,-41.5020,92.8520,-127.8150,0.8760,0.9390,3.8990
2010.12877,2010-02-16,-41.9030,92.0860,-130.6480,0.8860,0.9310,3.9780
2010.13151,2010-02-17,-45.1900,92.4350,-123.0740,0.8570,0.9090,3.7820
2010.13425,2010-02-18,-45.3210,92.8310,-128.1470,0.8430,0.9030,3.7110
2010.13699,2010-02-19,-44.3210,92.7200,-125.5510,0.8560,0.9190,3.7880
2010.13973,2010-02-20,-44.3960,92.5960,-122.7380,0.8340,0.8710,3.6340
2010.14247,2010-02-21,-41.3600,94.5180,-125.1770,0.8280,0.8680,3.6210
2010.14521,2010-02-22,-44.4970,94.8330,-123.0880,0.8630,0.8980,3.7740
2010.14795,2010-02-23,-46.1930,95.0370,-118.6270,0.8860,0.9170,3.8770
2010.15068,2010-02-24,-44.6330,96.6060,-120.1460,0.8850,0.9380,3.9410
2010.15342,2010-02-25,-41.9530,90.5640,-127.2730,0.8810,0.9470,3.9860
2010.15616,2010-02-26,-42.4950,93.6750,-124.7760,0.8520,0.8900,3.7730
2010.15890,2010-02-27,-42.7300,94.5310,-130.9290,0.8800,0.9110,3.8910
2010.16164,2010-02-28,-43.1150,92.2600,-127.5830,0.8310,0.8640,3.6210
2010.16438,2010-03-01,-41.6580,93.3790,-130.6730,0.8410,0.8840,3.7170
2010.16712,2010-03-02,-44.6690,92.7380,-127.8890,0.8800,0.9090,3.8480
2010.16986,2010-03-03,-44.3380,93.1620,-126.5940,0.8540,0.8830,3.7490
2010.17260,2010-03-04,-44.0750,95.5490,-129.3140,0.8610,0.9000,3.8040
2010.17534,2010-03-05,-44.5330,94.2120,-125.1820,0.8420,0.8990,3.7010
2010.17808,2010-03-06,-42.4190,94.8680,-129.8990,0.8630,0.8950,3.7550
2010.18082,2010-03-07,-42.8280,94.1380,-136.9950,0.8430,0.8940,3.6880
2010.18356,2010-03-08,-42.4180,94.7480,-139.6110,0.8530,0.8910,3.7340
2010.18630,2010-03-09,-43.8850,94.5230,-136.0430,0.8320,0.8570,3.6040
2010.18904,2010-03-10,-43.9980,93.4370,-131.5560,0.8410,0.8740,3.6860
2010.19178,2010-03-11,-44.3550,96.3690,-137.2660,0.8370,0.8750,3.6380
2010.19452,2010-03-12,-44.4550,93.9860,-123.0340,0.8810,0.9090,3.8520
2010.19726,2010-03-13,-44.1260,94.1330,-133.4720,0.8610,0.8930,3.7410
2010.20000,2010-03-14,-44.7190,96.5250,-127.2250,0.8460,0.8690,3.6540
2010.20274,2010-03-15,-43.1700,95.7330,-129.0460,0.8500,0.8840,3.7150
2010.20548,2010-03-16,-42.4880,93.8110,-136.1120,0.8680,0.9040,3.8220
2010.20822,2010-03-17,-45.2760,96.6410,-136.7200,0.8520,0.8950,3.7230
2010.21096,2010-03-18,-42.9850,96.1390,-136.5690,0.8460,0.8720,3.6290
2010.21370,2010-03-19,-43.6400,96.9830,-132.6150,0.8470,0.8740,3.6800
2010.21644,2010-03-20,-44.7110,97.3210,-126.7470,0.8750,0.8920,3.7690
2010.21918,2010-03-21,-44.8090,95.3810,-133.1130,0.8510,0.8840,3.6990
2010.22192,2010-03-22,-45.1370,97.2620,-132.2050,0.8830,0.9040,3.8220
2010.22466,2010-03-23,-45.0450,96.6370,-134.9170,0.8980,0.9070,3.8830
2010.22740,2010-03-24,-41.8030,95.2530,-142.5750,0.8720,0.9030,3.7520
2010.23014,2010-03-25,-44.2060,96.3320,-128.5410,0.8680,0.8950,3.8060
2010.23288,2010-03-26,-44.5570,95.3340,-140.6380,0.8720,0.8900,3.7430
2010.23562,2010-03-27,-44.4570,97.7630,-145.7520,0.8920,0.9090,3.8670
2010.23836,2010-03-28,-45.0240,96.6830,-139.8800,0.8810,0.8980,3.7750
2010.24110,2010-03-29,-47.1660,95.1620,-142.7490,0.8780,0.8900,3.7830
2010.24384,2010-03-30,-45.1430,93.9500,-147.3930,0.9160,0.9750,3.9810
2010.24658,2010-03-31,-45.9940,96.2630,-146.0890,0.8820,0.8990,3.7870
2010.24932,2010-04-01,-46.0670,96.1380,-135.2650,0.8670,0.8920,3.6930
2010.25205,2010-04-02,-45.4830,94.9660,-143.3320,0.9030,0.9190,3.9260
2010.25479,2010-04-03,-44.5890,94.8250,-152.9330,0.8810,0.8980,3.7800
2010.25753,2010-04-04,-46.2410,97.1810,-136.5680,0.8780,0.8930,3.7450
2010.26027,2010-04-05,-45.3930,98.1000,-140.6010,0.8790,0.9100,3.8410
2010.26301,2010-04-06,-47.4330,96.8640,-145.5850,0.9400,0.9520,4.2030
2010.26575,2010-04-07,-45.7910,98.2260,-143.4640,0.8820,0.8900,3.7570
2010.26849,2010-04-08,-47.0070,100.5770,-141.1490,0.9070,0.9360,4.0340
2010.27123,2010-04-09,-45.7830,98.0310,-138.8860,0.8980,0.9270,3.9110
2010.27397,2010-04-10,-44.7900,97.4390,-142.3800,0.9100,0.9620,3.9690
2010.27671,2010-04-11,-45.3400,99.5350,-143.3460,0.8960,0.9360,3.9020
2010.27945,2010-04-12,-45.1350,95.7820,-146.1810,0.8830,0.9050,3.7700
2010.28219,2010-04-13,-43.0220,94.3250,-144.0600,0.8720,0.8830,3.7160
2010.28493,2010-04-14,-44.0720,97.9670,-146.9840,0.9050,0.9390,3.8820
2010.28767,2010-04-15,-44.7900,96.9330,-148.6690,0.9140,0.9420,3.9480
2010.29041,2010-04-16,-45.5070,96.6370,-146.8240,0.8740,0.8940,3.7380
2010.29315,2010-04-17,-43.7110,94.3840,-149.4810,0.8660,0.9000,3.7200
2010.29589,2010-04-18,-43.9250,97.2060,-147.4780,0.8850,0.9190,3.8930
2010.29863,2010-04-19,-43.8740,96.7870,-141.4730,0.8790,0.8980,3.7530
2010.30137,2010-04-20,-44.5480,96.5640,-152.8020,0.8910,0.9320,3.9250
2010.30411,2010-04-21,-44.5380,97.7180,-159.2690,0.9070,0.9270,4.0920
2010.30685,2010-04-22,-45.5440,95.3140,-156.2720,0.9180,0.9670,3.9890
2010.30959,2010-04-23,-44.9260,97.4860,-151.2330,0.8810,0.8980,3.8380
2010.31233,2010-04-24,-43.5400,97.5270,-147.8940,0.8750,0.8870,3.7280
2010.31507,2010-04-25,-44.7320,97.3080,-154.0420,0.8650,0.8900,3.7190
2010.31781,2010-04-26,-42.9800,96.0770,-149.8830,0.8620,0.8820,3.6580
2010.32055,2010-04-27,-43.5580,97.0160,-146.2600,0.8820,0.8780,3.7010
2010.32329,2010-04-28,-46.7960,95.8090,-146.4940,0.8880,0.9020,3.7620
2010.32603,2010-04-29,-46.0520,95.9950,-152.2050,0.9250,0.9320,3.9860
2010.32877,2010-04-30,-44.8280,97.0000,-151.7640,0.8850,0.8820,3.7240
2010.33151,2010-05-01,-45.9970,96.7420,-155.2850,0.8580,0.8740,3.6080
2010.33699,2010-05-03,-47.8350,95.6590,-142.7550,0.8820,0.8930,3.7060
2010.33973,2010-05-04,-49.1040,98.4260,-141.5870,0.8660,0.8860,3.6870
2010.34247,2010-05-05,-47.1880,97.2320,-149.1310,0.8730,0.8910,3.7320
2010.34521,2010-05-06,-46.9490,98.5720,-141.4010,0.8610,0.8890,3.7500
