date,dE,dE_trend,dE_0.25yr,dE_0.5yr,dE_1yr,dE_1.86yr,dE_2.15yr,dE_5.69yr,dE_jump,dE_exp,dE_model,dE_noise,dE_wtest,flagged
2010-01-02,0.086916,0.090228,-0.000230,0.000023,-0.001155,0.000650,0.001079,-0.000009,0.000000,0.000000,0.090586,-0.003670,-1.048541,False
2010-01-03,0.085890,0.090314,-0.000237,0.000018,-0.001148,0.000645,0.001075,-0.000017,0.000000,0.000000,0.090650,-0.004760,-1.359892,False
2010-01-04,0.087055,0.090400,-0.000243,0.000013,-0.001141,0.000639,0.001071,-0.000025,0.000000,0.000000,0.090715,-0.003660,-1.045619,False
2010-01-05,0.087489,0.090485,-0.000247,0.000008,-0.001133,0.000633,0.001067,-0.000033,0.000000,0.000000,0.090781,-0.003292,-0.940589,False
2010-01-06,0.088739,0.090571,-0.000250,0.000003,-0.001125,0.000628,0.001063,-0.000041,0.000000,0.000000,0.090849,-0.002110,-0.602809,False
2010-01-07,0.086874,0.090657,-0.000252,-0.000002,-0.001117,0.000622,0.001060,-0.000050,0.000000,0.000000,0.090918,-0.004044,-1.155426,False
2010-01-08,0.087538,0.090742,-0.000253,-0.000006,-0.001109,0.000616,0.001056,-0.000058,0.000000,0.000000,0.090989,-0.003451,-0.985874,False
2010-01-09,0.086464,0.090828,-0.000252,-0.000011,-0.001100,0.000610,0.001051,-0.000066,0.000000,0.000000,0.091061,-0.004597,-1.313297,False
2010-01-10,0.085452,0.090914,-0.000251,-0.000016,-0.001090,0.000604,0.001047,-0.000074,0.000000,0.000000,0.091134,-0.005682,-1.623411,False
2010-01-11,0.085662,0.090999,-0.000248,-0.000021,-0.001081,0.000599,0.001043,-0.000083,0.000000,0.000000,0.091209,-0.005547,-1.584785,False
2010-01-12,0.088152,0.091085,-0.000244,-0.000026,-0.001071,0.000593,0.001039,-0.000091,0.000000,0.000000,0.091285,-0.003133,-0.895131,False
2010-01-13,0.087868,0.091171,-0.000239,-0.000031,-0.001061,0.000587,0.001034,-0.000099,0.000000,0.000000,0.091363,-0.003495,-0.998446,False
2010-01-14,0.087258,0.091257,-0.000233,-0.000035,-0.001050,0.000580,0.001030,-0.000107,0.000000,0.000000,0.091442,-0.004184,-1.195294,False
2010-01-15,0.087849,0.091342,-0.000225,-0.000040,-0.001040,0.000574,0.001026,-0.000115,0.000000,0.000000,0.091522,-0.003673,-1.049382,False
2010-01-16,0.089187,0.091428,-0.000217,-0.000045,-0.001029,0.000568,0.001021,-0.000124,0.000000,0.000000,0.091603,-0.002416,-0.690415,False
2010-01-17,0.089391,0.091514,-0.000207,-0.000049,-0.001017,0.000562,0.001016,-0.000132,0.000000,0.000000,0.091686,-0.002295,-0.655812,False
2010-01-18,0.087600,0.091599,-0.000197,-0.000054,-0.001005,0.000556,0.001012,-0.000140,0.000000,0.000000,0.091770,-0.004170,-1.191561,False
2010-01-19,0.088466,0.091685,-0.000186,-0.000058,-0.000993,0.000549,0.001007,-0.000148,0.000000,0.000000,0.091856,-0.003390,-0.968505,False
2010-01-20,0.088080,0.091771,-0.000173,-0.000063,-0.000981,0.000543,0.001002,-0.000156,0.000000,0.000000,0.091942,-0.003862,-1.103487,False
2010-01-21,0.089167,0.091856,-0.000160,-0.000067,-0.000969,0.000536,0.000997,-0.000164,0.000000,0.000000,0.092030,-0.002863,-0.817919,False
2010-01-22,0.091145,0.091942,-0.000146,-0.000071,-0.000956,0.000530,0.000992,-0.000173,0.000000,0.000000,0.092118,-0.000973,-0.278071,False
2010-01-23,0.089344,0.092028,-0.000132,-0.000076,-0.000943,0.000523,0.000987,-0.000181,0.000000,0.000000,0.092208,-0.002864,-0.818209,False
