date,dN,dN_trend,dN_0.25yr,dN_0.5yr,dN_1yr,dN_3.12yr,dN_4.38yr,dN_8.18yr,dN_jump,dN_exp,dN_model,dN_noise,dN_wtest,flagged
2010-01-02,-0.039993,-0.038163,0.000198,-0.000261,0.000938,-0.000225,-0.000807,-0.000168,0.000000,0.000000,-0.038488,-0.001505,-0.601905,False
2010-01-03,-0.041075,-0.038200,0.000192,-0.000282,0.000934,-0.000227,-0.000808,-0.000171,0.000000,0.000000,-0.038562,-0.002513,-1.005259,False
2010-01-04,-0.041032,-0.038237,0.000185,-0.000303,0.000930,-0.000228,-0.000810,-0.000174,0.000000,0.000000,-0.038636,-0.002396,-0.958279,False
2010-01-05,-0.040119,-0.038274,0.000177,-0.000323,0.000926,-0.000229,-0.000812,-0.000177,0.000000,0.000000,-0.038712,-0.001407,-0.562990,False
2010-01-06,-0.041616,-0.038311,0.000169,-0.000343,0.000922,-0.000230,-0.000813,-0.000180,0.000000,0.000000,-0.038787,-0.002829,-1.131416,False
2010-01-07,-0.039990,-0.038348,0.000159,-0.000362,0.000917,-0.000232,-0.000815,-0.000183,0.000000,0.000000,-0.038864,-0.001126,-0.450384,False
2010-01-08,-0.040465,-0.038385,0.000149,-0.000381,0.000912,-0.000233,-0.000817,-0.000186,0.000000,0.000000,-0.038941,-0.001524,-0.609520,False
2010-01-09,-0.041396,-0.038423,0.000138,-0.000400,0.000906,-0.000234,-0.000818,-0.000189,0.000000,0.000000,-0.039019,-0.002377,-0.950855,False
2010-01-10,-0.039484,-0.038460,0.000127,-0.000418,0.000901,-0.000235,-0.000820,-0.000192,0.000000,0.000000,-0.039097,-0.000387,-0.154818,False
2010-01-11,-0.039943,-0.038497,0.000114,-0.000435,0.000895,-0.000236,-0.000821,-0.000195,0.000000,0.000000,-0.039175,-0.000768,-0.307041,False
2010-01-12,-0.042144,-0.038534,0.000102,-0.000452,0.000889,-0.000237,-0.000823,-0.000198,0.000000,0.000000,-0.039254,-0.002890,-1.155955,False
2010-01-13,-0.042993,-0.038571,0.000089,-0.000469,0.000882,-0.000239,-0.000824,-0.000201,0.000000,0.000000,-0.039333,-0.003660,-1.463993,False
2010-01-14,-0.043308,-0.038608,0.000075,-0.000485,0.000876,-0.000240,-0.000826,-0.000204,0.000000,0.000000,-0.039412,-0.003896,-1.558390,False
2010-01-15,-0.042217,-0.038645,0.000061,-0.000500,0.000869,-0.000241,-0.000827,-0.000207,0.000000,0.000000,-0.039491,-0.002726,-1.090378,False
2010-01-16,-0.041556,-0.038682,0.000047,-0.000515,0.000862,-0.000242,-0.000829,-0.000210,0.000000,0.000000,-0.039570,-0.001986,-0.794394,False
2010-01-17,-0.044770,-0.038720,0.000032,-0.000529,0.000854,-0.000243,-0.000830,-0.000213,0.000000,0.000000,-0.039649,-0.005121,-2.048471,False
2010-01-18,-0.042822,-0.038757,0.000018,-0.000543,0.000847,-0.000244,-0.000832,-0.000216,0.000000,0.000000,-0.039727,-0.003095,-1.237845,False
2010-01-19,-0.043459,-0.038794,0.000003,-0.000556,0.000839,-0.000245,-0.000833,-0.000219,0.000000,0.000000,-0.039806,-0.003653,-1.461351,False
2010-01-20,-0.040507,-0.038831,-0.000012,-0.000568,0.000831,-0.000247,-0.000835,-0.000222,0.000000,0.000000,-0.039883,-0.000624,-0.249424,False
2010-01-21,-0.042718,-0.038868,-0.000026,-0.000579,0.000822,-0.000248,-0.000836,-0.000225,0.000000,0.000000,-0.039961,-0.002757,-1.102899,False
2010-01-22,-0.045034,-0.038905,-0.000041,-0.000590,0.000814,-0.000249,-0.000838,-0.000228,0.000000,0.000000,-0.040037,-0.004997,-1.998609,False
2010-01-23,-0.043823,-0.038942,-0.000055,-0.000601,0.000805,-0.000250,-0.000839,-0.000231,0.000000,0.000000,-0.040114,-0.003709,-1.483789,False
2010-01-24,-0.044141,-0.038979,-0.000069,-0.000610,0.000796,-0.000251,-0.000841,-0.000234,0.000000,0.000000,-0.040189,-0.003952,-1.580872,False
2010-01-25,-0.042854,-0.039017,-0.000083,-0.000619,0.000786,-0.000252,-0.000842,-0.000237,0.000000,0.000000,-0.040263,-0.002591,-1.036291,False
2010-01-26,-0.044336,-0.039054,-0.000097,-0.000627,0.000777,-0.000253,-0.000843,-0.000240,0.000000,0.000000,-0.040337,-0.003999,-1.599675,False
2010-01-27,-0.045199,-0.039091,-0.000109,-0.000634,0.000767,-0.000254,-0.000845,-0.000243,0.000000,0.000000,-0.040409,-0.004790,-1.915857,False
2010-01-28,-0.044796,-0.039128,-0.000122,-0.000641,0.000757,-0.000255,-0.000846,-0.000246,0.000000,0.000000,-0.040481,-0.004315,-1.726064,False
2010-01-29,-0.045361,-0.039165,-0.000134,-0.000646,0.000746,-0.000256,-0.000847,-0.000249,0.000000,0.000000,-0.040551,-0.004810,-1.923925,False
2010-01-30,-0.044755,-0.039202,-0.000145,-0.000651,0.000736,-0.000257,-0.000849,-0.000252,0.000000,0.000000,-0.040620,-0.004135,-1.653866,False
2010-01-31,-0.043839,-0.039239,-0.000155,-0.000656,0.000725,-0.000258,-0.000850,-0.000255,0.000000,0.000000,-0.040688,-0.003151,-1.260312,False
2010-02-01,-0.044397,-0.039277,-0.000165,-0.000659,0.000714,-0.000259,-0.000851,-0.000258,0.000000,0.000000,-0.040755,-0.003642,-1.456887,False
2010-02-02,-0.044294,-0.039314,-0.000174,-0.000662,0.000703,-0.000260,-0.000853,-0.000261,0.000000,0.000000,-0.040820,-0.003474,-1.389610,False
2010-02-03,-0.043842,-0.039351,-0.000182,-0.000664,0.000692,-0.000261,-0.000854,-0.000264,0.000000,0.000000,-0.040884,-0.002958,-1.183303,False
2010-02-04,-0.042644,-0.039388,-0.000189,-0.000665,0.000680,-0.000262,-0.000855,-0.000267,0.000000,0.000000,-0.040946,-0.001698,-0.679183,False
2010-02-05,-0.046100,-0.039425,-0.000196,-0.000665,0.000668,-0.000263,-0.000856,-0.000270,0.000000,0.000000,-0.041007,-0.005093,-2.037266,False
2010-02-06,-0.043860,-0.039462,-0.000201,-0.000665,0.000656,-0.000264,-0.000858,-0.000273,0.000000,0.000000,-0.041066,-0.002794,-1.117564,False
2010-02-07,-0.042242,-0.039499,-0.000206,-0.000663,0.000644,-0.000265,-0.000859,-0.000276,0.000000,0.000000,-0.041124,-0.001118,-0.447291,False
2010-02-08,-0.045838,-0.039536,-0.000209,-0.000661,0.000632,-0.000266,-0.000860,-0.000279,0.000000,0.000000,-0.041180,-0.004658,-1.863255,False
2010-02-09,-0.042904,-0.039574,-0.000212,-0.000658,0.000619,-0.000267,-0.000861,-0.000282,0.000000,0.000000,-0.041234,-0.001670,-0.667863,False
2010-02-10,-0.042798,-0.039611,-0.000213,-0.000655,0.000607,-0.000268,-0.000862,-0.000285,0.000000,0.000000,-0.041287,-0.001511,-0.604321,False
2010-02-11,-0.041549,-0.039648,-0.000214,-0.000650,0.000594,-0.000269,-0.000864,-0.000288,0.000000,0.000000,-0.041338,-0.000210,-0.084031,False
2010-02-12,-0.040299,-0.039685,-0.000213,-0.000645,0.000581,-0.000270,-0.000865,-0.000290,0.000000,0.000000,-0.041388,0.001089,0.435606,False
2010-02-13,-0.042967,-0.039722,-0.000212,-0.000639,0.000567,-0.000271,-0.000866,-0.000293,0.000000,0.000000,-0.041436,-0.001531,-0.612408,False
2010-02-14,-0.040621,-0.039759,-0.000209,-0.000633,0.000554,-0.000272,-0.000867,-0.000296,0.000000,0.000000,-0.041482,0.000861,0.344532,False
2010-02-15,-0.041502,-0.039796,-0.000206,-0.000625,0.000540,-0.000273,-0.000868,-0.000299,0.000000,0.000000,-0.041527,0.000025,0.010031,False
2010-02-16,-0.041903,-0.039833,-0.000201,-0.000617,0.000527,-0.000274,-0.000869,-0.000302,0.000000,0.000000,-0.041570,-0.000333,-0.133101,False
2010-02-17,-0.045190,-0.039871,-0.000196,-0.000608,0.000513,-0.000274,-0.000870,-0.000305,0.000000,0.000000,-0.041612,-0.003578,-1.431255,False
2010-02-18,-0.045321,-0.039908,-0.000190,-0.000598,0.000499,-0.000275,-0.000871,-0.000308,0.000000,0.000000,-0.041652,-0.003669,-1.467618,False
2010-02-19,-0.044321,-0.039945,-0.000182,-0.000588,0.000485,-0.000276,-0.000872,-0.000311,0.000000,0.000000,-0.041691,-0.002630,-1.052173,False
2010-02-20,-0.044396,-0.039982,-0.000174,-0.000577,0.000470,-0.000277,-0.000873,-0.000314,0.000000,0.000000,-0.041728,-0.002668,-1.067306,False
