date,dU,dU_trend,dU_0.25yr,dU_0.5yr,dU_1yr,dU_3.2yr,dU_4.75yr,dU_9.14yr,dU_jump,dU_exp,dU_model,dU_noise,dU_wtest,flagged
2010-01-02,-0.103591,-0.156816,0.001909,0.003795,0.002720,0.000810,0.005271,0.005946,0.000000,0.000000,-0.136366,0.032775,2.850011,False
2010-01-03,-0.105365,-0.156936,0.001906,0.003912,0.002675,0.000851,0.005283,0.005950,0.000000,0.000000,-0.136359,0.030994,2.695170,False
2010-01-04,-0.106349,-0.157056,0.001893,0.004024,0.002629,0.000892,0.005294,0.005955,0.000000,0.000000,-0.136367,0.030018,2.610293,False
2010-01-05,-0.105666,-0.157175,0.001872,0.004132,0.002583,0.000932,0.005306,0.005960,0.000000,0.000000,-0.136390,0.030724,2.671644,False
2010-01-06,-0.111190,-0.157295,0.001843,0.004235,0.002536,0.000973,0.005317,0.005964,0.000000,0.000000,-0.136427,0.025237,2.194532,False
2010-01-07,-0.110056,-0.157415,0.001804,0.004333,0.002488,0.001014,0.005329,0.005969,0.000000,0.000000,-0.136479,0.026423,2.297647,False
2010-01-08,-0.111493,-0.157535,0.001757,0.004426,0.002439,0.001054,0.005340,0.005973,0.000000,0.000000,-0.136545,0.025052,2.178461,False
2010-01-09,-0.109659,-0.157655,0.001701,0.004513,0.002390,0.001095,0.005351,0.005978,0.000000,0.000000,-0.136626,0.026967,2.344964,False
2010-01-10,-0.110048,-0.157775,0.001638,0.004596,0.002340,0.001136,0.005362,0.005982,0.000000,0.000000,-0.136721,0.026673,2.319402,False
2010-01-11,-0.105229,-0.157894,0.001566,0.004672,0.002289,0.001176,0.005374,0.005986,0.000000,0.000000,-0.136830,0.031601,2.747928,False
2010-01-12,-0.100836,-0.158014,0.001488,0.004744,0.002238,0.001217,0.005385,0.005991,0.000000,0.000000,-0.136953,0.036117,3.140608,False
2010-01-13,-0.107410,-0.158134,0.001402,0.004809,0.002186,0.001257,0.005396,0.005995,0.000000,0.000000,-0.137089,0.029679,2.580806,False
2010-01-14,-0.114012,-0.158254,0.001309,0.004869,0.002133,0.001298,0.005407,0.006000,0.000000,0.000000,-0.137239,0.023227,2.019711,False
2010-01-15,-0.113188,-0.158374,0.001211,0.004923,0.002080,0.001338,0.005417,0.006004,0.000000,0.000000,-0.137401,0.024213,2.105462,False
2010-01-16,-0.111426,-0.158493,0.001106,0.004972,0.002026,0.001378,0.005428,0.006008,0.000000,0.000000,-0.137575,0.026149,2.273849,False
2010-01-17,-0.112993,-0.158613,0.000997,0.005014,0.001971,0.001419,0.005439,0.006013,0.000000,0.000000,-0.137762,0.024769,2.153791,False
2010-01-18,-0.110965,-0.158733,0.000882,0.005050,0.001916,0.001459,0.005449,0.006017,0.000000,0.000000,-0.137959,0.026994,2.347331,False
2010-01-19,-0.109526,-0.158853,0.000764,0.005081,0.001860,0.001499,0.005460,0.006021,0.000000,0.000000,-0.138168,0.028642,2.490598,False
2010-01-20,-0.112029,-0.158973,0.000641,0.005105,0.001804,0.001539,0.005471,0.006025,0.000000,0.000000,-0.138387,0.026358,2.291982,False
2010-01-21,-0.106739,-0.159093,0.000516,0.005124,0.001747,0.001579,0.005481,0.006030,0.000000,0.000000,-0.138615,0.031876,2.771866,False
