date,sE,sE_trend,sE_0.25yr,sE_0.5yr,sE_1yr,sE_1.8yr,sE_2.43yr,sE_7.34yr,sE_model,sE_noise,sE_wtest,flagged
2010-01-02,0.000913,0.000926,0.000003,0.000004,0.000011,-0.000051,0.000048,-0.000066,0.000874,0.000039,0.019366,False
2010-01-03,0.000899,0.000926,0.000002,0.000004,0.000011,-0.000051,0.000048,-0.000066,0.000874,0.000025,0.012433,False
2010-01-04,0.000879,0.000926,0.000002,0.000004,0.000010,-0.000051,0.000049,-0.000065,0.000874,0.000005,0.002509,False
2010-01-05,0.000886,0.000926,0.000001,0.000004,0.000010,-0.000051,0.000049,-0.000065,0.000874,0.000012,0.006091,False
2010-01-06,0.000891,0.000926,0.000000,0.000005,0.000009,-0.000051,0.000049,-0.000065,0.000874,0.000017,0.008677,False
2010-01-07,0.000906,0.000926,-0.000000,0.000005,0.000009,-0.000051,0.000049,-0.000064,0.000873,0.000033,0.016267,False
2010-01-08,0.000900,0.000926,-0.000001,0.000005,0.000008,-0.000051,0.000049,-0.000064,0.000873,0.000027,0.013359,False
2010-01-09,0.000902,0.000927,-0.000002,0.000005,0.000008,-0.000050,0.000049,-0.000063,0.000873,0.000029,0.014452,False
2010-01-10,0.000895,0.000927,-0.000002,0.000005,0.000007,-0.000050,0.000049,-0.000063,0.000873,0.000022,0.011043,False
2010-01-11,0.000889,0.000927,-0.000003,0.000005,0.000007,-0.000050,0.000050,-0.000063,0.000873,0.000016,0.008132,False
2010-01-12,0.000917,0.000927,-0.000003,0.000005,0.000006,-0.000050,0.000050,-0.000062,0.000873,0.000044,0.022217,False
2010-01-13,0.000893,0.000927,-0.000004,0.000006,0.000006,-0.000050,0.000050,-0.000062,0.000872,0.000021,0.010297,False
2010-01-14,0.000932,0.000927,-0.000005,0.000006,0.000005,-0.000050,0.000050,-0.000061,0.000872,0.000060,0.029870,False
2010-01-15,0.000914,0.000927,-0.000005,0.000006,0.000005,-0.000049,0.000050,-0.000061,0.000872,0.000042,0.020935,False
2010-01-16,0.000894,0.000927,-0.000006,0.000006,0.000004,-0.000049,0.000050,-0.000061,0.000872,0.000022,0.010990,False
2010-01-17,0.000890,0.000927,-0.000006,0.000006,0.000004,-0.000049,0.000050,-0.000060,0.000872,0.000018,0.009035,False
2010-01-18,0.000889,0.000927,-0.000007,0.000006,0.000003,-0.000049,0.000050,-0.000060,0.000872,0.000017,0.008568,False
2010-01-19,0.000900,0.000928,-0.000007,0.000006,0.000003,-0.000049,0.000050,-0.000059,0.000872,0.000028,0.014089,False
2010-01-20,0.000920,0.000928,-0.000007,0.000006,0.000002,-0.000048,0.000051,-0.000059,0.000872,0.000048,0.024095,False
2010-01-21,0.001157,0.000928,-0.000008,0.000006,0.000002,-0.000048,0.000051,-0.000058,0.000872,0.000285,0.142587,False
2010-01-22,0.000887,0.000928,-0.000008,0.000006,0.000001,-0.000048,0.000051,-0.000058,0.000872,0.000015,0.007563,False
2010-01-23,0.000879,0.000928,-0.000008,0.000006,0.000000,-0.000048,0.000051,-0.000058,0.000872,0.000007,0.003522,False
2010-01-24,0.000905,0.000928,-0.000009,0.000006,-0.000000,-0.000047,0.000051,-0.000057,0.000872,0.000033,0.016464,False
2010-01-25,0.000886,0.000928,-0.000009,0.000007,-0.000001,-0.000047,0.000051,-0.000057,0.000872,0.000014,0.006889,False
2010-01-26,0.001017,0.000928,-0.000009,0.000007,-0.000001,-0.000047,0.000051,-0.000056,0.000872,0.000145,0.072295,False
2010-01-27,0.000916,0.000928,-0.000009,0.000007,-0.000002,-0.000047,0.000051,-0.000056,0.000873,0.000043,0.021682,False
2010-01-28,0.000897,0.000929,-0.000009,0.000007,-0.000002,-0.000047,0.000051,-0.000056,0.000873,0.000024,0.012050,False
2010-01-29,0.000876,0.000929,-0.000009,0.000007,-0.000003,-0.000046,0.000051,-0.000055,0.000873,0.000003,0.001398,False
2010-01-30,0.000885,0.000929,-0.000009,0.000007,-0.000003,-0.000046,0.000051,-0.000055,0.000874,0.000011,0.005727,False
2010-01-31,0.000881,0.000929,-0.000009,0.000007,-0.000004,-0.000046,0.000052,-0.000054,0.000874,0.000007,0.003537,False
2010-02-01,0.000882,0.000929,-0.000009,0.000007,-0.000004,-0.000046,0.000052,-0.000054,0.000874,0.000008,0.003827,False
2010-02-02,0.000887,0.000929,-0.000009,0.000007,-0.000005,-0.000045,0.000052,-0.000054,0.000875,0.000012,0.006098,False
2010-02-03,0.000897,0.000929,-0.000009,0.000007,-0.000005,-0.000045,0.000052,-0.000053,0.000875,0.000022,0.010849,False
2010-02-04,0.000905,0.000929,-0.000009,0.000006,-0.000006,-0.000045,0.000052,-0.000053,0.000876,0.000029,0.014582,False
