date,sN,sN_trend,sN_0.25yr,sN_0.5yr,sN_1yr,sN_1.91yr,sN_6.85yr,sN_model,sN_noise,sN_wtest,flagged
2010-01-02,0.000860,0.000855,0.000004,-0.000000,-0.000018,-0.000001,-0.000068,0.000771,0.000089,0.044257,False
2010-01-03,0.000841,0.000855,0.000004,0.000000,-0.000018,-0.000001,-0.000068,0.000772,0.000069,0.034511,False
2010-01-04,0.000838,0.000855,0.000004,0.000001,-0.000018,-0.000001,-0.000068,0.000772,0.000066,0.032771,False
2010-01-05,0.000836,0.000855,0.000004,0.000001,-0.000018,-0.000000,-0.000068,0.000773,0.000063,0.031538,False
2010-01-06,0.000843,0.000855,0.000003,0.000001,-0.000019,0.000000,-0.000067,0.000773,0.000070,0.034810,False
2010-01-07,0.000849,0.000855,0.000003,0.000002,-0.000019,0.000000,-0.000067,0.000774,0.000075,0.037589,False
2010-01-08,0.000847,0.000855,0.000003,0.000002,-0.000019,0.000001,-0.000067,0.000774,0.000073,0.036373,False
2010-01-09,0.000844,0.000855,0.000002,0.000003,-0.000019,0.000001,-0.000067,0.000775,0.000069,0.034661,False
2010-01-10,0.000842,0.000855,0.000002,0.000003,-0.000019,0.000001,-0.000067,0.000775,0.000067,0.033453,False
2010-01-11,0.000846,0.000855,0.000001,0.000003,-0.000019,0.000002,-0.000067,0.000776,0.000070,0.035248,False
2010-01-12,0.000859,0.000855,0.000001,0.000004,-0.000019,0.000002,-0.000067,0.000776,0.000083,0.041546,False
2010-01-13,0.000853,0.000855,0.000001,0.000004,-0.000019,0.000002,-0.000067,0.000776,0.000077,0.038346,False
2010-01-14,0.000860,0.000855,0.000000,0.000005,-0.000020,0.000002,-0.000067,0.000777,0.000083,0.041647,False
2010-01-15,0.000833,0.000855,-0.000000,0.000005,-0.000020,0.000003,-0.000066,0.000777,0.000056,0.027949,False
2010-01-16,0.000840,0.000855,-0.000000,0.000005,-0.000020,0.000003,-0.000066,0.000777,0.000063,0.031250,False
2010-01-17,0.000844,0.000855,-0.000001,0.000006,-0.000020,0.000003,-0.000066,0.000778,0.000066,0.033051,False
2010-01-18,0.000838,0.000855,-0.000001,0.000006,-0.000020,0.000004,-0.000066,0.000778,0.000060,0.029850,False
2010-01-19,0.000851,0.000856,-0.000002,0.000007,-0.000020,0.000004,-0.000066,0.000779,0.000072,0.036147,False
2010-01-20,0.000880,0.000856,-0.000002,0.000007,-0.000020,0.000004,-0.000066,0.000779,0.000101,0.050441,False
2010-01-21,0.001036,0.000856,-0.000002,0.000007,-0.000020,0.000005,-0.000066,0.000780,0.000256,0.128231,False
2010-01-22,0.000834,0.000856,-0.000003,0.000008,-0.000020,0.000005,-0.000066,0.000780,0.000054,0.027017,False
2010-01-23,0.000837,0.000856,-0.000003,0.000008,-0.000020,0.000005,-0.000065,0.000780,0.000057,0.028298,False
2010-01-24,0.000840,0.000856,-0.000003,0.000008,-0.000020,0.000006,-0.000065,0.000781,0.000059,0.029574,False
2010-01-25,0.000839,0.000856,-0.000004,0.000009,-0.000020,0.000006,-0.000065,0.000781,0.000058,0.028844,False
2010-01-26,0.000925,0.000856,-0.000004,0.000009,-0.000020,0.000006,-0.000065,0.000782,0.000143,0.071607,False
2010-01-27,0.000850,0.000856,-0.000004,0.000009,-0.000020,0.000007,-0.000065,0.000782,0.000068,0.033862,False
2010-01-28,0.000842,0.000856,-0.000005,0.000009,-0.000020,0.000007,-0.000065,0.000783,0.000059,0.029611,False
2010-01-29,0.000834,0.000856,-0.000005,0.000010,-0.000020,0.000007,-0.000065,0.000783,0.000051,0.025351,False
2010-01-30,0.000842,0.000856,-0.000005,0.000010,-0.000020,0.000007,-0.000065,0.000784,0.000058,0.029082,False
2010-01-31,0.000829,0.000856,-0.000005,0.000010,-0.000020,0.000008,-0.000064,0.000784,0.000045,0.022305,False
2010-02-01,0.000829,0.000856,-0.000005,0.000010,-0.000020,0.000008,-0.000064,0.000785,0.000044,0.022019,False
2010-02-02,0.000855,0.000856,-0.000005,0.000011,-0.000020,0.000008,-0.000064,0.000786,0.000069,0.034724,False
2010-02-03,0.000836,0.000856,-0.000006,0.000011,-0.000020,0.000009,-0.000064,0.000786,0.000050,0.024919,False
2010-02-04,0.000856,0.000856,-0.000006,0.000011,-0.000020,0.000009,-0.000064,0.000787,0.000069,0.034605,False
2010-02-05,0.000865,0.000857,-0.000006,0.000011,-0.000020,0.000009,-0.000064,0.000787,0.000078,0.038781,False
2010-02-06,0.000853,0.000857,-0.000006,0.000011,-0.000020,0.000010,-0.000064,0.000788,0.000065,0.032448,False
2010-02-07,0.000875,0.000857,-0.000006,0.000012,-0.000020,0.000010,-0.000064,0.000789,0.000086,0.043105,False
2010-02-08,0.000880,0.000857,-0.000006,0.000012,-0.000020,0.000010,-0.000063,0.000789,0.000091,0.045252,False
2010-02-09,0.000892,0.000857,-0.000006,0.000012,-0.000020,0.000010,-0.000063,0.000790,0.000102,0.050890,False
2010-02-10,0.000898,0.000857,-0.000006,0.000012,-0.000020,0.000011,-0.000063,0.000791,0.000107,0.053519,False
2010-02-11,0.000884,0.000857,-0.000005,0.000012,-0.000020,0.000011,-0.000063,0.000792,0.000092,0.045889,False
2010-02-12,0.000869,0.000857,-0.000005,0.000012,-0.000020,0.000011,-0.000063,0.000792,0.000077,0.038250,False
2010-02-13,0.000833,0.000857,-0.000005,0.000012,-0.000020,0.000012,-0.000063,0.000793,0.000040,0.019854,False
2010-02-14,0.000847,0.000857,-0.000005,0.000012,-0.000019,0.000012,-0.000063,0.000794,0.000053,0.026449,False
2010-02-15,0.000876,0.000857,-0.000005,0.000012,-0.000019,0.000012,-0.000063,0.000795,0.000081,0.040538,False
2010-02-16,0.000886,0.000857,-0.000005,0.000012,-0.000019,0.000012,-0.000062,0.000796,0.000090,0.045120,False
2010-02-17,0.000857,0.000857,-0.000004,0.000012,-0.000019,0.000013,-0.000062,0.000797,0.000060,0.030195,False
2010-02-18,0.000843,0.000857,-0.000004,0.000012,-0.000019,0.000013,-0.000062,0.000797,0.000046,0.022765,False
2010-02-19,0.000856,0.000857,-0.000004,0.000012,-0.000019,0.000013,-0.000062,0.000798,0.000058,0.028831,False
2010-02-20,0.000834,0.000857,-0.000003,0.000012,-0.000019,0.000014,-0.000062,0.000799,0.000035,0.017392,False
2010-02-21,0.000828,0.000858,-0.000003,0.000012,-0.000019,0.000014,-0.000062,0.000800,0.000028,0.013950,False
2010-02-22,0.000863,0.000858,-0.000003,0.000012,-0.000019,0.000014,-0.000062,0.000801,0.000062,0.031005,False
2010-02-23,0.000886,0.000858,-0.000002,0.000012,-0.000018,0.000014,-0.000061,0.000802,0.000084,0.042058,False
2010-02-24,0.000885,0.000858,-0.000002,0.000012,-0.000018,0.000015,-0.000061,0.000803,0.000082,0.041111,False
2010-02-25,0.000881,0.000858,-0.000002,0.000012,-0.000018,0.000015,-0.000061,0.000804,0.000077,0.038663,False
2010-02-26,0.000852,0.000858,-0.000001,0.000012,-0.000018,0.000015,-0.000061,0.000805,0.000047,0.023716,False
2010-02-27,0.000880,0.000858,-0.000001,0.000012,-0.000018,0.000016,-0.000061,0.000805,0.000075,0.037270,False
2010-02-28,0.000831,0.000858,-0.000001,0.000012,-0.000018,0.000016,-0.000061,0.000806,0.000025,0.012327,False
2010-03-01,0.000841,0.000858,-0.000000,0.000011,-0.000017,0.000016,-0.000061,0.000807,0.000034,0.016887,False
2010-03-02,0.000880,0.000858,0.000000,0.000011,-0.000017,0.000016,-0.000061,0.000808,0.000072,0.035951,False
2010-03-03,0.000854,0.000858,0.000001,0.000011,-0.000017,0.000017,-0.000060,0.000809,0.000045,0.022521,False
2010-03-04,0.000861,0.000858,0.000001,0.000011,-0.000017,0.000017,-0.000060,0.000810,0.000051,0.025596,False
