date,sU,sU_trend,sU_0.25yr,sU_0.5yr,sU_1yr,sU_1.89yr,sU_2.27yr,sU_7.74yr,sU_model,sU_noise,sU_wtest,flagged
2010-01-02,0.003770,0.003887,0.000035,0.000029,-0.000058,-0.000017,-0.000035,0.000017,0.003859,-0.000089,-0.044436,False
2010-01-03,0.003653,0.003887,0.000035,0.000032,-0.000058,-0.000015,-0.000034,0.000018,0.003865,-0.000212,-0.105867,False
2010-01-04,0.003669,0.003888,0.000035,0.000034,-0.000059,-0.000013,-0.000033,0.000019,0.003870,-0.000201,-0.100707,False
2010-01-05,0.003653,0.003888,0.000034,0.000036,-0.000060,-0.000011,-0.000032,0.000020,0.003876,-0.000223,-0.111456,False
2010-01-06,0.003698,0.003889,0.000033,0.000038,-0.000060,-0.000009,-0.000031,0.000021,0.003881,-0.000183,-0.091612,False
2010-01-07,0.003708,0.003889,0.000033,0.000040,-0.000061,-0.000007,-0.000030,0.000022,0.003886,-0.000178,-0.089177,False
2010-01-08,0.003731,0.003889,0.000032,0.000042,-0.000062,-0.000005,-0.000029,0.000024,0.003891,-0.000160,-0.080151,False
2010-01-09,0.003699,0.003890,0.000031,0.000044,-0.000062,-0.000003,-0.000028,0.000025,0.003896,-0.000197,-0.098535,False
2010-01-10,0.003716,0.003890,0.000029,0.000046,-0.000063,-0.000001,-0.000027,0.000026,0.003901,-0.000185,-0.092330,False
2010-01-11,0.003672,0.003891,0.000028,0.000048,-0.000063,0.000001,-0.000026,0.000027,0.003905,-0.000233,-0.116538,False
2010-01-12,0.003790,0.003891,0.000027,0.000050,-0.000064,0.000003,-0.000025,0.000028,0.003909,-0.000119,-0.059660,False
2010-01-13,0.003742,0.003891,0.000025,0.000052,-0.000064,0.000005,-0.000024,0.000029,0.003913,-0.000171,-0.085701,False
2010-01-14,0.003853,0.003892,0.000023,0.000053,-0.000065,0.000007,-0.000023,0.000030,0.003917,-0.000064,-0.032162,False
2010-01-15,0.003731,0.003892,0.000021,0.000055,-0.000065,0.000009,-0.000022,0.000031,0.003921,-0.000190,-0.095046,False
2010-01-16,0.003760,0.003893,0.000019,0.000056,-0.000066,0.000011,-0.000021,0.000033,0.003925,-0.000165,-0.082358,False
2010-01-17,0.003729,0.003893,0.000017,0.000058,-0.000066,0.000013,-0.000020,0.000034,0.003928,-0.000199,-0.099599,False
2010-01-18,0.003678,0.003893,0.000015,0.000059,-0.000066,0.000015,-0.000019,0.000035,0.003932,-0.000254,-0.126775,False
2010-01-19,0.003739,0.003894,0.000013,0.000061,-0.000067,0.000017,-0.000018,0.000036,0.003935,-0.000196,-0.097890,False
2010-01-20,0.003842,0.003894,0.000011,0.000062,-0.000067,0.000019,-0.000018,0.000037,0.003938,-0.000096,-0.047948,False
2010-01-21,0.004664,0.003895,0.000008,0.000063,-0.000068,0.000020,-0.000017,0.000038,0.003941,0.000723,0.361547,False
2010-01-22,0.003670,0.003895,0.000006,0.000064,-0.000068,0.000022,-0.000016,0.000039,0.003944,-0.000274,-0.136911,False
2010-01-23,0.003640,0.003895,0.000004,0.000066,-0.000068,0.000024,-0.000015,0.000041,0.003947,-0.000307,-0.153325,False
2010-01-24,0.003752,0.003896,0.000001,0.000067,-0.000068,0.000026,-0.000014,0.000042,0.003949,-0.000197,-0.098702,False
2010-01-25,0.003711,0.003896,-0.000001,0.000067,-0.000069,0.000028,-0.000013,0.000043,0.003952,-0.000241,-0.120545,False
2010-01-26,0.004084,0.003897,-0.000004,0.000068,-0.000069,0.000030,-0.000012,0.000044,0.003955,0.000129,0.064639,False
2010-01-27,0.003713,0.003897,-0.000006,0.000069,-0.000069,0.000032,-0.000011,0.000045,0.003957,-0.000244,-0.122154,False
2010-01-28,0.003731,0.003897,-0.000008,0.000070,-0.000069,0.000034,-0.000010,0.000046,0.003960,-0.000229,-0.114430,False
2010-01-29,0.003623,0.003898,-0.000011,0.000070,-0.000069,0.000036,-0.000009,0.000047,0.003962,-0.000339,-0.169693,False
2010-01-30,0.003743,0.003898,-0.000013,0.000071,-0.000070,0.000038,-0.000008,0.000048,0.003965,-0.000222,-0.110948,False
2010-01-31,0.003624,0.003899,-0.000015,0.000071,-0.000070,0.000040,-0.000007,0.000050,0.003967,-0.000343,-0.171701,False
2010-02-01,0.003628,0.003899,-0.000017,0.000072,-0.000070,0.000042,-0.000006,0.000051,0.003970,-0.000342,-0.170957,False
2010-02-02,0.003707,0.003899,-0.000019,0.000072,-0.000070,0.000044,-0.000005,0.000052,0.003972,-0.000265,-0.132720,False
2010-02-03,0.003708,0.003900,-0.000021,0.000072,-0.000070,0.000046,-0.000004,0.000053,0.003975,-0.000267,-0.133494,False
2010-02-04,0.003768,0.003900,-0.000023,0.000072,-0.000070,0.000048,-0.000003,0.000054,0.003978,-0.000210,-0.104785,False
2010-02-05,0.003798,0.003901,-0.000025,0.000072,-0.000070,0.000049,-0.000002,0.000055,0.003980,-0.000182,-0.091097,False
2010-02-06,0.003834,0.003901,-0.000027,0.000072,-0.000070,0.000051,-0.000001,0.000056,0.003983,-0.000149,-0.074433,False
2010-02-07,0.003888,0.003901,-0.000028,0.000072,-0.000070,0.000053,-0.000000,0.000057,0.003986,-0.000098,-0.048798,False
2010-02-08,0.003966,0.003902,-0.000029,0.000072,-0.000070,0.000055,0.000001,0.000059,0.003988,-0.000022,-0.011194,False
2010-02-09,0.003961,0.003902,-0.000031,0.000071,-0.000070,0.000057,0.000002,0.000060,0.003991,-0.000030,-0.015126,False
2010-02-10,0.004060,0.003903,-0.000032,0.000071,-0.000070,0.000059,0.000003,0.000061,0.003994,0.000066,0.032904,False
2010-02-11,0.003997,0.003903,-0.000033,0.000070,-0.000070,0.000061,0.000004,0.000062,0.003997,-0.000000,-0.000107,False
2010-02-12,0.003934,0.003904,-0.000033,0.000070,-0.000070,0.000063,0.000005,0.000063,0.004000,-0.000066,-0.033162,False
