date,dU,dU_trend,dU_0.5yr,dU_1yr,dU_3.2yr,dU_4.75yr,dU_9.14yr,dU_2yr,dU_jump,dU_model,dU_noise,dU_wtest,flagged
2010-01-02,-0.103591,-0.157202,0.003937,0.002725,0.000937,0.004482,0.005660,0.001564,0.000000,-0.137898,0.034307,3.267344,False
2010-01-03,-0.105365,-0.157322,0.004060,0.002676,0.000980,0.004492,0.005665,0.001616,0.000000,-0.137833,0.032468,3.092218,False
2010-01-04,-0.106349,-0.157442,0.004178,0.002626,0.001024,0.004501,0.005671,0.001667,0.000000,-0.137774,0.031425,2.992886,False
2010-01-05,-0.105666,-0.157561,0.004291,0.002575,0.001067,0.004511,0.005677,0.001719,0.000000,-0.137721,0.032055,3.052883,False
2010-01-06,-0.111190,-0.157681,0.004399,0.002524,0.001111,0.004521,0.005682,0.001770,0.000000,-0.137674,0.026484,2.522317,False
2010-01-07,-0.110056,-0.157801,0.004501,0.002472,0.001154,0.004531,0.005688,0.001822,0.000000,-0.137634,0.027578,2.626438,False
2010-01-08,-0.111493,-0.157921,0.004599,0.002419,0.001198,0.004540,0.005693,0.001873,0.000000,-0.137599,0.026106,2.486302,False
2010-01-09,-0.109659,-0.158040,0.004690,0.002365,0.001241,0.004550,0.005699,0.001924,0.000000,-0.137571,0.027912,2.658302,False
2010-01-10,-0.110048,-0.158160,0.004777,0.002311,0.001284,0.004559,0.005704,0.001975,0.000000,-0.137550,0.027502,2.619208,False
2010-01-11,-0.105229,-0.158280,0.004857,0.002256,0.001328,0.004569,0.005710,0.002026,0.000000,-0.137535,0.032306,3.076744,False
2010-01-12,-0.100836,-0.158400,0.004932,0.002200,0.001371,0.004578,0.005715,0.002076,0.000000,-0.137527,0.036691,3.494346,True
2010-01-13,-0.107410,-0.158519,0.005001,0.002144,0.001414,0.004587,0.005721,0.002127,0.000000,-0.137525,0.030115,2.868117,False
2010-01-14,-0.114012,-0.158639,0.005065,0.002087,0.001457,0.004597,0.005726,0.002177,0.000000,-0.137531,0.023519,2.239872,False
2010-01-15,-0.113188,-0.158759,0.005122,0.002030,0.001500,0.004606,0.005732,0.002227,0.000000,-0.137543,0.024355,2.319523,False
2010-01-16,-0.111426,-0.158878,0.005173,0.001971,0.001543,0.004615,0.005737,0.002277,0.000000,-0.137562,0.026136,2.489171,False
2010-01-17,-0.112993,-0.158998,0.005218,0.001913,0.001586,0.004624,0.005742,0.002327,0.000000,-0.137589,0.024596,2.342438,False
2010-01-18,-0.110965,-0.159118,0.005256,0.001853,0.001629,0.004633,0.005748,0.002376,0.000000,-0.137622,0.026657,2.538758,False
2010-01-19,-0.109526,-0.159238,0.005289,0.001793,0.001672,0.004642,0.005753,0.002426,0.000000,-0.137662,0.028136,2.679658,False
2010-01-20,-0.112029,-0.159357,0.005315,0.001733,0.001715,0.004651,0.005758,0.002475,0.000000,-0.137710,0.025681,2.445805,False
2010-01-21,-0.106739,-0.159477,0.005335,0.001672,0.001758,0.004659,0.005764,0.002524,0.000000,-0.137765,0.031026,2.954822,False
2010-01-22,-0.107836,-0.159597,0.005349,0.001611,0.001801,0.004668,0.005769,0.002573,0.000000,-0.137826,0.029990,2.856234,False
2010-01-23,-0.113645,-0.159717,0.005356,0.001549,0.001843,0.004677,0.005774,0.002622,0.000000,-0.137895,0.024250,2.309563,False
2010-01-24,-0.110639,-0.159836,0.005357,0.001487,0.001886,0.004685,0.005780,0.002670,0.000000,-0.137972,0.027333,2.603096,False
2010-01-25,-0.111168,-0.159956,0.005352,0.001424,0.001929,0.004694,0.005785,0.002719,0.000000,-0.138055,0.026887,2.560641,False
2010-01-26,-0.113756,-0.160076,0.005340,0.001361,0.001971,0.004703,0.005790,0.002767,0.000000,-0.138145,0.024389,2.322766,False
2010-01-27,-0.118910,-0.160196,0.005322,0.001297,0.002014,0.004711,0.005795,0.002815,0.000000,-0.138242,0.019332,1.841185,False
2010-01-28,-0.111932,-0.160315,0.005297,0.001233,0.002056,0.004719,0.005800,0.002862,0.000000,-0.138347,0.026415,2.515704,False
2010-01-29,-0.116795,-0.160435,0.005267,0.001169,0.002099,0.004728,0.005805,0.002910,0.000000,-0.138458,0.021663,2.063174,False
2010-01-30,-0.114205,-0.160555,0.005230,0.001104,0.002141,0.004736,0.005811,0.002957,0.000000,-0.138577,0.024372,2.321115,False
2010-01-31,-0.119799,-0.160674,0.005187,0.001039,0.002183,0.004744,0.005816,0.003004,0.000000,-0.138702,0.018903,1.800284,False
2010-02-01,-0.115763,-0.160794,0.005137,0.000974,0.002225,0.004752,0.005821,0.003051,0.000000,-0.138834,0.023071,2.197246,False
2010-02-02,-0.118944,-0.160914,0.005082,0.000908,0.002267,0.004760,0.005826,0.003097,0.000000,-0.138973,0.020029,1.907517,False
2010-02-03,-0.119811,-0.161034,0.005021,0.000842,0.002310,0.004768,0.005831,0.003144,0.000000,-0.139118,0.019307,1.838805,False
2010-02-04,-0.117455,-0.161153,0.004953,0.000776,0.002352,0.004776,0.005836,0.003190,0.000000,-0.139271,0.021816,2.077672,False
2010-02-05,-0.119170,-0.161273,0.004880,0.000709,0.002393,0.004784,0.005841,0.003236,0.000000,-0.139429,0.020259,1.929442,False
2010-02-06,-0.113451,-0.161393,0.004801,0.000643,0.002435,0.004792,0.005846,0.003281,0.000000,-0.139594,0.026143,2.489821,False
2010-02-07,-0.120656,-0.161513,0.004717,0.000576,0.002477,0.004800,0.005851,0.003327,0.000000,-0.139765,0.019109,1.819941,False
2010-02-08,-0.114687,-0.161632,0.004626,0.000509,0.002519,0.004807,0.005856,0.003372,0.000000,-0.139943,0.025256,2.405314,False
2010-02-09,-0.126675,-0.161752,0.004531,0.000442,0.002560,0.004815,0.005861,0.003417,0.000000,-0.140126,0.013451,1.281072,False
