date,1.35,1.35_trend,1.35_0.5yr,1.35_0.73yr,1.35_1yr,1.35_1.1yr,1.35_1.48yr,1.35_model,1.35_noise,1.35_wtest,flagged
2020-08-07,0.000000,-3.360943,0.090209,0.169184,0.109888,0.287701,0.342304,-2.361656,2.361656,1.180828,False
2020-09-02,0.613603,-3.360943,-0.161862,0.424057,0.197589,0.263474,0.466937,-2.170748,2.784351,1.392176,False
2020-10-08,0.556561,-3.360943,-0.285731,0.513271,0.252776,0.161400,0.568206,-2.151023,2.707584,1.353792,False
2020-11-04,0.000000,-3.360943,-0.113925,0.346719,0.232609,0.049864,0.580408,-2.265267,2.265267,1.132634,False
2020-12-01,-0.480602,-3.360943,0.148972,0.045018,0.163356,-0.070395,0.536145,-2.537846,2.057245,1.028622,False
2021-01-12,-0.578807,-3.360943,0.271131,-0.412396,-0.005133,-0.225929,0.366728,-3.366543,2.787736,1.393868,False
2021-02-02,-1.133957,-3.360943,0.126963,-0.517538,-0.094332,-0.271332,0.246323,-3.870859,2.736902,1.368451,False
2021-03-03,-2.000000,-3.360943,-0.154756,-0.458296,-0.195305,-0.285816,0.057665,-4.397452,2.397452,1.198726,False
2021-04-07,-2.000000,-3.360943,-0.289513,-0.122117,-0.252229,-0.226843,-0.176644,-4.428291,2.428291,1.214145,False
2021-05-14,-0.881558,-3.360943,-0.032287,0.312876,-0.215905,-0.093027,-0.392213,-3.781499,2.899941,1.449970,False
2021-06-03,-0.162734,-3.360943,0.161178,0.470474,-0.158595,-0.004680,-0.481005,-3.373572,3.210838,1.605419,False
2021-07-07,-1.000000,-3.360943,0.289975,0.495215,-0.023164,0.141909,-0.570607,-3.027616,2.027616,1.013808,False
2021-08-09,-2.296947,-3.360943,0.074644,0.229523,0.116122,0.246983,-0.573378,-3.267049,0.970102,0.485051,False
2021-09-09,-2.550950,-3.360943,-0.213654,-0.144634,0.214425,0.287299,-0.499812,-3.717320,1.166370,0.583185,False
2021-10-05,-2.000000,-3.360943,-0.291957,-0.408919,0.251575,0.269925,-0.387899,-3.928219,1.928219,0.964109,False
2021-11-23,-2.000000,-3.360943,0.073386,-0.466810,0.188612,0.125283,-0.091941,-3.532413,1.532413,0.766206,False
2021-12-14,-2.297511,-3.360943,0.243840,-0.296178,0.116681,0.034985,0.049948,-3.211667,0.914155,0.457078,False
2022-01-01,-2.265704,-3.360943,0.294577,-0.091188,0.042606,-0.045777,0.169525,-2.991200,0.725496,0.362748,False
2022-02-01,-1.958996,-3.360943,0.136041,0.277543,-0.090273,-0.172951,0.355325,-2.855259,0.896263,0.448132,False
2022-03-01,-1.941703,-3.360943,-0.137137,0.492809,-0.189643,-0.254166,0.484422,-2.964659,1.022956,0.511478,False
2022-04-01,-2.252843,-3.360943,-0.294603,0.488472,-0.248609,-0.287709,0.567549,-3.135843,0.883000,0.441500,False
2022-05-01,-2.497051,-3.360943,-0.155860,0.245544,-0.239872,-0.256915,0.578536,-3.189510,0.692459,0.346230,False
2022-06-01,-2.491577,-3.360943,0.143825,-0.127283,-0.165295,-0.166880,0.516696,-3.159882,0.668305,0.334152,False
2022-07-01,-2.460525,-3.360943,0.294543,-0.428003,-0.049036,-0.042792,0.393431,-3.192800,0.732275,0.366138,False
2022-08-01,-2.600862,-3.360943,0.149351,-0.522066,0.084136,0.094818,0.216470,-3.338233,0.737371,0.368686,False
2022-09-01,-2.783925,-3.360943,-0.150417,-0.349350,0.193911,0.210548,0.011669,-3.444582,0.660657,0.330329,False
2022-10-01,-2.801736,-3.360943,-0.294658,-0.010503,0.249013,0.276477,-0.188231,-3.328846,0.527110,0.263555,False
2022-11-01,-2.778923,-3.360943,-0.142744,0.342866,0.237700,0.281698,-0.370699,-3.012122,0.233198,0.116599,False
2022-12-01,-3.075232,-3.360943,0.148230,0.519294,0.163638,0.224751,-0.502086,-2.807116,-0.268116,-0.134058,False
2023-01-01,-3.730727,-3.360943,0.294577,0.439841,0.042606,0.115056,-0.574156,-3.043019,-0.687708,-0.343854,False
2023-02-21,-4.348502,-3.360943,-0.061041,-0.109783,-0.164818,-0.108505,-0.531761,-4.336853,-0.011649,-0.005825,False
2023-03-14,-4.572704,-3.360943,-0.236497,-0.340749,-0.222144,-0.188700,-0.458336,-4.807370,0.234666,0.117333,False
2023-04-13,-4.426019,-3.360943,-0.272114,-0.518863,-0.253162,-0.266543,-0.307675,-4.979300,0.553280,0.276640,False
2023-05-09,-3.924387,-3.360943,-0.081978,-0.471820,-0.226476,-0.287647,-0.146323,-4.575188,0.650800,0.325400,False
