date,136.94,136.94_trend,136.94_0.5yr,136.94_0.75yr,136.94_1yr,136.94_jump,136.94_model,136.94_noise,136.94_wtest,flagged
2020-08-07,0.000000,0.114906,1.024431,-0.619867,-0.363801,0.000000,0.155669,-0.155669,-0.077835,False
2020-09-02,0.000000,-0.184626,0.008986,-0.610881,-0.080650,0.000000,-0.867171,0.867171,0.433585,False
2020-10-08,-1.000000,-0.599362,-1.232647,-0.265707,0.324938,0.000000,-1.772777,0.772777,0.386389,False
2020-11-04,-2.000000,-0.910414,-1.090416,0.123248,0.557236,0.000000,-1.320346,-0.679654,-0.339827,False
2020-12-01,0.000000,-1.221467,-0.076320,0.466608,0.671943,0.000000,-0.159236,0.159236,0.079618,False
2021-01-12,1.000000,-1.705673,1.285663,0.630767,0.569210,0.000000,0.779967,0.220033,0.110016,False
2021-02-02,,-1.948266,1.124172,0.499058,0.401462,0.000000,0.076427,,,False
2021-03-03,-2.000000,-2.283274,0.046388,0.141319,0.090282,0.000000,-2.005285,0.005285,0.002643,False
2021-04-07,-2.000000,-2.687595,-1.204332,-0.353936,-0.307017,0.000000,-4.552879,2.552879,1.276440,False
2021-05-14,-4.000000,-3.115020,-0.841008,-0.637586,-0.607033,0.000000,-5.200647,1.200647,0.600323,False
2021-06-03,-6.000000,-3.346060,-0.012616,-0.611256,-0.674130,0.000000,-4.644063,-1.355937,-0.677968,False
2021-07-07,-4.000000,-3.738829,1.199889,-0.292105,-0.606996,0.000000,-3.438041,-0.561959,-0.280980,False
2021-08-09,-3.000000,-4.120045,0.978128,0.181963,-0.347889,0.000000,-3.307845,0.307845,0.153922,False
2021-09-09,-5.000000,-4.478158,-0.289006,0.541094,-0.002881,0.000000,-4.228951,-0.771049,-0.385525,False
2021-10-05,-5.000000,-4.778511,-1.176349,0.643658,0.291276,0.000000,-5.019926,0.019926,0.009963,False
2021-11-23,-5.000000,-5.344560,-0.432229,0.263784,0.651853,0.000000,-4.861152,-0.138848,-0.069424,False
2021-12-14,-5.840633,-5.587152,0.492880,-0.038524,0.677010,0.000000,-4.455786,-1.384846,-0.692423,False
2022-01-01,,-5.795088,1.105072,-0.293315,0.628733,0.000000,-4.354599,,,False
2022-02-01,,-6.153201,1.146539,-0.596406,0.410830,0.000000,-5.192239,,,False
2022-03-01,-4.809083,-6.476658,0.136232,-0.622795,0.113395,0.000000,-6.849826,2.040743,1.020372,False
2022-04-01,-11.615274,-6.834770,-1.073923,-0.365068,-0.242934,0.000000,-8.516695,-3.098579,-1.549290,False
2022-05-01,,-7.181331,-1.191858,0.055104,-0.524359,-0.287441,-9.129885,,,False
2022-06-01,-9.296411,-7.539444,-0.102593,0.460612,-0.670922,-0.287441,-8.139788,-1.156623,-0.578311,False
2022-07-01,-5.001612,-7.886004,1.067452,0.641518,-0.635146,-0.287441,-7.099622,2.098010,1.049005,False
2022-08-01,-4.784451,-8.244117,1.177534,0.521566,-0.424652,-0.287441,-7.257111,2.472660,1.236330,False
2022-09-01,-8.964781,-8.602229,0.068886,0.148518,-0.096071,-0.287441,-8.768338,-0.196443,-0.098221,False
2022-10-01,-13.575483,-8.948790,-1.086624,-0.283406,0.248382,-0.287441,-10.357879,-3.217604,-1.608802,False
2022-11-01,-14.569943,-9.306903,-1.162424,-0.592143,0.535324,-0.968880,-11.495026,-3.074917,-1.537458,False
2022-12-01,-11.829590,-9.653463,-0.080128,-0.617855,0.671799,-0.968880,-10.648528,-1.181063,-0.590531,False
2023-01-01,-8.733979,-10.011576,1.105072,-0.349705,0.628733,-0.968880,-9.596357,0.862378,0.431189,False
2023-02-21,-10.832569,-10.600729,0.484952,0.361615,0.204232,-0.968880,-10.518811,-0.313758,-0.156879,False
2023-03-14,-12.001983,-10.843321,-0.440287,0.567349,-0.038012,-0.968880,-11.723152,-0.278831,-0.139416,False
2023-04-13,-13.244004,-11.189882,-1.283532,0.631497,-0.367827,-0.968880,-13.178625,-0.065379,-0.032689,False
2023-05-09,-12.453755,-11.490235,-1.000232,0.451834,-0.578624,-0.968880,-13.586138,1.132382,0.566191,False
2023-06-14,-12.744180,-11.906107,0.471947,-0.031146,-0.677437,-0.968880,-13.111624,0.367443,0.183722,False
2023-07-11,-12.961999,-12.218012,1.260096,-0.398861,-0.584614,-0.968880,-12.910270,-0.051729,-0.025864,False
2023-08-16,-13.252424,-12.633885,0.742505,-0.641964,-0.275266,-0.968880,-13.777491,0.525067,0.262533,False
2023-09-07,-13.429906,-12.888029,-0.200534,-0.585622,-0.026253,-0.968880,-14.669318,1.239413,0.619706,False
2023-10-04,-13.647724,-13.199934,-1.155947,-0.321333,0.280675,-0.968880,-15.365419,1.717695,0.858847,False
2023-11-16,-13.994621,-13.696671,-0.714448,0.288371,0.624257,-0.968880,-14.467371,0.472750,0.236375,False
2023-12-13,-14.212440,-14.008575,0.450874,0.569087,0.677815,-0.968880,-13.279680,-0.932759,-0.466380,False
2024-01-01,-9.996353,-14.228063,1.105072,0.643019,0.628733,-0.968880,-12.820120,2.823767,1.411883,False
2024-02-17,-17.744885,-14.769525,0.652181,0.334096,0.249701,-0.968880,-14.502427,-3.242459,-1.621229,False
2024-03-06,-16.890098,-14.976893,-0.125574,0.085738,0.045834,-1.204047,-16.174942,-0.715156,-0.357578,False
2024-04-17,-19.228927,-15.460752,-1.307554,-0.474155,-0.412826,-1.204047,-18.859334,-0.369593,-0.184796,False
2024-05-16,-19.462880,-15.794846,-0.747007,-0.641825,-0.620177,-1.204047,-19.007902,-0.454978,-0.227489,False
2024-06-13,-17.688766,-16.117419,0.453068,-0.544914,-0.677778,-1.204047,-18.091089,0.402323,0.201161,False
2024-07-10,-17.906585,-16.428471,1.253575,-0.245419,-0.587693,-1.204047,-17.212055,-0.694530,-0.347265,False
2024-08-08,-18.140538,-16.762564,0.995896,0.173425,-0.353905,-1.204047,-17.151195,-0.989343,-0.494672,False
2024-09-04,-18.358357,-17.073617,-0.080798,0.500614,-0.057458,-1.204047,-17.915305,-0.443052,-0.221526,False
2024-10-16,-18.697186,-17.557476,-1.305319,0.618535,0.403510,-1.204047,-19.044797,0.347610,0.173805,False
2024-11-12,-17.915005,-17.868528,-0.853479,0.400557,0.605118,-1.204047,-18.920379,1.005374,0.502687,False
2024-12-05,-17.100554,-18.133499,0.103201,0.093035,0.677082,-1.204047,-18.464228,1.363673,0.681837,False
2025-01-01,,-18.444551,1.105072,-0.293315,0.628733,-1.204047,-18.208109,,,False
2025-02-19,-19.713674,-19.010600,0.567401,-0.643611,0.226402,-1.204047,-20.064454,0.350781,0.175390,False
2025-03-13,-20.891155,-19.264744,-0.397621,-0.554917,-0.026336,-1.204047,-21.447666,0.556510,0.278255,False
2025-04-08,-22.100907,-19.565097,-1.221207,-0.275525,-0.317397,-1.204047,-22.583273,0.482366,0.241183,False
2025-05-06,-22.326793,-19.888554,-1.081841,0.128198,-0.559508,-1.204047,-22.605752,0.278959,0.139480,False
2025-06-03,-21.552679,-20.212010,-0.012616,0.480770,-0.674130,-1.204047,-21.622034,0.069355,0.034677,False
2025-07-16,-22.899575,-20.708747,1.301712,0.622324,-0.552753,-1.204047,-20.541511,-2.358064,-1.179032,False
2025-08-07,-22.077057,-20.962891,1.035584,0.464805,-0.367757,-1.204047,-21.034306,-1.042752,-0.521376,False
2025-09-16,-23.399752,-21.424972,-0.585183,-0.071648,0.078767,-1.204047,-23.207084,-0.192668,-0.096334,False
2025-10-01,-21.520762,-21.598253,-1.086624,-0.283406,0.248382,-1.204047,-23.923947,2.403185,1.201593,False
