date,14.487,14.487_trend,14.487_0.5yr,14.487_0.94yr,14.487_1yr,14.487_1.36yr,14.487_model,14.487_noise,14.487_wtest,flagged
2020-08-07,0.000000,-0.043487,-0.026663,-0.513412,0.293634,0.784675,0.494747,-0.494747,-0.247373,False
2020-09-02,-0.194197,-0.043487,0.010873,-0.572067,-0.115064,0.979510,0.259765,-0.453962,-0.226981,False
2020-10-08,-0.356507,-0.043487,0.044181,-0.446621,-0.627231,1.074228,0.001070,-0.357576,-0.178788,False
2020-11-04,0.006563,-0.043487,0.029603,-0.224132,-0.866726,1.001549,-0.103193,0.109756,0.054878,False
2020-12-01,-1.000000,-0.043487,-0.008645,0.051759,-0.923320,0.813654,-0.110039,-0.889961,-0.444981,False
2021-01-12,-0.194123,-0.043487,-0.044245,0.432925,-0.632899,0.346521,0.058815,-0.252939,-0.126469,False
2021-02-02,-0.756148,-0.043487,-0.031169,0.541647,-0.352041,0.067112,0.182062,-0.938210,-0.469105,False
2021-03-03,-1.000000,-0.043487,0.009639,0.560405,0.101888,-0.322302,0.306143,-1.306143,-0.653071,False
2021-04-07,-1.000000,-0.043487,0.043873,0.380191,0.606568,-0.730678,0.256468,-1.256468,-0.628234,False
2021-05-14,-1.443929,-0.043487,0.019037,0.028154,0.905190,-1.007756,-0.098861,-1.345068,-0.672534,False
2021-06-03,-1.351514,-0.043487,-0.010753,-0.178369,0.920821,-1.069166,-0.380954,-0.970560,-0.485280,False
2021-07-07,-1.731160,-0.043487,-0.043815,-0.461940,0.704696,-1.017208,-0.861754,-0.869406,-0.434703,False
2021-08-09,-1.794432,-0.043487,-0.024673,-0.571952,0.269310,-0.789046,-1.159849,-0.634583,-0.317292,False
2021-09-09,-1.861367,-0.043487,0.020373,-0.490477,-0.219774,-0.450056,-1.183420,-0.677947,-0.338973,False
2021-10-05,-1.000000,-0.043487,0.043480,-0.300886,-0.588239,-0.110490,-0.999623,-0.000377,-0.000189,False
2021-11-23,-1.095991,-0.043487,0.003640,0.192740,-0.927061,0.531420,-0.242748,-0.853243,-0.426621,False
2021-12-14,-0.442735,-0.043487,-0.026515,0.380769,-0.880458,0.758145,0.188454,-0.631189,-0.315594,False
2022-01-01,0.281991,-0.043487,-0.042232,0.498506,-0.749289,0.910605,0.574103,-0.292112,-0.146056,False
2022-02-01,0.807194,-0.043487,-0.032236,0.571301,-0.366765,1.059673,1.188485,-0.381291,-0.190646,False
