date,152.432,152.432_trend,152.432_0.2yr,152.432_0.37yr,152.432_0.44yr,152.432_0.5yr,152.432_0.93yr,152.432_1yr,152.432_jump,152.432_model,152.432_noise,152.432_wtest,flagged
2020-08-07,0.000000,0.944582,-0.591390,-0.289813,0.994138,-0.182025,-0.688625,-0.265237,0.000000,-0.078371,0.078371,0.039186,False
2020-09-02,2.000000,0.579017,0.331234,-0.601635,0.392350,0.548754,-0.211184,-0.258521,0.000000,0.780014,1.219986,0.609993,False
2020-10-08,0.000000,0.072849,-0.305489,0.140043,-0.849019,0.818550,0.503301,-0.167690,0.000000,0.212546,-0.212546,-0.106273,False
2020-11-04,0.000000,-0.306776,-0.165287,0.604814,-0.889469,0.254335,0.912880,-0.055976,0.000000,0.354521,-0.354521,-0.177261,False
2020-12-01,0.000000,-0.686401,0.530039,0.238233,-0.030815,-0.513238,1.100351,0.067551,0.000000,0.705719,-0.705719,-0.352860,False
2021-01-12,1.000000,-1.277353,-0.354238,-0.606844,1.005595,-0.762772,0.864002,0.222686,0.000000,-0.908925,1.908925,0.954462,False
2021-02-02,,-1.573427,0.545083,-0.351599,0.656553,-0.294391,0.537836,0.261643,0.000000,-0.218301,,,False
2021-03-03,-2.000000,-1.982289,-0.295274,0.405456,-0.413836,0.529208,-0.032043,0.259556,0.000000,-1.529223,-0.470777,-0.235389,False
2021-04-07,-2.000000,-2.475745,0.226642,0.427669,-0.981571,0.834753,-0.692740,0.173885,0.000000,-2.487105,0.487105,0.243553,False
2021-05-14,-6.000000,-2.997397,-0.249997,-0.490076,0.099545,0.008100,-1.081958,0.017753,0.000000,-4.694029,-1.305971,-0.652985,False
2021-06-03,-6.000000,-3.279372,-0.493864,-0.580024,0.776613,-0.546877,-1.091732,-0.073873,0.000000,-5.289129,-0.710871,-0.355436,False
2021-07-07,-4.000000,-3.758728,0.552470,0.185405,0.806617,-0.836848,-0.778155,-0.204450,0.000000,-4.033689,0.033689,0.016844,False
2021-08-09,-5.000000,-4.223986,-0.591326,0.584223,-0.355642,-0.134929,-0.186627,-0.266365,0.000000,-5.174652,0.174652,0.087326,False
