date,195.401,195.401_trend,195.401_0.41yr,195.401_0.5yr,195.401_0.92yr,195.401_1yr,195.401_model,195.401_noise,195.401_wtest,flagged
2020-08-07,0.000000,-1.145789,-0.143006,0.071269,0.370433,0.074105,-0.772988,0.772988,0.386494,False
2020-09-02,0.000000,-1.145789,0.110722,-0.228867,0.417366,0.268302,-0.578266,0.578266,0.289133,False
2020-10-08,0.000000,-1.145789,0.225929,-0.335754,0.325042,0.444057,-0.486514,0.486514,0.243257,False
2020-11-04,0.000000,-1.145789,0.008906,-0.101123,0.158255,0.469440,-0.610311,0.610311,0.305156,False
2020-12-01,0.000000,-1.145789,-0.218338,0.214362,-0.047860,0.395759,-0.801866,0.801866,0.400933,False
2021-01-12,0.000000,-1.145789,-0.069667,0.312255,-0.326734,0.126582,-1.103353,1.103353,0.551676,False
2021-02-02,,-1.145789,0.137567,0.117674,-0.401274,-0.042617,-1.334439,,,False
2021-03-03,0.000000,-1.145789,0.238609,-0.220886,-0.402918,-0.262714,-1.793697,1.793697,0.896848,False
2021-04-07,0.000000,-1.145789,-0.034222,-0.342638,-0.253235,-0.439043,-2.214927,2.214927,1.107464,False
2021-05-14,0.000000,-1.145789,-0.243873,0.000427,0.016843,-0.456880,-1.829272,1.829272,0.914636,False
2021-06-03,-1.000000,-1.145789,-0.140491,0.228101,0.168123,-0.389352,-1.279408,0.279408,0.139704,False
2021-07-07,0.000000,-1.145789,0.179459,0.343532,0.362199,-0.176625,-0.437224,0.437224,0.218612,False
2021-08-09,0.000000,-1.145789,0.198021,0.051839,0.415395,0.086916,-0.393618,0.393618,0.196809,False
2021-09-09,-1.000000,-1.145789,-0.087559,-0.285651,0.325200,0.311096,-0.882703,-0.117297,-0.058649,False
2021-10-05,0.000000,-1.145789,-0.244094,-0.347617,0.165155,0.434385,-1.137960,1.137960,0.568980,False
2021-11-23,0.000000,-1.145789,0.089244,0.127175,-0.203758,0.427751,-0.705377,0.705377,0.352689,False
2021-12-14,-0.514510,-1.145789,0.233439,0.317094,-0.327704,0.329086,-0.593873,0.079362,0.039681,False
2022-01-01,,-1.145789,0.222480,0.355209,-0.394712,0.210013,-0.752799,,,False
2022-02-01,,-1.145789,-0.041358,0.129259,-0.404503,-0.034510,-1.496900,,,False
2022-03-01,-4.589521,-1.145789,-0.239460,-0.200939,-0.298792,-0.249038,-2.134018,-2.455504,-1.227752,False
2022-04-01,,-1.145789,-0.116787,-0.356950,-0.090207,-0.418687,-2.128419,,,False
2022-05-01,,-1.145789,0.170036,-0.154744,0.140559,-0.472258,-1.462196,,,False
2022-06-01,-0.434120,-1.145789,0.216214,0.208536,0.332954,-0.398338,-0.786422,0.352302,0.176151,False
2022-07-01,,-1.145789,-0.044912,0.357219,0.415834,-0.220872,-0.638520,,,False
2022-08-01,,-1.145789,-0.244816,0.146344,0.367453,0.022330,-0.854477,,,False
2022-09-01,-1.174285,-1.145789,-0.085327,-0.215994,0.198869,0.259323,-0.988917,-0.185368,-0.092684,False
2022-10-01,,-1.145789,0.193223,-0.356333,-0.026981,0.420557,-0.915322,,,False
2022-11-01,,-1.145789,0.197715,-0.137847,-0.250836,0.471682,-0.865075,,,False
2022-12-01,,-1.145789,-0.078335,0.213524,-0.389919,0.396135,-1.004384,,,False
2023-01-01,-1.477810,-1.145789,-0.245337,0.355209,-0.407737,0.210013,-1.233641,-0.244169,-0.122085,False
2023-02-21,,-1.145789,0.143909,-0.112639,-0.163001,-0.191551,-1.469071,,,False
2023-03-14,-1.843870,-1.145789,0.245219,-0.309610,-0.003457,-0.331949,-1.545586,-0.298284,-0.149142,False
2023-04-13,-1.832692,-1.145789,0.089905,-0.313758,0.219240,-0.454719,-1.605121,-0.227572,-0.113786,False
2023-05-09,-1.823005,-1.145789,-0.161471,-0.060980,0.359848,-0.465559,-1.473950,-0.349055,-0.174527,False
2023-06-14,-1.809591,-1.145789,-0.194451,0.314170,0.413153,-0.331992,-0.944909,-0.864683,-0.432341,False
2023-07-11,-0.799531,-1.145789,0.053755,0.326231,0.332885,-0.146051,-0.578969,-0.220562,-0.110281,False
2023-08-16,-0.786118,-1.145789,0.242524,-0.034312,0.103121,0.142119,-0.692336,-0.093782,-0.046891,False
2023-09-07,-1.777921,-1.145789,0.114739,-0.270075,-0.067314,0.298669,-1.069770,-0.708151,-0.354075,False
2023-10-04,-1.767861,-1.145789,-0.148263,-0.350421,-0.258262,0.431119,-1.471617,-0.296244,-0.148122,False
2023-11-16,-1.751839,-1.145789,-0.156109,0.043513,-0.415329,0.448787,-1.224927,-0.526912,-0.263456,False
2023-12-13,-0.741779,-1.145789,0.105808,0.311153,-0.383418,0.334874,-0.777371,0.035592,0.017796,False
2024-01-01,,-1.145789,0.232622,0.355209,-0.302045,0.210013,-0.649990,,,False
2024-02-17,-0.717188,-1.145789,-0.017005,-0.063298,0.028318,-0.160394,-1.358168,0.640981,0.320490,False
2024-03-06,-2.710481,-1.145789,-0.180144,-0.256020,0.163985,-0.287971,-1.705939,-1.004542,-0.502271,False
2024-04-17,-1.694832,-1.145789,-0.130531,-0.281676,0.387088,-0.463632,-1.634540,-0.060292,-0.030146,False
2024-05-16,-1.684026,-1.145789,0.149522,0.032818,0.412186,-0.450956,-1.002218,-0.681808,-0.340904,False
2024-06-13,-1.673594,-1.145789,0.237717,0.311471,0.324455,-0.334576,-0.606723,-1.066871,-0.533436,False
2024-07-10,-0.663534,-1.145789,0.045071,0.328846,0.157389,-0.150082,-0.764564,0.101030,0.050515,False
2024-08-08,-1.652728,-1.145789,-0.210622,0.059168,-0.064221,0.082105,-1.279358,-0.373370,-0.186685,False
2024-09-04,-1.642668,-1.145789,-0.204239,-0.247257,-0.255339,0.281497,-1.571126,-0.071542,-0.035771,False
2024-10-16,-2.627019,-1.145789,0.172333,-0.289120,-0.413918,0.461996,-1.214499,-1.412520,-0.706260,False
2024-11-12,-1.616959,-1.145789,0.231888,-0.004057,-0.388363,0.457625,-0.848696,-0.768263,-0.384132,False
2024-12-05,-1.608389,-1.145789,0.065712,0.251676,-0.289521,0.377110,-0.740811,-0.867578,-0.433789,False
2025-01-01,,-1.145789,-0.186177,0.355209,-0.108409,0.210013,-0.875154,,,False
2025-02-19,-1.580072,-1.145789,-0.054699,-0.088959,0.253946,-0.176568,-1.212069,-0.368003,-0.184002,False
2025-03-13,-1.571875,-1.145789,0.158140,-0.303209,0.365263,-0.326111,-1.251705,-0.320170,-0.160085,False
2025-04-08,-1.562187,-1.145789,0.239788,-0.338811,0.417302,-0.441985,-1.269495,-0.292692,-0.146346,False
2025-05-06,-1.551755,-1.145789,0.042819,-0.097073,0.365208,-0.469115,-1.303949,-0.247806,-0.123903,False
2025-06-03,-1.541322,-1.145789,-0.206818,0.228101,0.215142,-0.389352,-1.298716,-0.242606,-0.121303,False
2025-07-16,-1.525300,-1.145789,-0.080958,0.295967,-0.108519,-0.106878,-1.146177,-0.379123,-0.189562,False
2025-08-07,-0.517103,-1.145789,0.136282,0.076120,-0.260709,0.070876,-1.123220,0.606116,0.303058,False
2025-09-16,-1.502199,-1.145789,0.188473,-0.329079,-0.412831,0.351596,-1.347629,-0.154570,-0.077285,False
2025-10-01,-1.496610,-1.145789,0.059465,-0.356333,-0.413689,0.420557,-1.435788,-0.060822,-0.030411,False
