date,200.197,200.197_trend,200.197_0.41yr,200.197_0.5yr,200.197_0.95yr,200.197_1yr,200.197_1.32yr,200.197_jump,200.197_model,200.197_noise,200.197_wtest,flagged
2020-08-07,0.000000,-1.213648,0.085845,0.153418,0.306183,0.125831,0.379905,0.000000,-0.162466,0.162466,0.081233,False
2020-09-02,-1.000000,-1.213648,0.086182,0.002913,-0.187779,0.324969,0.718051,0.000000,-0.269312,-0.730688,-0.365344,False
2020-10-08,0.000000,-1.213648,-0.046221,-0.182892,-0.782967,0.489422,1.045462,0.000000,-0.690843,0.690843,0.345422,False
2020-11-04,-1.000000,-1.213648,-0.100475,-0.163127,-1.028527,0.494823,1.145472,0.000000,-0.865482,-0.134518,-0.067259,False
2020-12-01,-1.000000,-1.213648,-0.039422,-0.012930,-1.034059,0.395803,1.105685,0.000000,-0.798571,-0.201429,-0.100715,False
2021-01-12,0.000000,-1.213648,0.098255,0.191018,-0.580765,0.089173,0.782489,0.000000,-0.633479,0.633479,0.316739,False
2021-02-02,0.000000,-1.213648,0.078942,0.168085,-0.208627,-0.092670,0.525846,0.000000,-0.742072,0.742072,0.371036,False
2021-03-03,-1.000000,-1.213648,-0.031118,0.008478,0.342296,-0.319395,0.111546,0.000000,-1.101841,0.101841,0.050920,False
2021-04-07,-2.000000,-1.213648,-0.098265,-0.178591,0.871943,-0.485401,-0.403823,0.000000,-1.507785,-0.492215,-0.246108,False
2021-05-14,-1.000000,-1.213648,0.019586,-0.126351,1.060796,-0.474748,-0.856762,0.000000,-1.591128,0.591128,0.295564,False
2021-06-03,-1.000000,-1.213648,0.086494,-0.003453,0.968635,-0.388015,-1.025144,0.000000,-1.575131,0.575131,0.287565,False
2021-07-07,-1.000000,-1.213648,0.063089,0.177918,0.537785,-0.144205,-1.148456,0.000000,-1.727517,0.727517,0.363759,False
2021-08-09,-1.000000,-1.213648,-0.065327,0.146594,-0.071612,0.139260,-1.055657,0.000000,-2.120389,1.120389,0.560195,False
2021-09-09,-2.000000,-1.213648,-0.091054,-0.041468,-0.625432,0.367228,-0.792307,0.000000,-2.396680,0.396680,0.198340,False
2021-10-05,-3.000000,-1.213648,-0.004138,-0.174353,-0.947332,0.481570,-0.470508,0.000000,-2.328410,-0.671590,-0.335795,False
2021-11-23,-2.000000,-1.213648,0.090738,-0.065804,-0.971585,0.435658,0.247385,0.000000,-1.477257,-0.522743,-0.261372,False
2021-12-14,-0.651538,-1.213648,0.024266,0.071882,-0.742074,0.316630,0.541575,0.000000,-1.001370,0.349832,0.174916,False
2022-01-01,,-1.213648,-0.049258,0.163593,-0.459161,0.181288,0.762369,0.000000,-0.614816,,,False
2022-02-01,,-1.213648,-0.097597,0.171366,0.121951,-0.084098,1.038957,0.000000,-0.063068,,,False
2022-03-01,,-1.213648,-0.015267,0.021839,0.619579,-0.305706,1.145519,0.000000,0.252315,,,False
2022-04-01,,-1.213648,0.091738,-0.158902,0.984339,-0.468161,1.087367,0.000000,0.322733,,,False
2022-05-01,,-1.213648,0.067266,-0.178001,1.049768,-0.501620,0.863855,0.000000,0.087621,,,False
2022-06-01,-2.745183,-1.213648,-0.054145,-0.016837,0.799999,-0.398953,0.496329,0.000000,-0.387254,-2.357929,-1.178964,False
2022-07-01,,-1.213648,-0.097231,0.157928,0.322770,-0.193419,0.063748,0.000000,-0.959852,,,False
2022-08-01,,-1.213648,-0.001185,0.175906,-0.266202,0.071193,-0.392581,0.000000,-1.626516,,,False
2022-09-01,-2.578728,-1.213648,0.096601,0.011824,-0.773362,0.316007,-0.785616,0.000000,-2.348194,-0.230534,-0.115267,False
2022-10-01,,-1.213648,0.056126,-0.160814,-1.038961,0.469792,-1.045883,0.000000,-2.933389,,,False
2022-11-01,,-1.213648,-0.065487,-0.173694,-0.998596,0.499781,-1.148527,0.000000,-3.100171,,,False
2022-12-01,,-1.213648,-0.092682,-0.013496,-0.666446,0.396262,-1.071497,0.000000,-2.661507,,,False
2023-01-01,-2.550774,-1.213648,0.012922,0.163593,-0.123050,0.181288,-0.822148,0.000000,-1.801043,-0.749731,-0.374865,False
2023-02-21,,-1.213648,0.076943,0.073626,0.768391,-0.247498,-0.151728,0.000000,-0.693915,,,False
2023-03-14,-3.075505,-1.213648,-0.001032,-0.064031,0.986145,-0.387503,0.161903,-3.199117,-3.717283,0.641777,0.320889,False
2023-04-13,-2.121167,-1.213648,-0.096026,-0.190687,1.049005,-0.497467,0.583371,-3.199117,-3.564568,1.443401,0.721701,False
2023-05-09,-2.160741,-1.213648,-0.070720,-0.149852,0.857188,-0.487986,0.879329,-3.199117,-3.384806,1.224065,0.612032,False
2023-06-14,-3.215535,-1.213648,0.067153,0.068757,0.299753,-0.320013,1.118660,-3.199117,-3.178456,-0.037079,-0.018540,False
2023-07-11,-3.256630,-1.213648,0.096225,0.187081,-0.214619,-0.110509,1.140204,-3.199117,-3.314383,0.057753,0.028876,False
2023-08-16,-3.311424,-1.213648,-0.023400,0.111784,-0.802435,0.196699,0.953333,-3.199117,-3.976784,0.665359,0.332680,False
2023-09-07,-3.344910,-1.213648,-0.092122,-0.028282,-1.010036,0.355039,0.732963,-3.199117,-4.455203,1.110294,0.555147,False
2023-10-04,-3.386005,-1.213648,-0.075497,-0.171269,-1.047003,0.478837,0.382912,-3.199117,-4.844785,1.458780,0.729390,False
2023-11-16,-3.451454,-1.213648,0.082134,-0.107631,-0.616562,0.463384,-0.251772,-3.199117,-4.843213,1.391759,0.695880,False
2023-12-13,-3.492549,-1.213648,0.087314,0.065611,-0.137385,0.323372,-0.622893,-3.199117,-4.696746,1.204196,0.602098,False
2024-01-01,,-1.213648,0.025289,0.163593,0.226394,0.181288,-0.840608,-3.199117,-4.656808,,,False
2024-02-17,-4.593005,-1.213648,-0.099520,0.098412,0.929220,-0.215553,-1.137779,-3.199117,-4.837985,0.244979,0.122490,False
2024-03-06,-4.620402,-1.213648,-0.062769,-0.017117,1.045357,-0.344490,-1.143588,-3.199117,-4.935372,0.314969,0.157485,False
2024-04-17,-4.684329,-1.213648,0.088883,-0.194515,0.890508,-0.503226,-0.920340,-3.199117,-5.051456,0.367127,0.183563,False
2024-05-16,-4.728468,-1.213648,0.075068,-0.112450,0.480693,-0.466373,-0.602439,-3.199117,-5.038266,0.309797,0.154899,False
2024-06-13,-4.771086,-1.213648,-0.032527,0.065939,-0.038955,-0.323025,-0.214549,-3.199117,-4.955881,0.184795,0.092398,False
2024-07-10,-4.812182,-1.213648,-0.099928,0.186084,-0.532305,-0.114938,0.186753,-3.199117,-4.787099,-0.025083,-0.012541,False
2024-08-08,-4.856321,-1.213648,-0.045300,0.149213,-0.921187,0.134222,0.591083,-3.199117,-4.504733,-0.351588,-0.175794,False
2024-09-04,-4.897417,-1.213648,0.061895,-0.010450,-1.062199,0.338082,0.893858,-3.199117,-4.191578,-0.705839,-0.352919,False
2024-10-16,-3.961343,-1.213648,0.066287,-0.194129,-0.795732,0.502281,1.138669,-3.199117,-3.695388,-0.265955,-0.132977,False
2024-11-12,-4.002439,-1.213648,-0.040139,-0.128194,-0.372599,0.475830,1.121580,-3.199117,-3.356287,-0.646152,-0.323076,False
2024-12-05,-4.037446,-1.213648,-0.098598,0.013785,0.061017,0.373265,0.998502,-3.199117,-3.064794,-0.972652,-0.486326,False
2025-01-01,,-1.213648,-0.059833,0.163593,0.551305,0.181288,0.742152,-3.199117,-2.834258,,,False
2025-02-19,-5.153123,-1.213648,0.099403,0.085851,1.052784,-0.232168,0.072721,-3.199117,-3.334175,-1.818947,-0.909474,False
2025-03-13,-5.186608,-1.213648,0.071984,-0.057665,1.026803,-0.381850,-0.254695,-3.199117,-4.008188,-1.178420,-0.589210,False
2025-04-08,-5.226182,-1.213648,-0.029104,-0.181153,0.790416,-0.487775,-0.612789,-3.199117,-4.933169,-0.293012,-0.146506,False
2025-05-06,-6.268799,-1.213648,-0.100027,-0.161866,0.345622,-0.494199,-0.919382,-3.199117,-5.742618,-0.526182,-0.263091,False
2025-06-03,-7.311417,-1.213648,-0.047914,-0.003453,-0.186251,-0.388015,-1.104746,-3.199117,-6.143144,-1.168273,-0.584136,False
2025-07-16,-6.376865,-1.213648,0.097110,0.193540,-0.867794,-0.067671,-1.103147,-3.199117,-6.160727,-0.216138,-0.108069,False
2025-08-07,-6.410351,-1.213648,0.079333,0.155060,-1.037936,0.122441,-0.967309,-3.199117,-6.061176,-0.349174,-0.174587,False
2025-09-16,-6.471233,-1.213648,-0.070008,-0.085667,-0.928620,0.406372,-0.529838,-3.199117,-5.620526,-0.850707,-0.425354,False
2025-10-01,-6.494064,-1.213648,-0.099082,-0.160814,-0.755739,0.469792,-0.321604,-3.199117,-5.280212,-1.213851,-0.606926,False
