date,222.366,222.366_trend,222.366_0.5yr,222.366_0.78yr,222.366_1yr,222.366_model,222.366_noise,222.366_wtest,flagged
2020-08-07,0.000000,-0.384517,0.361856,-0.061070,-0.056312,-0.140042,0.140042,0.070021,False
2020-09-02,0.000000,-0.384517,-0.012495,0.032099,0.155181,-0.209732,0.209732,0.104866,False
2020-10-08,0.000000,-0.384517,-0.452473,0.138316,0.389950,-0.308724,0.308724,0.154362,False
2020-11-04,0.000000,-0.384517,-0.386889,0.165737,0.474301,-0.131367,0.131367,0.065683,False
2020-12-01,1.000000,-0.384517,-0.011959,0.136334,0.458563,0.198421,0.801579,0.400789,False
2021-01-12,0.000000,-0.384517,0.469344,0.006764,0.249549,0.341140,-0.341140,-0.170570,False
2021-02-02,0.000000,-0.384517,0.399782,-0.067984,0.088208,0.035490,-0.035490,-0.017745,False
2021-03-03,-1.000000,-0.384517,0.001083,-0.144804,-0.148663,-0.676901,-0.323099,-0.161549,False
2021-04-07,-1.000000,-0.384517,-0.443076,-0.159992,-0.381408,-1.368992,0.368992,0.184496,False
2021-05-14,-1.000000,-0.384517,-0.293042,-0.077995,-0.480400,-1.235954,0.235954,0.117977,False
2021-06-03,0.000000,-0.384517,0.011178,-0.008043,-0.454933,-0.836315,0.836315,0.418157,False
2021-07-07,0.000000,-0.384517,0.441589,0.107007,-0.293833,-0.129754,0.129754,0.064877,False
2021-08-09,0.000000,-0.384517,0.344394,0.164109,-0.043164,0.080823,-0.080823,-0.040411,False
2021-09-09,0.000000,-0.384517,-0.120216,0.141866,0.206250,-0.156617,0.156617,0.078308,False
2021-10-05,0.000000,-0.384517,-0.433665,0.072619,0.373736,-0.371826,0.371826,0.185913,False
2021-11-23,-1.000000,-0.384517,-0.141938,-0.097365,0.474025,-0.149795,-0.850205,-0.425103,False
2021-12-14,0.829406,-0.384517,0.193408,-0.147058,0.415652,0.077485,0.751920,0.375960,False
2022-01-01,0.885756,-0.384517,0.409345,-0.165187,0.322371,0.182012,0.703745,0.351872,False
2022-02-01,0.560230,-0.384517,0.408367,-0.136613,0.096325,-0.016437,0.576667,0.288334,False
2022-03-01,-0.375749,-0.384517,0.033754,-0.056974,-0.132848,-0.540585,0.164836,0.082418,False
2022-04-01,-1.234881,-0.384517,-0.398609,0.054219,-0.349249,-1.078155,-0.156726,-0.078363,False
2022-05-01,-1.318283,-0.384517,-0.425900,0.139052,-0.466630,-1.137995,-0.180289,-0.090144,False
2022-06-01,-0.609089,-0.384517,-0.021513,0.164768,-0.459983,-0.701244,0.092155,0.046078,False
2022-07-01,0.150883,-0.384517,0.396372,0.118901,-0.331461,-0.200705,0.351588,0.175794,False
2022-08-01,0.298799,-0.384517,0.420335,0.019160,-0.108446,-0.053468,0.352267,0.176133,False
2022-09-01,-0.154330,-0.384517,0.009257,-0.089204,0.144725,-0.319738,0.165408,0.082704,False
2022-10-01,-0.688994,-0.384517,-0.402993,-0.156235,0.352076,-0.591668,-0.097326,-0.048663,False
2022-11-01,-0.743235,-0.384517,-0.414489,-0.156051,0.469430,-0.485626,-0.257609,-0.128805,False
2022-12-01,-0.304542,-0.384517,-0.013343,-0.088739,0.458772,-0.027828,-0.276714,-0.138357,False
2023-01-01,0.100084,-0.384517,0.409345,0.019707,0.322371,0.366906,-0.266822,-0.133411,False
2023-02-21,-0.165061,-0.384517,0.161303,0.157013,-0.068204,-0.134404,-0.030658,-0.015329,False
2023-03-14,-0.164329,-0.384517,-0.174570,0.164185,-0.232005,-0.626906,0.462577,0.231288,False
2023-04-13,-1.163284,-0.384517,-0.468704,0.115539,-0.409501,-1.147182,-0.016102,-0.008051,False
2023-05-09,-1.162377,-0.384517,-0.352721,0.032525,-0.477928,-1.182641,0.020263,0.010132,False
2023-06-14,-0.161122,-0.384517,0.185914,-0.093175,-0.417711,-0.709489,0.548367,0.274183,False
2023-07-11,-0.160181,-0.384517,0.461388,-0.154050,-0.266982,-0.344160,0.183979,0.091989,False
2023-08-16,-0.158926,-0.384517,0.256402,-0.151572,0.014672,-0.265014,0.106088,0.053044,False
2023-09-07,-0.158159,-0.384517,-0.088322,-0.102757,0.191190,-0.384405,0.226246,0.113123,False
2023-10-04,-0.157218,-0.384517,-0.426746,-0.012059,0.368484,-0.454839,0.297620,0.148810,False
2023-11-16,-0.155719,-0.384517,-0.245997,0.127342,0.480015,-0.023157,-0.132562,-0.066281,False
2023-12-13,-0.154778,-0.384517,0.178364,0.164939,0.419739,0.378526,-0.533304,-0.266652,False
2024-01-01,0.502055,-0.384517,0.409345,0.157303,0.322371,0.504501,-0.002447,-0.001223,False
2024-02-17,0.847523,-0.384517,0.222948,0.035491,-0.034260,-0.160339,1.007861,0.503931,False
2024-03-06,-2.151850,-0.384517,-0.061240,-0.029734,-0.178383,-0.653874,-1.497976,-0.748988,False
2024-04-17,-2.150386,-0.384517,-0.474884,-0.148070,-0.428501,-1.435972,-0.714414,-0.357207,False
2024-05-16,-1.149375,-0.384517,-0.258073,-0.163294,-0.480274,-1.286158,0.136783,0.068392,False
2024-06-13,-1.148399,-0.384517,0.179151,-0.116838,-0.419530,-0.741734,-0.406664,-0.203332,False
2024-07-10,-1.147458,-0.384517,0.459294,-0.030988,-0.270560,-0.226770,-0.920688,-0.460344,False
2024-08-08,-1.146447,-0.384517,0.351086,0.072124,-0.048113,-0.009419,-1.137028,-0.568514,False
2024-09-04,-0.145505,-0.384517,-0.045039,0.143312,0.170698,-0.115544,-0.029961,-0.014981,False
2024-10-16,-0.144041,-0.384517,-0.474613,0.152789,0.424707,-0.281634,0.137593,0.068796,False
2024-11-12,-0.143100,-0.384517,-0.297694,0.090626,0.480340,-0.111244,-0.031856,-0.015928,False
2024-12-05,-0.142298,-0.384517,0.053147,0.011973,0.447641,0.128245,-0.270543,-0.135272,False
2025-01-01,-0.195811,-0.384517,0.409345,-0.082637,0.322371,0.264562,-0.460373,-0.230186,False
2025-02-19,-0.139649,-0.384517,0.191652,-0.165659,-0.051792,-0.410316,0.270667,0.135333,False
2025-03-13,-1.138882,-0.384517,-0.159264,-0.143995,-0.224728,-0.912504,-0.226378,-0.113189,False
2025-04-08,-1.137976,-0.384517,-0.448695,-0.076377,-0.386381,-1.295969,0.157993,0.078997,False
