date,23.493,23.493_trend,23.493_0.5yr,23.493_1yr,23.493_1.38yr,23.493_model,23.493_noise,23.493_wtest,flagged
2020-08-07,0.000000,-0.824774,0.128393,0.695308,-0.448563,-0.449636,0.449636,0.224818,False
2020-09-02,1.372404,-0.824774,-0.261806,0.808648,-0.341154,-0.619086,1.991490,0.995745,False
2020-10-08,0.518830,-0.824774,-0.440916,0.704865,-0.137073,-0.697897,1.216727,0.608364,False
2020-11-04,0.993437,-0.824774,-0.165608,0.449808,0.036215,-0.504359,1.497796,0.748898,False
2020-12-01,2.000000,-0.824774,0.242116,0.099829,0.205456,-0.277374,2.277374,1.138687,False
2021-01-12,2.000000,-0.824774,0.416412,-0.457673,0.417018,-0.449018,2.449018,1.224509,False
2021-02-02,0.924911,-0.824774,0.186110,-0.665529,0.483616,-0.820577,1.745488,0.872744,False
2021-03-03,0.000000,-0.824774,-0.250955,-0.807436,0.520782,-1.362383,1.362383,0.681192,False
2021-04-07,0.000000,-0.824774,-0.447512,-0.716601,0.476067,-1.512820,1.512820,0.756410,False
2021-05-14,1.000000,-0.824774,-0.037881,-0.348352,0.332134,-0.878874,1.878874,0.939437,False
2021-06-03,1.351514,-0.824774,0.260763,-0.080156,0.222783,-0.421384,1.772898,0.886449,False
2021-07-07,2.577222,-0.824774,0.448333,0.379850,0.009292,0.012702,2.564521,1.282260,False
2021-08-09,3.681987,-0.824774,0.104019,0.706610,-0.199861,-0.214006,3.895993,1.947996,False
2021-09-09,0.861367,-0.824774,-0.340459,0.812379,-0.366505,-0.719359,1.580727,0.790363,False
2021-10-05,0.000000,-0.824774,-0.451939,0.726249,-0.465341,-1.015805,1.015805,0.507902,False
2021-11-23,0.000000,-0.824774,0.125986,0.210722,-0.515388,-1.003454,1.003454,0.501727,False
2021-12-14,0.091681,-0.824774,0.385786,-0.080427,-0.478281,-0.997696,1.089377,0.544689,False
2022-01-01,-1.088169,-0.824774,0.457385,-0.323129,-0.420344,-1.110861,0.022692,0.011346,False
2022-02-01,-1.284017,-0.824774,0.200403,-0.657408,-0.273299,-1.555077,0.271060,0.135530,False
2022-03-01,-1.145419,-0.824774,-0.224003,-0.803839,-0.105054,-1.957670,0.812250,0.406125,False
2022-04-01,-0.727208,-0.824774,-0.457959,-0.752264,0.095104,-1.939892,1.212684,0.606342,False
2022-05-01,-0.126811,-0.824774,-0.231670,-0.502565,0.275726,-1.283282,1.156472,0.578236,False
2022-06-01,0.517688,-0.824774,0.234242,-0.107940,0.422024,-0.276448,0.794136,0.397068,False
2022-07-01,1.074483,-0.824774,0.457971,0.303774,0.504417,0.441389,0.633094,0.316547,False
2022-08-01,1.392013,-0.824774,0.221393,0.644861,0.516159,0.557639,0.834375,0.417187,False
2022-09-01,1.361852,-0.824774,-0.244324,0.806626,0.451674,0.189203,1.172649,0.586325,False
2022-10-01,0.956105,-0.824774,-0.457831,0.749594,0.325584,-0.207428,1.163533,0.581766,False
2022-11-01,0.256052,-0.824774,-0.210968,0.485914,0.148210,-0.401618,0.657671,0.328835,False
2022-12-01,-0.615227,-0.824774,0.240981,0.101005,-0.044581,-0.527370,-0.087858,-0.043929,False
2023-01-01,-1.471131,-0.824774,0.457385,-0.323129,-0.237006,-0.927523,-0.543607,-0.271804,False
2023-02-21,-1.013160,-0.824774,-0.106926,-0.779985,-0.466214,-2.177899,1.164739,0.582370,False
2023-03-14,-3.168281,-0.824774,-0.374812,-0.810054,-0.510463,-2.520103,-0.648178,-0.324089,False
2023-04-13,-2.461465,-0.824774,-0.418037,-0.673301,-0.513013,-2.429125,-0.032340,-0.016170,False
2023-05-09,-1.755325,-0.824774,-0.115500,-0.410164,-0.457540,-1.807978,0.052654,0.026327,False
2023-06-14,-1.015957,-0.824774,0.381481,0.073465,-0.304110,-0.673937,-0.342019,-0.171010,False
2023-07-11,-1.233040,-0.824774,0.431257,0.428367,-0.147276,-0.112425,-1.120615,-0.560308,False
2023-08-16,-0.321796,-0.824774,-0.005435,0.749699,0.084223,0.003713,-0.325509,-0.162754,False
2023-09-07,-1.423206,-0.824774,-0.318578,0.812383,0.220370,-0.110598,-1.312607,-0.656304,False
2023-10-04,-0.948217,-0.824774,-0.454221,0.732413,0.363957,-0.182626,-0.765592,-0.382796,False
2023-11-16,-0.568172,-0.824774,0.017257,0.303522,0.503264,-0.000732,-0.567440,-0.283720,False
2023-12-13,0.130600,-0.824774,0.377063,-0.066498,0.519369,0.005160,0.125440,0.062720,False
2024-01-01,-1.577767,-0.824774,0.457385,-0.323129,0.495561,-0.194956,-1.382811,-0.691405,False
2024-02-17,-2.760769,-0.824774,-0.042766,-0.761858,0.324713,-1.304685,-1.456084,-0.728042,False
2024-03-06,-1.798046,-0.824774,-0.299055,-0.811645,0.226170,-1.709304,-0.088742,-0.044371,False
2024-04-17,-2.885026,-0.824774,-0.382376,-0.634277,-0.038154,-1.879581,-1.005445,-0.502722,False
2024-05-16,-1.945083,-0.824774,0.003518,-0.314795,-0.219064,-1.355115,-0.589968,-0.294984,False
2024-06-13,-0.965830,-0.824774,0.377527,0.067221,-0.367205,-0.747231,-0.218599,-0.109299,False
2024-07-10,-1.058985,-0.824774,0.433957,0.422148,-0.468446,-0.437116,-0.621869,-0.310934,False
2024-08-08,-2.119042,-0.824774,0.113226,0.702422,-0.518682,-0.527808,-1.591234,-0.795617,False
2024-09-04,-2.174957,-0.824774,-0.286972,0.810885,-0.505431,-0.806292,-1.368666,-0.684333,False
2024-10-16,-2.261937,-0.824774,-0.390803,0.642900,-0.375173,-0.947850,-1.314087,-0.657043,False
2024-11-12,-2.317852,-0.824774,-0.043588,0.352937,-0.235117,-0.750541,-1.567311,-0.783655,False
2024-12-05,-2.365484,-0.824774,0.293056,0.044267,-0.094380,-0.581831,-1.783653,-0.891826,False
2025-01-01,-3.134002,-0.824774,0.457385,-0.323129,0.079732,-0.610786,-2.523216,-1.261608,False
2025-02-19,-3.522875,-0.824774,-0.076034,-0.771690,0.360689,-1.311809,-2.211066,-1.105533,False
2025-03-13,-3.030887,-0.824774,-0.365531,-0.811019,0.449029,-1.552295,-1.478592,-0.739296,False
2025-04-08,-2.622280,-0.824774,-0.443897,-0.709903,0.509740,-1.468834,-1.153446,-0.576723,False
2025-05-06,-2.680267,-0.824774,-0.160576,-0.445822,0.515621,-0.915551,-1.764716,-0.882358,False
2025-06-03,-2.738253,-0.824774,0.260763,-0.080156,0.459237,-0.184930,-2.553323,-1.276661,False
2025-07-16,-2.827303,-0.824774,0.398483,0.486132,0.269139,0.328979,-3.156283,-1.578141,False
