date,269.038,269.038_trend,269.038_0.31yr,269.038_0.5yr,269.038_0.94yr,269.038_1yr,269.038_1.55yr,269.038_model,269.038_noise,269.038_wtest,flagged
2020-08-07,0.000000,1.794337,-0.264366,-0.007726,-0.633830,-0.078455,0.429682,1.239642,-1.239642,-0.619821,False
2020-09-02,1.000000,1.430196,0.232864,-0.009746,-0.496077,-0.199521,0.543111,1.500827,-0.500827,-0.250414,False
2020-10-08,1.000000,0.926002,0.175591,-0.001246,-0.135179,-0.298883,0.625000,1.291285,-0.291285,-0.145642,False
2020-11-04,1.000000,0.547855,-0.320142,0.007158,0.182299,-0.301357,0.622198,0.738012,0.261988,0.130994,False
2020-12-01,1.000000,0.169709,-0.223945,0.009839,0.456341,-0.240237,0.564169,0.735878,0.264122,0.132061,False
2021-01-12,1.000000,-0.418940,0.374853,-0.000300,0.650639,-0.052619,0.377572,0.931205,0.068795,0.034398,False
2021-02-02,0.000000,-0.713860,0.105341,-0.006814,0.609517,0.058260,0.250590,0.303033,-0.303033,-0.151517,False
2021-03-03,-1.000000,-1.121129,-0.366554,-0.009801,0.409948,0.196139,0.054500,-0.836898,-0.163102,-0.081551,False
2021-04-07,-2.000000,-1.612662,0.048818,-0.001833,0.026294,0.296482,-0.187705,-1.430606,-0.569394,-0.284697,False
2021-05-14,-2.000000,-2.132282,0.308804,0.008828,-0.387214,0.288870,-0.412600,-2.325594,0.325594,0.162797,False
2021-06-03,-4.000000,-2.413158,-0.057642,0.009751,-0.548885,0.235454,-0.507550,-3.282029,-0.717971,-0.358985,False
2021-07-07,-4.000000,-2.890646,-0.336634,0.001917,-0.649869,0.086222,-0.609836,-4.398845,0.398845,0.199422,False
2021-08-09,-4.000000,-3.354091,0.252447,-0.008060,-0.514334,-0.086630,-0.626994,-4.337664,0.337664,0.168832,False
2021-09-09,-4.000000,-3.789448,0.239825,-0.009019,-0.219194,-0.225149,-0.567143,-4.570128,0.570128,0.285064,False
2021-10-05,-4.000000,-4.154587,-0.259005,-0.002336,0.086083,-0.294190,-0.465089,-5.089124,1.089124,0.544562,False
2021-11-23,-4.000000,-4.842732,0.124194,0.009891,0.557979,-0.264743,-0.177350,-4.592762,0.592762,0.296381,False
2021-12-14,-5.146723,-5.137652,0.376746,0.008209,0.642935,-0.191679,-0.032664,-4.334106,-0.812617,-0.406309,False
2022-01-01,,-5.390440,0.225793,0.003403,0.641103,-0.108879,0.093063,-4.535957,,,False
2022-02-01,,-5.825797,-0.333182,-0.006560,0.480160,0.053038,0.298149,-5.334192,,,False
2022-03-01,,-6.219023,-0.183107,-0.009901,0.202845,0.187830,0.453907,-5.567448,,,False
2022-04-01,-3.048219,-6.654380,0.354037,-0.003803,-0.161510,0.286144,0.575072,-5.604440,2.556220,1.278110,False
2022-05-01,,-7.075694,0.097260,0.005960,-0.466971,0.305642,0.628153,-6.505651,,,False
2022-06-01,-6.899051,-7.511051,-0.375383,0.009869,-0.637506,0.242171,0.610422,-7.661479,0.762427,0.381214,False
2022-07-01,,-7.932365,-0.005570,0.003882,-0.612191,0.116292,0.524964,-7.904987,,,False
2022-08-01,,-8.367722,0.374179,-0.006164,-0.397326,-0.045177,0.376168,-8.066042,,,False
2022-09-01,-8.796904,-8.803079,-0.106725,-0.009830,-0.057811,-0.194083,0.183223,-8.988305,0.191401,0.095701,False
2022-10-01,,-9.224393,-0.350495,-0.003644,0.289212,-0.287123,-0.024228,-9.600671,,,False
2022-11-01,,-9.659750,0.191642,0.006364,0.557364,-0.304476,-0.235526,-9.444382,,,False
2022-12-01,,-10.081064,0.305756,0.009844,0.650848,-0.240519,-0.413923,-9.769057,,,False
2023-01-01,-11.919158,-10.516421,-0.265046,0.003403,0.546394,-0.108879,-0.550251,-10.890800,-1.028359,-0.514179,False
2023-02-21,-10.741204,-11.232654,0.170484,-0.009830,0.040578,0.152471,-0.629724,-11.508676,0.767472,0.383736,False
2023-03-14,-12.805176,-11.527574,0.376894,-0.008444,-0.206091,0.237432,-0.604549,-11.732332,-1.072844,-0.536422,False
2023-04-13,-12.896564,-11.948887,-0.059714,0.000214,-0.498135,0.303660,-0.512518,-12.715379,-0.181185,-0.090592,False
