date,291.925,291.925_trend,291.925_0.5yr,291.925_1yr,291.925_1.05yr,291.925_2.1yr,291.925_2.78yr,291.925_model,291.925_noise,291.925_wtest,flagged
2020-08-07,0.000000,-1.694592,-0.591766,-0.977388,-1.197806,3.218804,-1.002520,-2.245268,2.245268,0.748423,False
2020-09-02,-1.000000,-1.694592,0.226966,-1.442239,-0.359823,2.683127,-0.545174,-1.131734,0.131734,0.043911,False
2020-10-08,-1.000000,-1.694592,0.964944,-1.609764,0.871948,1.748169,0.108665,0.389370,-1.389370,-0.463123,False
2020-11-04,0.000000,-1.694592,0.655439,-1.339420,1.623353,0.943350,0.597299,0.785429,-0.785429,-0.261810,False
2020-12-01,-1.000000,-1.694592,-0.178136,-0.786424,2.063518,0.092758,1.069367,0.566491,-1.566491,-0.522164,False
2021-01-12,-2.000000,-1.694592,-0.968066,0.349155,1.955012,-1.224919,1.740627,0.157216,-2.157216,-0.719072,False
2021-02-02,-2.000000,-1.694592,-0.689305,0.888026,1.546468,-1.840430,2.035632,0.245799,-2.245799,-0.748600,False
2021-03-03,-2.000000,-1.694592,0.199919,1.431375,0.697836,-2.597458,2.385572,0.422652,-2.422652,-0.807551,False
2021-04-07,-1.000000,-1.694592,0.957545,1.615750,-0.512129,-3.313222,2.704888,-0.241761,-0.758239,-0.252746,False
2021-05-14,-1.000000,-1.694592,0.426191,1.193873,-1.605308,-3.774498,2.904627,-2.549708,1.549708,0.516569,False
2021-06-03,-2.000000,-1.694592,-0.224349,0.751538,-1.975550,-3.881811,2.949737,-4.075028,2.075028,0.691676,False
2021-07-07,-2.000000,-1.694592,-0.956195,-0.169720,-2.111782,-3.825172,2.922702,-5.834758,3.834758,1.278253,False
2021-08-09,-1.000000,-1.694592,-0.548622,-1.012747,-1.631600,-3.487683,2.772981,-5.602263,4.602263,1.534088,False
2021-09-09,-2.000000,-1.694592,0.435573,-1.518609,-0.751479,-2.938874,2.527047,-3.940934,1.940934,0.646978,False
2021-10-05,-2.000000,-1.694592,0.948386,-1.619772,0.144258,-2.331201,2.248723,-2.304199,0.304199,0.101400,False
2021-11-23,-2.000000,-1.694592,0.090608,-0.976148,1.636800,-0.925007,1.573042,-0.295297,-1.704703,-0.568234,False
2021-12-14,-0.427399,-1.694592,-0.570802,-0.453415,2.006083,-0.262962,1.235336,0.259648,-0.687046,-0.229015,False
2022-01-01,1.705310,-1.694592,-0.919909,0.044116,2.136131,0.311442,0.929046,0.806234,0.899076,0.299692,False
2022-02-01,2.589689,-1.694592,-0.712371,0.864461,1.929235,1.277854,0.376740,2.041328,0.548361,0.182787,False
2022-03-01,2.554187,-1.694592,0.134165,1.404019,1.319104,2.081831,-0.134588,3.109939,-0.555752,-0.185251,False
2022-04-01,1.468777,-1.694592,0.905869,1.625354,0.332318,2.842997,-0.695356,3.316591,-1.847814,-0.615938,False
2022-05-01,-0.345772,-1.694592,0.761142,1.408874,-0.705444,3.406168,-1.213919,1.962229,-2.308000,-0.769333,False
2022-06-01,-2.572290,-1.694592,-0.158914,0.800701,-1.599494,3.772507,-1.705689,-0.585482,-1.986808,-0.662269,False
2022-07-01,-4.568968,-1.694592,-0.902859,-0.002152,-2.081334,3.896452,-2.122106,-2.906590,-1.662378,-0.554126,False
