date,43.484,43.484_trend,43.484_0.27yr,43.484_0.5yr,43.484_0.56yr,43.484_0.65yr,43.484_0.76yr,43.484_1yr,43.484_1.14yr,43.484_model,43.484_noise,43.484_wtest,flagged
2020-08-07,0.000000,-0.311705,-0.201538,0.147312,0.261743,0.082954,-0.036186,0.114551,-0.299546,-0.242414,0.242414,0.121207,False
2020-09-02,-0.329833,-0.456325,0.205586,0.091941,0.150559,-0.055818,-0.157268,0.156550,-0.326931,-0.391706,0.061874,0.030937,False
2020-10-08,-1.755715,-0.656568,0.004226,-0.078505,-0.127571,-0.194342,-0.232270,0.163380,-0.283631,-1.405282,-0.350433,-0.175217,False
2020-11-04,-2.000000,-0.806751,-0.274383,-0.146822,-0.257874,-0.192885,-0.192244,0.128093,-0.196146,-1.939012,-0.060988,-0.030494,False
2020-12-01,-1.000000,-0.956933,0.075566,-0.097744,-0.221368,-0.097432,-0.082900,0.065774,-0.076679,-1.391714,0.391714,0.195857,False
2021-01-12,0.000000,-1.190717,0.052987,0.096868,0.079319,0.119886,0.128169,-0.052940,0.126207,-0.640222,0.640222,0.320111,False
2021-02-02,-0.678967,-1.307846,-0.252171,0.146066,0.215872,0.190657,0.202655,-0.106019,0.213980,-0.696805,0.017838,0.008919,False
2021-03-03,-1.000000,-1.469594,-0.040380,0.095194,0.256039,0.192457,0.229814,-0.155651,0.298644,-0.593476,-0.406524,-0.203262,False
2021-04-07,-1.000000,-1.664808,0.240949,-0.070936,0.059386,0.055409,0.137201,-0.164511,0.325066,-1.082244,0.082244,0.041122,False
2021-05-14,-2.000000,-1.871178,-0.266835,-0.144215,-0.210017,-0.134428,-0.047562,-0.111154,0.256788,-2.528602,0.528602,0.264301,False
2021-06-03,-3.364320,-1.982728,-0.147947,-0.092260,-0.265364,-0.195286,-0.142278,-0.061981,0.184946,-2.702897,-0.661423,-0.330711,False
2021-07-07,-2.613623,-2.172365,0.276592,0.069822,-0.143285,-0.174209,-0.229971,0.034772,0.028650,-2.309994,-0.303629,-0.151814,False
2021-08-09,-2.524012,-2.356424,-0.148415,0.147056,0.114254,-0.026610,-0.190930,0.117900,-0.130521,-2.473691,-0.050321,-0.025160,False
2021-09-09,-3.000000,-2.529328,-0.156055,0.063330,0.261647,0.131813,-0.060313,0.162595,-0.251761,-2.378072,-0.621928,-0.310964,False
2021-10-05,-2.000000,-2.674344,0.241222,-0.064177,0.215253,0.202885,0.074449,0.165372,-0.312447,-2.151787,0.151787,0.075893,False
2021-11-23,-3.163204,-2.947644,-0.238807,-0.124265,-0.141422,0.092375,0.230189,0.086628,-0.295802,-3.338748,0.175544,0.087772,False
2021-12-14,-4.175200,-3.064772,-0.190990,-0.040831,-0.248237,-0.019116,0.218918,0.029998,-0.237586,-3.552615,-0.622585,-0.311292,False
2022-01-01,-3.309491,-3.165168,0.104172,0.048970,-0.260867,-0.111385,0.170174,-0.021925,-0.168542,-3.404571,0.095080,0.047540,False
2022-02-01,-3.471876,-3.338072,0.194472,0.145321,-0.110334,-0.203263,0.027798,-0.103753,-0.023974,-3.411805,-0.060070,-0.030035,False
2022-03-01,-3.603720,-3.494243,-0.233757,0.102704,0.111297,-0.174940,-0.114261,-0.153356,0.111952,-3.844604,0.240884,0.120442,False
2022-04-01,-3.695499,-3.667147,-0.043867,-0.042947,0.261064,-0.038765,-0.217857,-0.167292,0.238537,-3.678275,-0.017224,-0.008612,False
2022-05-01,-3.753382,-3.834473,0.272135,-0.143017,0.196749,0.117647,-0.220123,-0.136425,0.312374,-3.435132,-0.318250,-0.159125,False
2022-06-01,-3.783673,-4.007377,-0.153590,-0.099943,-0.031483,0.204478,-0.120129,-0.067330,0.322409,-3.952964,0.169291,0.084646,False
2022-07-01,-3.823374,-4.174703,-0.165390,0.041732,-0.229207,0.164428,0.031493,0.017610,0.265980,-4.048056,0.224682,0.112341,False
2022-08-01,-3.923042,-4.347607,0.269142,0.143881,-0.242197,0.020495,0.172688,0.100297,0.151538,-3.731764,-0.191278,-0.095639,False
2022-09-01,-4.130268,-4.520511,-0.047025,0.097115,-0.051401,-0.136494,0.232184,0.155095,0.004491,-4.266546,0.136278,0.068139,False
2022-10-01,-4.459733,-4.687837,-0.241166,-0.045366,0.176630,-0.206310,0.185061,0.167128,-0.139068,-4.790928,0.331195,0.165597,False
2022-11-01,-4.878946,-4.860741,0.219890,-0.144649,0.264029,-0.148862,0.050606,0.133835,-0.257644,-4.743536,-0.135410,-0.067705,False
2022-12-01,-5.322169,-5.028067,0.084582,-0.098065,0.136343,-0.002060,-0.103103,0.066000,-0.319793,-5.264163,-0.058006,-0.029003,False
2023-01-01,-5.710854,-5.200971,-0.275492,0.048970,-0.106830,0.149795,-0.213156,-0.021925,-0.316207,-5.935817,0.224963,0.112481,False
2023-02-21,-5.615333,-5.485426,0.270945,0.127554,-0.243519,0.171588,-0.170531,-0.142389,-0.168964,-5.640743,0.025410,0.012705,False
2023-03-14,-5.956571,-5.602554,0.007441,0.046882,-0.130697,0.084962,-0.079373,-0.164915,-0.073241,-5.911495,-0.045076,-0.022538,False
2023-04-13,-5.830680,-5.769881,-0.263125,-0.095909,0.105333,-0.074856,0.075445,-0.159976,0.073630,-6.109338,0.278658,0.139329,False
2023-05-09,-5.861433,-5.914897,0.108245,-0.147232,0.248237,-0.180173,0.184769,-0.121605,0.189926,-5.632731,-0.228702,-0.114351,False
2023-06-14,-4.457091,-6.115689,0.118999,-0.043261,0.195648,-0.186771,0.229164,-0.031422,0.300231,-5.533101,1.076009,0.538005,False
2023-07-11,-6.206482,-6.266282,-0.264878,0.086968,-0.000530,-0.083088,0.165814,0.046019,0.327005,-5.988972,-0.217511,-0.108755,False
