date,50.018,50.018_trend,50.018_0.41yr,50.018_0.5yr,50.018_0.78yr,50.018_1yr,50.018_jump,50.018_model,50.018_noise,50.018_wtest,flagged
2020-08-07,0.000000,0.317513,-0.208626,0.487926,-0.134091,-0.058384,0.000000,0.404339,-0.404339,-0.202169,False
2020-09-02,1.000000,0.104855,0.094118,0.318766,-0.097329,0.341429,0.000000,0.761840,0.238160,0.119080,False
2020-10-08,0.000000,-0.189593,0.290119,-0.244510,0.000379,0.770033,0.000000,0.626427,-0.626427,-0.313213,False
2020-11-04,0.000000,-0.410430,0.055002,-0.484734,0.077059,0.909599,0.000000,0.146496,-0.146496,-0.073248,False
2020-12-01,0.000000,-0.631267,-0.243236,-0.337378,0.127319,0.857216,0.000000,-0.227346,0.227346,0.113673,False
2021-01-12,1.000000,-0.975037,-0.126556,0.307018,0.117179,0.432571,0.000000,-0.244826,1.244826,0.622413,False
2021-02-02,-0.720890,-1.147269,0.129362,0.481350,0.073023,0.119523,0.000000,-0.344012,-0.376878,-0.188439,False
2021-03-03,-1.000000,-1.385114,0.298587,0.329208,-0.010707,-0.329260,0.000000,-1.097287,0.097287,0.048643,False
2021-04-07,-3.000000,-1.672168,0.002541,-0.218890,-0.103037,-0.754965,0.000000,-2.746520,-0.253480,-0.126740,False
2021-05-14,-4.000000,-1.975625,-0.299778,-0.481326,-0.136437,-0.914189,0.140417,-3.666939,-0.333061,-0.166531,False
2021-06-03,-4.000000,-2.139656,-0.205911,-0.319790,-0.117724,-0.849179,0.140417,-3.491844,-0.508156,-0.254078,False
2021-07-07,-3.000000,-2.418509,0.186372,0.215126,-0.038229,-0.519871,0.140417,-2.434694,-0.565306,-0.282653,False
2021-08-09,-0.363057,-2.689160,0.265240,0.488083,0.059085,-0.033246,0.140417,-1.769580,1.406523,0.703262,False
2021-09-09,-2.000000,-2.943407,-0.064315,0.226239,0.123960,0.436406,0.292088,-1.929030,-0.070970,-0.035485,False
2021-10-05,-3.000000,-3.156648,-0.289565,-0.196073,0.135866,0.741375,0.292088,-2.472957,-0.527043,-0.263521,False
2021-11-23,-3.000000,-3.558523,0.066466,-0.421347,0.047848,0.893244,0.292088,-2.680225,-0.319775,-0.159887,False
2021-12-14,-1.759813,-3.730756,0.267957,-0.152788,-0.014623,0.765676,0.292088,-2.572447,0.812634,0.406317,False
2022-01-01,-3.041536,-3.878383,0.287343,0.144925,-0.066213,0.576564,0.292088,-2.643678,-0.397859,-0.198929,False
2022-02-01,-3.801643,-4.132631,-0.006272,0.478260,-0.127167,0.135117,0.292088,-3.360606,-0.441037,-0.220519,False
