date,58.028,58.028_trend,58.028_0.5yr,58.028_1yr,58.028_model,58.028_noise,58.028_wtest,flagged
2020-08-07,0.000000,1.019034,1.211448,-0.416626,1.813856,-1.813856,-0.906928,False
2020-09-02,2.000000,0.568502,0.263331,0.241660,1.073494,0.926506,0.463253,False
2020-10-08,-1.000000,-0.055311,-1.182389,1.048778,-0.188922,-0.811078,-0.405539,False
2020-11-04,-1.000000,-0.523172,-1.261660,1.411218,-0.373613,-0.626387,-0.313194,False
2020-12-01,0.000000,-0.991032,-0.332143,1.475855,0.152680,-0.152680,-0.076340,False
2021-01-12,2.000000,-1.719336,1.275022,0.973487,0.529172,1.470828,0.735414,False
2021-02-02,,-2.084225,1.285940,0.511686,-0.286598,,,False
2021-03-03,-1.000000,-2.588118,0.301637,-0.220616,-2.507097,1.507097,0.753548,False
2021-04-07,-3.000000,-3.196265,-1.139155,-1.016763,-5.352183,2.352183,1.176091,False
2021-05-14,-6.000000,-3.839163,-1.059435,-1.465041,-6.363640,0.363640,0.181820,False
2021-06-03,-8.000000,-4.186676,-0.267059,-1.470454,-5.924188,-2.075812,-1.037906,False
2021-07-07,-5.000000,-4.777447,1.132577,-1.093331,-4.738201,-0.261799,-0.130900,False
2021-08-09,-4.000000,-5.350843,1.174539,-0.377116,-4.553420,0.553420,0.276710,False
2021-09-09,-6.000000,-5.889487,-0.049363,0.408481,-5.530369,-0.469631,-0.234816,False
2021-10-05,-7.000000,-6.341254,-1.098439,0.988309,-6.451383,-0.548617,-0.274308,False
2021-11-23,-6.000000,-7.192659,-0.684285,1.489847,-6.387097,0.387097,0.193549,False
2021-12-14,-6.287441,-7.557548,0.271449,1.394608,-5.891490,-0.395951,-0.197975,False
2022-01-01,-4.696080,-7.870309,1.000328,1.168372,-5.701608,1.005528,0.502764,False
2022-02-01,-5.201107,-8.408953,1.301347,0.535696,-6.571911,1.370803,0.685402,False
2022-03-01,-8.316491,-8.895471,0.392801,-0.169768,-8.672437,0.355947,0.177973,False
2022-04-01,-11.667232,-9.434115,-0.959190,-0.899071,-11.292376,-0.374856,-0.187428,False
2022-05-01,-12.931490,-9.955384,-1.330348,-1.368424,-12.654156,-0.277334,-0.138667,False
2022-06-01,-11.975712,-10.494029,-0.358810,-1.477831,-12.330669,0.354957,0.177479,False
2022-07-01,-10.490746,-11.015298,0.950747,-1.191850,-11.256401,0.765655,0.382827,False
2022-08-01,-10.488128,-11.553942,1.321560,-0.571410,-10.803792,0.315665,0.157832,False
2022-09-01,-12.209477,-12.092586,0.324579,0.207926,-11.560081,-0.649396,-0.324698,False
2022-10-01,-13.961215,-12.613855,-0.975863,0.909262,-12.680456,-1.280759,-0.640379,False
2022-11-01,-14.112144,-13.152500,-1.311891,1.383178,-13.081213,-1.030932,-0.515466,False
2022-12-01,-12.989495,-13.673769,-0.336015,1.476150,-12.533633,-0.455862,-0.227931,False
2023-01-01,-12.461026,-14.212413,1.000328,1.168372,-12.043713,-0.417313,-0.208657,False
2023-02-21,-15.444762,-15.098570,0.734666,0.035032,-14.328872,-1.115890,-0.557945,False
2023-03-14,-17.768782,-15.463458,-0.213468,-0.494011,-16.170937,-1.597844,-0.798922,False
2023-04-13,-18.231666,-15.984727,-1.270683,-1.123619,-18.379029,0.147362,0.073681,False
2023-05-09,-18.632833,-16.436494,-1.192308,-1.436342,-19.065144,0.432310,0.216155,False
2023-06-14,-17.188295,-17.062016,0.248311,-1.399067,-18.212772,1.024477,0.512239,False
2023-07-11,-16.604892,-17.531158,1.227439,-1.021107,-17.324826,0.719935,0.359967,False
2023-08-16,-17.160354,-18.156681,0.972717,-0.201122,-17.385086,0.224733,0.112366,False
2023-09-07,-16.499802,-18.538945,0.044887,0.358921,-18.135137,1.635334,0.817667,False
2023-10-04,-17.916399,-19.008086,-1.069660,0.968972,-19.108775,1.192376,0.596188,False
2023-11-16,-18.579867,-19.755239,-0.947519,1.478686,-19.224072,0.644205,0.322102,False
2023-12-13,-17.996464,-20.224380,0.225099,1.403423,-18.595858,0.599394,0.299697,False
2024-01-01,-18.571803,-20.554517,1.000328,1.168372,-18.385817,-0.185986,-0.092993,False
2024-02-17,-22.014810,-21.368941,0.890903,0.140705,-20.337333,-1.677478,-0.838739,False
2024-03-06,-23.292541,-21.680847,0.123798,-0.317020,-21.874070,-1.418472,-0.709236,False
2024-04-17,-25.940580,-22.408630,-1.336257,-1.199127,-24.944014,-0.996567,-0.498283,False
2024-05-16,-26.388036,-22.911146,-0.976741,-1.475788,-25.363675,-1.024361,-0.512180,False
2024-06-13,-24.820061,-23.396335,0.227513,-1.402976,-24.571798,-0.248263,-0.124132,False
2024-07-10,-23.236658,-23.864195,1.216347,-1.030812,-23.678660,0.442002,0.221001,False
2024-08-08,-24.684113,-24.366711,1.188843,-0.392010,-23.569878,-1.114235,-0.557117,False
2024-09-04,-25.100710,-24.834571,0.170528,0.291983,-24.372060,-0.728650,-0.364325,False
2024-10-16,-25.748749,-25.562354,-1.325245,1.183773,-25.703826,-0.044922,-0.022461,False
2024-11-12,-25.165345,-26.030214,-1.070201,1.463319,-25.637096,0.471751,0.235875,False
2024-12-05,-25.520223,-26.428762,-0.147185,1.458398,-25.117548,-0.402675,-0.201338,False
2025-01-01,-25.259414,-26.896622,1.000328,1.168372,-24.727921,-0.531492,-0.265746,False
2025-02-19,-27.692865,-27.748027,0.812407,0.086280,-26.849340,-0.843525,-0.421763,False
2025-03-13,-28.032314,-28.130291,-0.166793,-0.469743,-28.766828,0.734513,0.367257,False
2025-04-08,-29.433481,-28.582058,-1.164618,-1.035357,-30.782033,1.348552,0.674276,False
2025-05-06,-30.865507,-29.068575,-1.255323,-1.414002,-31.737900,0.872393,0.436197,False
2025-06-03,-32.297533,-29.555093,-0.267059,-1.470454,-31.292605,-1.004928,-0.502464,False
2025-07-16,-29.961001,-30.302245,1.313164,-0.924065,-29.913145,-0.047856,-0.023928,False
2025-08-07,-29.300450,-30.684509,1.220150,-0.426506,-29.890864,0.590414,0.295207,False
2025-09-16,-30.917630,-31.379534,-0.374478,0.577748,-31.176264,0.258634,0.129317,False
2025-10-01,-30.149072,-31.640168,-0.975863,0.909262,-31.706769,1.557696,0.778848,False
