date,86.15899999999999,86.15899999999999_trend,86.15899999999999_0.25yr,86.15899999999999_0.5yr,86.15899999999999_0.64yr,86.15899999999999_0.93yr,86.15899999999999_1yr,86.15899999999999_1.27yr,86.15899999999999_jump,86.15899999999999_model,86.15899999999999_noise,86.15899999999999_wtest,flagged
2020-08-07,0.000000,-2.206448,-0.381221,0.814160,0.125376,0.575136,-0.796718,-0.063881,0.000000,-1.933595,1.933595,0.966798,False
2020-09-02,0.000000,-2.206448,0.100398,0.329239,0.228614,0.367965,-0.533353,0.463016,0.000000,-1.250569,1.250569,0.625285,False
2020-10-08,-1.000000,-2.206448,0.149839,-0.628760,0.193900,-0.042563,-0.011055,1.086558,0.000000,-1.458528,0.458528,0.229264,False
2020-11-04,-1.000000,-2.206448,-0.378977,-0.831143,0.049918,-0.348580,0.394706,1.394627,0.000000,-1.925896,0.925896,0.462948,False
2020-12-01,0.000000,-2.206448,0.061998,-0.368968,-0.119121,-0.569786,0.717174,1.518980,0.000000,-0.966173,0.966173,0.483086,False
2021-01-12,0.000000,-2.206448,0.035184,0.709052,-0.240800,-0.629254,0.903067,1.316989,0.000000,-0.112210,0.112210,0.056105,False
2021-02-02,-1.000000,-2.206448,-0.372767,0.838038,-0.194024,-0.517042,0.823732,1.050599,0.000000,-0.577913,-0.422087,-0.211044,False
2021-03-03,-1.000000,-2.206448,0.079182,0.351413,-0.036879,-0.240871,0.543752,0.549452,0.000000,-0.960398,-0.039602,-0.019801,False
2021-04-07,4.000000,-2.206448,0.190552,-0.593829,0.171174,0.173818,0.038031,-0.158876,0.000000,-2.385578,6.385578,3.192789,False
2021-05-14,-3.000000,-2.206448,-0.343017,-0.751102,0.236007,0.532391,-0.507185,-0.866301,0.000000,-3.905654,0.905654,0.452827,False
2021-06-03,-4.000000,-2.206448,0.098352,-0.331403,0.176590,0.632747,-0.730408,-1.169279,0.000000,-3.529848,-0.470152,-0.235076,False
2021-07-07,-3.000000,-2.206448,0.196218,0.588610,-0.022687,0.605056,-0.904039,-1.479538,0.000000,-3.222828,0.222828,0.111414,False
2021-08-09,-3.000000,-2.206448,-0.376754,0.800109,-0.200742,0.355713,-0.784606,-1.485614,0.000000,-3.898341,0.898341,0.449171,False
2021-09-09,-3.000000,-2.206448,0.253244,0.143012,-0.234241,0.001873,-0.446084,-1.224269,0.000000,-3.712914,0.712914,0.356457,False
2021-10-05,-3.000000,-2.206448,0.223639,-0.561870,-0.141603,-0.300329,-0.061363,-0.837782,0.000000,-3.885757,0.885757,0.442878,False
2021-11-23,-3.000000,-2.206448,-0.146381,-0.564208,0.153911,-0.641212,0.633664,0.122451,0.000000,-2.648222,-0.351778,-0.175889,False
2021-12-14,-3.016121,-2.206448,0.331583,-0.005209,0.229576,-0.638962,0.821238,0.543119,0.000000,-0.925102,-2.091019,-1.045509,False
2022-01-01,-0.644671,-2.206448,0.286716,0.487607,0.237979,-0.560748,0.898084,0.870108,0.000000,0.013297,-0.657969,-0.328984,False
2022-02-01,,-2.206448,-0.366226,0.841738,0.129791,-0.289938,0.830062,1.303085,0.000000,0.242064,,,False
2022-03-01,,-2.206448,0.027169,0.403593,-0.044543,0.037655,0.568332,1.500637,0.000000,0.286395,,,False
2022-04-01,-2.584369,-2.206448,0.307318,-0.457368,-0.205649,0.385175,0.131054,1.470042,0.000000,-0.575875,-2.008493,-1.004247,False
2022-05-01,-5.259537,-2.206448,-0.345224,-0.846411,-0.233598,0.604898,-0.328199,1.196522,0.000000,-2.158462,-3.101075,-1.550537,False
2022-06-01,-2.997388,-2.206448,0.046787,-0.384237,-0.111810,0.640672,-0.711582,0.709704,0.000000,-2.016913,-0.980475,-0.490237,False
2022-07-01,-3.375272,-2.206448,0.311171,0.451216,0.077189,0.479497,-0.894899,0.119970,0.000000,-1.662305,-1.712967,-0.856484,False
2022-08-01,-6.500689,-2.206448,-0.353173,0.845417,0.221275,0.162561,-0.839096,-0.508797,0.000000,-2.678261,-3.822428,-1.911214,False
2022-09-01,-8.417227,-2.206448,0.066281,0.364624,0.220230,-0.206446,-0.549959,-1.049045,-5.321472,-8.682235,0.265008,0.132504,False
2022-10-01,-10.836458,-2.206448,0.299342,-0.469568,0.080886,-0.501692,-0.123341,-1.398834,-5.321472,-9.641128,-1.195330,-0.597665,False
2022-11-01,,-2.206448,-0.360180,-0.843859,-0.114091,-0.647726,0.349865,-1.520274,-5.321472,-10.664185,,,False
2022-12-01,-10.469167,-2.206448,0.059800,-0.371190,-0.232579,-0.591477,0.716368,-1.385829,-5.321472,-9.332827,-1.136341,-0.568170,False
2023-01-01,-5.350520,-2.206448,0.286716,0.487607,-0.204285,-0.347320,0.898084,-1.010063,-5.321472,-7.417182,2.066662,1.033331,False
2023-02-21,-7.041640,-2.206448,-0.176146,0.590855,0.085747,0.243560,0.659638,-0.053618,-7.912293,-8.768705,1.727064,0.863532,False
2023-03-14,-7.174168,-2.206448,0.314097,0.041637,0.193239,0.454767,0.397861,0.375257,-7.912293,-8.341884,1.167717,0.583858,False
2023-04-13,-7.363492,-2.206448,0.041722,-0.705040,0.238194,0.633040,-0.055398,0.927446,-7.912293,-9.038777,1.675285,0.837642,False
2023-05-09,-7.527574,-2.206448,-0.379422,-0.807007,0.156905,0.634149,-0.440873,1.286337,-7.912293,-9.668653,2.141079,1.070540,False
2023-06-14,-6.754763,-2.206448,0.324876,-0.019785,-0.062271,0.403785,-0.817935,1.516298,-7.912293,-8.773774,2.019010,1.009505,False
2023-07-11,-6.925156,-2.206448,0.099773,0.666621,-0.201460,0.108836,-0.904781,1.456333,-7.912293,-8.893420,1.968264,0.984132,False
2023-08-16,-7.152345,-2.206448,-0.305358,0.710758,-0.223799,-0.312058,-0.724698,1.081456,-7.912293,-9.892440,2.740095,1.370047,False
2023-09-07,-7.291183,-2.206448,0.211636,0.200102,-0.135219,-0.513449,-0.472925,0.719709,-7.912293,-10.108888,2.817704,1.408852,False
2023-10-04,-8.461576,-2.206448,0.244394,-0.539727,0.031720,-0.643528,-0.076897,0.192739,-7.912293,-10.910040,2.448464,1.224232,False
2023-11-16,-8.732941,-2.206448,-0.293127,-0.698633,0.231868,-0.526822,0.551397,-0.669217,-7.912293,-11.523275,2.790334,1.395167,False
2023-12-13,-7.903333,-2.206448,0.317785,-0.034356,0.218050,-0.277979,0.814571,-1.113486,-7.912293,-10.194157,2.290823,1.145412,False
2024-01-01,-7.772309,-2.206448,0.286716,0.487607,0.139491,-0.057648,0.898084,-1.340482,-7.912293,-9.704973,1.932663,0.966332,False
2024-02-17,-10.319848,-2.206448,-0.264055,0.670838,-0.145099,0.458403,0.701970,-1.504817,-7.912293,-10.201502,-0.118345,-0.059173,False
2024-03-06,-9.433442,-2.206448,0.173609,0.247269,-0.218105,0.584749,0.495007,-1.408007,-7.912293,-10.244220,0.810777,0.405389,False
2024-04-17,-11.698497,-2.206448,-0.081306,-0.771504,-0.187222,0.620118,-0.128339,-0.878481,-7.912293,-11.545475,-0.153022,-0.076511,False
2024-05-16,-11.881511,-2.206448,-0.307265,-0.712679,-0.026396,0.429985,-0.540568,-0.337708,-7.912293,-11.613373,-0.268138,-0.134069,False
2024-06-13,-10.058214,-2.206448,0.318538,-0.032843,0.144478,0.131364,-0.814923,0.234012,-7.912293,-10.138115,0.079901,0.039951,False
2024-07-10,-10.228606,-2.206448,0.112946,0.657130,0.236378,-0.190089,-0.904928,0.754835,-7.912293,-9.452469,-0.776137,-0.388069,False
2024-08-08,-10.411620,-2.206448,-0.378973,0.805680,0.202893,-0.481854,-0.789231,1.201839,-7.912293,-9.558387,-0.853233,-0.426616,False
2024-09-04,-10.582012,-2.206448,0.149873,0.274927,0.065261,-0.633476,-0.507940,1.455119,-7.912293,-9.314978,-1.267035,-0.633517,False
2024-10-16,-11.847067,-2.206448,-0.055523,-0.759062,-0.181845,-0.561608,0.112941,1.464029,-7.912293,-10.099809,-1.747258,-0.873629,False
2024-11-12,-11.017459,-2.206448,-0.347100,-0.755937,-0.241431,-0.334590,0.502486,1.221064,-7.912293,-10.074250,-0.943210,-0.471605,False
2024-12-05,-11.162608,-2.206448,0.161837,-0.261137,-0.196039,-0.074181,0.753359,0.885345,-7.912293,-8.849557,-2.313051,-1.156526,False
2025-01-01,-8.808874,-2.206448,0.286716,0.487607,-0.053461,0.244680,0.898084,0.385817,-7.912293,-7.869299,-0.939576,-0.469788,False
2025-02-19,-11.642231,-2.206448,-0.220968,0.631196,0.214584,0.627103,0.680575,-0.602771,-7.912293,-8.789023,-2.853208,-1.426604,False
2025-03-13,-12.781069,-2.206448,0.298427,0.070728,0.239823,0.647070,0.411794,-0.986290,-7.912293,-9.437189,-3.343880,-1.671940,False
2025-04-08,-12.945150,-2.206448,0.167343,-0.614260,0.165601,0.535066,0.022460,-1.325109,-7.912293,-11.167639,-1.777511,-0.888755,False
2025-05-06,-14.121853,-2.206448,-0.379948,-0.829176,0.000658,0.279890,-0.399487,-1.507070,-7.912293,-12.953876,-1.167978,-0.583989,False
2025-06-03,-13.298556,-2.206448,0.098352,-0.331403,-0.164642,-0.048800,-0.730408,-1.474546,-7.912293,-12.770188,-0.528368,-0.264184,False
2025-07-16,-12.569922,-2.206448,-0.030445,0.746234,-0.227920,-0.498980,-0.899680,-1.026896,-7.912293,-12.056429,-0.513493,-0.256746,False
2025-08-07,-12.708760,-2.206448,-0.381619,0.817305,-0.144741,-0.624632,-0.799667,-0.652125,-7.912293,-11.904220,-0.804539,-0.402270,False
2025-09-16,-12.961193,-2.206448,0.356795,-0.060341,0.101308,-0.588123,-0.348194,0.150162,-7.912293,-10.507134,-2.454059,-1.227029,False
2025-10-01,-14.055855,-2.206448,0.299342,-0.469568,0.179213,-0.488204,-0.123341,0.452588,-7.912293,-10.268712,-3.787143,-1.893571,False
