date,252.265,252.265_trend,252.265_0.5yr,252.265_1yr,252.265_8.24yr,252.265_16.69yr,252.265_jump,252.265_exp,252.265_model,252.265_noise,252.265_wtest,flagged
2003-12-03,0.000000,-11.537099,-0.065252,-0.645638,4.314862,4.162485,0.000000,0.000000,-3.770643,3.770643,1.256881,False
2004-01-09,2.000000,-12.575931,0.015049,-0.067986,4.295516,4.054649,0.000000,0.000000,-4.278703,6.278703,2.092901,False
2004-02-12,2.000000,-13.525319,0.072929,0.491166,4.255254,3.950582,0.000000,0.000000,-4.755387,6.755387,2.251796,False
2004-03-17,-1.000000,-14.471674,0.042211,0.887682,4.193649,3.841684,0.000000,0.000000,-5.506447,4.506447,1.502149,False
2004-04-27,-3.000000,-15.608834,-0.053611,0.969774,4.091422,3.704130,0.000000,0.000000,-6.897119,3.897119,1.299040,False
2004-05-26,-7.000000,-16.410505,-0.072460,0.742573,4.001048,3.602843,0.000000,0.000000,-8.136500,1.136500,0.378833,False
2004-06-25,-9.000000,-17.237498,-0.022796,0.318934,3.892197,3.494692,0.000000,0.000000,-9.554470,0.554470,0.184823,False
2004-07-26,-10.000000,-18.089577,0.050883,-0.204219,3.763755,3.379441,0.000000,0.000000,-11.099716,1.099716,0.366572,False
2004-08-27,-9.000000,-18.966499,0.071493,-0.683436,3.614715,3.256871,0.000000,0.000000,-12.706857,3.706857,1.235619,False
2004-09-30,-11.000000,-19.895286,0.009094,-0.969953,3.438779,3.122776,0.000000,0.000000,-14.294590,3.294590,1.098197,False
2004-10-28,-13.000000,-20.657893,-0.055350,-0.965695,3.280898,3.009471,0.000000,0.000000,-15.388570,2.388570,0.796190,False
2004-11-26,-16.000000,-21.445567,-0.071836,-0.731056,3.105618,2.889489,0.000000,0.000000,-16.253352,0.253352,0.084451,False
2004-12-24,-17.000000,-22.203987,-0.025214,-0.335094,2.925622,2.771203,0.000000,0.000000,-16.867470,-0.132530,-0.044177,False
2005-01-25,-19.000000,-23.070008,0.051006,0.205320,2.707302,2.632925,0.000000,0.000000,-17.473456,-1.526544,-0.508848,False
2005-02-24,-22.000000,-23.880006,0.072659,0.660036,2.491487,2.500593,0.000000,0.000000,-18.155230,-3.844770,-1.281590,False
2005-03-24,-21.000000,-24.633863,0.028254,0.930914,2.281216,2.374922,0.000000,0.000000,-19.018557,-1.981443,-0.660481,False
2005-04-22,-23.000000,-25.412463,-0.042562,0.987524,2.055218,2.242675,0.000000,0.000000,-20.169608,-2.830392,-0.943464,False
2005-05-30,-23.000000,-26.429340,-0.069989,0.702443,1.747801,2.066368,0.000000,0.000000,-21.982716,-1.017284,-0.339095,False
2005-06-13,-27.000000,-26.803019,-0.050304,0.513443,1.631662,2.000599,0.000000,0.000000,-22.707619,-4.292381,-1.430794,False
2005-07-27,-29.000000,-27.974074,0.051931,-0.213705,1.258037,1.791243,0.000000,0.000000,-25.086568,-3.913432,-1.304477,False
2005-08-17,-29.000000,-28.531186,0.074198,-0.544133,1.075773,1.689996,0.000000,0.000000,-26.235352,-2.764648,-0.921549,False
2005-09-30,-31.000000,-29.694698,0.009740,-0.968944,0.687595,1.475345,0.000000,0.000000,-28.490961,-2.509039,-0.836346,False
2005-10-28,-31.000000,-30.432456,-0.055045,-0.966443,0.437341,1.337139,0.000000,0.000000,-29.679463,-1.320537,-0.440179,False
2005-11-28,-34.000000,-31.246847,-0.070413,-0.708501,0.158565,1.182830,0.000000,0.000000,-30.684367,-3.315633,-1.105211,False
2005-12-28,-34.000000,-32.032555,-0.015419,-0.270091,-0.111864,1.032345,0.000000,0.000000,-31.397585,-2.602415,-0.867472,False
2006-01-11,-34.000000,-32.398407,0.020081,-0.033350,-0.237978,0.961772,0.000000,0.000000,-31.687882,-2.312118,-0.770706,False
2006-02-23,-35.000000,-33.518861,0.073168,0.647087,-0.623592,0.743821,0.000000,0.000000,-32.678376,-2.321624,-0.773875,False
2006-03-24,-37.000000,-34.271763,0.028254,0.930914,-0.881006,0.595979,0.000000,0.000000,-33.597622,-3.402378,-1.134126,False
2006-04-28,-39.000000,-35.177484,-0.054175,0.968498,-1.187288,0.416851,0.000000,0.000000,-35.033599,-3.966401,-1.322134,False
2006-05-24,-40.000000,-35.848213,-0.073683,0.771574,-1.410794,0.283420,0.000000,0.000000,-36.277697,-3.722303,-1.240768,False
2006-06-22,-41.000000,-36.594232,-0.031190,0.375506,-1.655151,0.134356,0.000000,0.000000,-37.770710,-3.229290,-1.076430,False
2006-07-21,-42.000000,-37.338032,0.039896,-0.112215,-1.893434,-0.014827,0.000000,0.000000,-39.318612,-2.681388,-0.893796,False
2006-08-31,-43.000000,-38.385827,0.068341,-0.727659,-2.218262,-0.225687,0.000000,0.000000,-41.489096,-1.510904,-0.503635,False
2006-09-20,-45.000000,-38.895338,0.034067,-0.914755,-2.370956,-0.328423,0.000000,0.000000,-42.475406,-2.524594,-0.841531,False
2006-10-26,-44.000000,-39.809799,-0.051470,-0.974232,-2.635201,-0.512966,0.000000,0.000000,-43.983669,-0.016331,-0.005444,False
2006-11-22,-48.000000,-40.493402,-0.073850,-0.776973,-2.823687,-0.650923,0.000000,0.000000,-44.818836,-3.181164,-1.060388,False
2006-12-21,-46.000000,-41.225501,-0.032348,-0.383437,-3.016115,-0.798533,0.000000,0.000000,-45.455934,-0.544066,-0.181355,False
2007-01-25,-47.000000,-42.106114,0.051006,0.205320,-3.233555,-0.975721,0.000000,0.000000,-46.059064,-0.940936,-0.313645,False
2007-02-15,-48.000000,-42.632931,0.074091,0.536928,-3.355795,-1.081438,0.000000,0.000000,-46.459146,-1.540854,-0.513618,False
2007-03-29,-50.000000,-43.683076,0.016045,0.958034,-3.580679,-1.291300,0.000000,0.000000,-47.580977,-2.419023,-0.806341,False
2007-04-26,-49.000000,-44.380589,-0.050538,0.975999,-3.715395,-1.429887,0.000000,0.000000,-48.600409,-0.399591,-0.133197,False
2007-05-24,-51.000000,-45.076033,-0.073683,0.771574,-3.837402,-1.567281,0.000000,0.000000,-49.782825,-1.217175,-0.405725,False
2007-06-22,-54.000000,-45.794135,-0.031190,0.375506,-3.949924,-1.708202,0.000000,0.000000,-51.107944,-2.892056,-0.964019,False
2007-07-18,-54.000000,-46.436065,0.033208,-0.060953,-4.038494,-1.833250,0.000000,0.000000,-52.335554,-1.664446,-0.554815,False
2007-08-23,-52.000000,-47.321948,0.073769,-0.627306,-4.141415,-2.004198,0.000000,0.000000,-54.021098,2.021098,0.673699,False
2007-09-13,-54.000000,-47.837135,0.048871,-0.860606,-4.190672,-2.102657,0.000000,0.000000,-54.942199,0.942199,0.314066,False
2007-10-18,-55.000000,-48.693194,-0.034916,-0.993770,-4.254806,-2.264540,0.000000,0.000000,-56.241227,1.241227,0.413742,False
2007-11-13,-54.000000,-49.327033,-0.073109,-0.863951,-4.287744,-2.382898,0.000000,0.000000,-56.934735,2.934735,0.978245,False
2007-12-10,-55.000000,-49.983363,-0.054831,-0.549711,-4.308562,-2.503993,0.000000,0.000000,-57.400460,2.400460,0.800153,False
2008-01-16,-56.000000,-50.878665,0.031962,0.051688,-4.314834,-2.666588,0.000000,0.000000,-57.776436,1.776436,0.592145,False
2008-02-19,-58.000000,-51.696868,0.074348,0.591567,-4.297972,-2.812354,0.000000,0.000000,-58.141278,0.141278,0.047093,False
2008-03-13,-58.000000,-52.248639,0.050203,0.854519,-4.274332,-2.909021,0.000000,0.000000,-58.527269,0.527269,0.175756,False
2008-04-16,-60.000000,-53.061759,-0.030804,0.995571,-4.221434,-3.048922,0.000000,0.000000,-59.367348,-0.632652,-0.210884,False
2008-05-20,-61.000000,-53.871846,-0.074389,0.806966,-4.147363,-3.185095,0.000000,0.000000,-60.471727,-0.528273,-0.176091,False
2008-06-24,-58.000000,-54.702593,-0.025214,0.335094,-4.049390,-3.321203,0.000000,0.000000,-61.763305,3.763305,1.254435,False
2008-07-16,-61.000000,-55.223132,0.029637,-0.034597,-3.976753,-3.404564,0.000000,0.000000,-62.609410,1.609410,0.536470,False
2008-08-21,-64.000000,-56.072185,0.074201,-0.605246,-3.839953,-3.537194,0.000000,0.000000,-63.980377,-0.019623,-0.006541,False
2008-09-19,-63.000000,-56.753672,0.035687,-0.909815,-3.714011,-3.640516,0.000000,0.000000,-64.982327,1.982327,0.660776,False
2008-10-08,-61.000000,-57.198967,-0.011278,-0.992104,-3.624117,-3.706460,0.000000,0.000000,-65.532926,4.532926,1.510975,False
2008-11-05,-61.000000,-57.853466,-0.066764,-0.922940,-3.481336,-3.801052,0.000000,0.000000,-66.125559,5.125559,1.708520,False
2008-12-04,-63.000000,-58.529172,-0.063882,-0.631462,-3.320977,-3.895698,0.000000,0.000000,-66.441191,3.441191,1.147064,False
2009-01-14,-64.000000,-59.481541,0.027361,0.018105,-3.073504,-4.023683,0.000000,0.000000,-66.533263,2.533263,0.844421,False
2009-02-05,-65.000000,-59.991699,0.067422,0.385194,-2.931065,-4.089538,0.000000,0.000000,-66.559686,1.559686,0.519895,False
2009-03-04,-66.000000,-60.616056,0.065557,0.756276,-2.747825,-4.167479,0.000000,0.000000,-66.709527,0.709527,0.236509,False
2009-04-17,-67.000000,-61.629408,-0.031478,0.995344,-2.430759,-4.287543,0.000000,0.000000,-67.383843,0.383843,0.127948,False
2009-05-06,-67.000000,-62.065413,-0.066005,0.927123,-2.287335,-4.336673,0.000000,0.000000,-67.828304,0.828304,0.276101,False
2009-06-10,-64.000000,-62.866089,-0.055689,0.556845,-2.013872,-4.422803,0.000000,0.000000,-68.801609,4.801609,1.600536,False
2009-07-15,-68.000000,-63.663534,0.026166,-0.009529,-1.729647,-4.503171,0.000000,0.000000,-69.879714,1.879714,0.626571,False
2009-08-12,-69.000000,-64.299163,0.072142,-0.470353,-1.495537,-4.563244,0.000000,0.000000,-70.756155,1.756155,0.585385,False
2009-09-15,-70.000000,-65.068219,0.044895,-0.877389,-1.204462,-4.631070,0.000000,0.000000,-71.736245,1.736245,0.578748,False
2009-10-14,-71.000000,-65.721770,-0.025565,-0.996492,-0.951334,-4.684425,0.000000,0.000000,-72.379586,1.379586,0.459862,False
2009-11-11,-71.000000,-66.350680,-0.071983,-0.880533,-0.703612,-4.731964,0.000000,0.000000,-72.738771,1.738771,0.579590,False
2009-12-09,-71.000000,-66.977522,-0.056530,-0.563937,-0.453483,-4.775557,0.000000,0.000000,-72.827028,1.827028,0.609009,False
2010-01-19,-71.000000,-67.891667,0.038809,0.103688,-0.084665,-4.832194,0.000000,0.000000,-72.666028,1.666028,0.555343,False
2010-02-10,-74.000000,-68.380356,0.071818,0.462774,0.113666,-4.859029,0.000000,0.000000,-72.591127,-1.408873,-0.469624,False
2010-03-16,-74.000000,-69.133092,0.045910,0.873290,0.419556,-4.895575,0.000000,0.000000,-72.689912,-1.310088,-0.436696,False
2010-04-14,-74.000000,-69.772723,-0.024359,0.996500,0.678850,-4.921992,0.000000,0.000000,-73.043724,-0.956276,-0.318759,False
2010-05-12,-76.000000,-70.388193,-0.071648,0.884516,0.926849,-4.943320,0.000000,0.000000,-73.591796,-2.408204,-0.802735,False
2010-06-09,-78.000000,-71.001595,-0.057354,0.570987,1.171678,-4.960526,0.000000,0.000000,-74.276810,-3.723190,-1.241063,False
2010-07-14,-78.000000,-71.765440,0.023753,0.007625,1.471980,-4.976213,0.000000,0.000000,-75.238295,-2.761705,-0.920568,False
2010-08-17,-78.000000,-72.504367,0.074198,-0.544133,1.756185,-4.985244,0.000000,0.000000,-76.203361,-1.796639,-0.598880,False
2010-09-14,-79.000000,-73.110606,0.046911,-0.869126,1.983648,-4.988079,0.000000,0.000000,-76.937252,-2.062748,-0.687583,False
2010-10-12,-79.000000,-73.714778,-0.020697,-0.996082,2.204326,-4.986754,0.000000,0.000000,-77.513984,-1.486016,-0.495339,False
2010-11-16,-79.000000,-74.467084,-0.074147,-0.837165,2.469483,-4.979250,0.000000,0.000000,-77.888163,-1.111837,-0.370612,False
2010-12-08,-78.000000,-74.938309,-0.058162,-0.577995,2.629486,-4.971211,0.000000,0.000000,-77.916191,-0.083809,-0.027936,False
2011-01-13,-78.000000,-75.706651,0.024963,0.000952,2.879180,-4.952538,0.000000,0.000000,-77.754094,-0.245906,-0.081969,False
2011-02-15,-78.000000,-76.407961,0.074091,0.536928,3.093799,-4.929423,0.000000,0.000000,-77.632567,-0.367433,-0.122478,False
2011-03-21,-79.000000,-77.127520,0.035201,0.911319,3.299539,-4.899636,0.000000,0.000000,-77.781096,-1.218904,-0.406301,False
2011-04-26,-81.000000,-77.886082,-0.050538,0.975999,3.499224,-4.861530,0.000000,0.000000,-78.322927,-2.677073,-0.892358,False
2011-05-19,-81.000000,-78.368930,-0.074370,0.822930,3.616510,-4.833673,0.000000,0.000000,-78.837534,-2.162466,-0.720822,False
2011-06-28,-81.000000,-79.205342,-0.016670,0.278337,3.800453,-4.778756,0.000000,0.000000,-79.921979,-1.078021,-0.359340,False
2011-07-26,-81.000000,-79.788320,0.050066,-0.196919,3.913501,-4.735470,0.000000,0.000000,-80.757142,-0.242858,-0.080953,False
2011-08-24,-82.000000,-80.389939,0.073390,-0.640541,4.016470,-4.686474,0.000000,0.000000,-81.627094,-0.372906,-0.124302,False
2011-09-20,-85.000000,-80.948072,0.034067,-0.914755,4.099096,-4.637088,0.000000,0.000000,-82.366753,-2.633247,-0.877749,False
2011-10-18,-84.000000,-81.524847,-0.034916,-0.993770,4.171008,-4.582076,0.000000,0.000000,-82.964601,-1.035399,-0.345133,False
2011-11-18,-84.000000,-82.161007,-0.074401,-0.818063,4.233973,-4.516713,0.000000,0.000000,-83.336211,-0.663789,-0.221263,False
2011-12-20,-81.000000,-82.815030,-0.034635,-0.399213,4.280348,-4.444400,0.000000,0.000000,-83.412931,2.412931,0.804310,False
2012-01-12,-82.000000,-83.282830,0.022462,-0.016717,4.301855,-4.389504,0.000000,0.000000,-83.364733,1.364733,0.454911,False
2012-02-21,-83.000000,-84.091927,0.073966,0.618746,4.315654,-4.288333,0.000000,0.000000,-83.371893,0.371893,0.123964,False
2012-03-01,-82.034218,-84.273395,0.067996,0.731586,4.314631,-4.264562,0.000000,0.000000,-83.423746,1.389528,0.463176,False
2012-04-01,-79.568683,-84.896827,0.006554,0.973733,4.299500,-4.179903,0.000000,0.000000,-83.796944,4.228261,1.409420,False
2012-05-01,-78.800015,-85.497748,-0.060170,0.951757,4.267786,-4.093928,0.000000,0.000000,-84.432303,5.632288,1.877429,False
2012-06-01,-80.060917,-86.116219,-0.067467,0.670309,4.217507,-4.000992,0.000000,0.000000,-85.296862,5.235945,1.745315,False
2012-07-01,-83.138993,-86.712340,-0.007825,0.220172,4.152104,-3.907181,0.000000,0.000000,-86.255071,3.116078,1.038693,False
2012-08-01,-87.343710,-87.325852,0.060913,-0.303423,4.067489,-3.806336,0.000000,0.000000,-87.307209,-0.036501,-0.012167,False
2012-09-01,-91.685378,-87.936843,0.066918,-0.743093,3.965914,-3.701620,0.000000,0.000000,-88.348725,-3.336654,-1.112218,False
2012-10-01,-95.141046,-88.525725,0.006554,-0.973733,3.851865,-3.596699,0.000000,0.000000,-89.237738,-5.903308,-1.967769,False
2012-11-01,-96.923673,-89.131756,-0.061638,-0.946549,3.718217,-3.484684,0.000000,0.000000,-89.906409,-7.017264,-2.339088,False
2012-12-01,-96.692950,-89.715837,-0.067467,-0.670309,3.574112,-3.372907,0.000000,0.000000,-90.252409,-6.440541,-2.146847,False
