date,272.728,272.728_trend,272.728_0.5yr,272.728_1yr,272.728_3.21yr,272.728_15.91yr,272.728_model,272.728_noise,272.728_wtest,flagged
2003-12-03,,-12.643243,-0.040430,-0.033670,0.640075,2.507862,-9.569407,,,False
2004-01-09,-6.000000,-12.992480,0.329829,-0.079224,0.687621,2.464886,-9.589368,3.589368,1.794684,False
2004-02-12,-5.000000,-13.311070,0.261450,-0.093957,0.707559,2.422010,-10.014008,5.014008,2.507004,False
2004-03-17,-7.000000,-13.628089,-0.124552,-0.077579,0.704167,2.375874,-10.750178,3.750178,1.875089,False
2004-04-27,-9.000000,-14.008286,-0.353181,-0.024826,0.669263,2.315993,-11.401037,2.401037,1.200518,False
2004-05-26,-10.000000,-14.275826,-0.134947,0.021467,0.625062,2.270895,-11.493350,1.493350,0.746675,False
2004-06-25,-10.000000,-14.551389,0.216371,0.063743,0.563563,2.221902,-11.485810,1.485810,0.742905,False
2004-07-26,-12.000000,-14.834852,0.356219,0.089961,0.484829,2.168832,-11.735012,-0.264988,-0.132494,False
2004-08-27,-14.000000,-15.126089,0.117604,0.090901,0.389636,2.111505,-12.416442,-1.583558,-0.791779,False
2004-09-30,-14.000000,-15.434003,-0.266462,0.062727,0.276091,2.047838,-13.313809,-0.686191,-0.343095,False
2004-10-28,-14.000000,-15.686399,-0.350634,0.023266,0.175572,1.993334,-13.844862,-0.155138,-0.077569,False
2004-11-26,-14.000000,-15.946686,-0.123422,-0.023034,0.067349,1.934965,-14.090828,0.090828,0.045414,False
2004-12-24,-13.000000,-16.196913,0.206380,-0.062548,-0.038704,1.876811,-14.214974,1.214974,0.607487,False
2005-01-25,-15.000000,-16.482165,0.356105,-0.089992,-0.158953,1.808112,-14.566892,-0.433108,-0.216554,False
2005-02-24,-15.000000,-16.748501,0.138967,-0.091612,-0.267588,1.741694,-15.227041,0.227041,0.113520,False
2005-03-24,-15.000000,-16.995972,-0.193287,-0.071480,-0.362799,1.678046,-15.945493,0.945493,0.472746,False
2005-04-22,-16.000000,-17.251151,-0.359684,-0.033555,-0.452779,1.610502,-16.486667,0.486667,0.243333,False
2005-05-30,-17.000000,-17.583784,-0.095097,0.026780,-0.553834,1.519608,-16.686327,-0.313673,-0.156836,False
2005-06-13,-16.000000,-17.705835,0.076538,0.047504,-0.585481,1.485465,-16.681810,0.681810,0.340905,False
2005-07-27,-16.000000,-18.087681,0.355181,0.090221,-0.662751,1.375975,-16.929055,0.929055,0.464528,False
2005-08-17,-18.000000,-18.268993,0.228766,0.093683,-0.686870,1.322604,-17.310811,-0.689189,-0.344595,False
2005-09-30,-18.000000,-18.646930,-0.264338,0.063032,-0.708959,1.208599,-18.348597,0.348597,0.174298,False
2005-10-28,-17.000000,-18.886058,-0.351118,0.023545,-0.702546,1.134607,-18.781571,1.781571,0.890785,False
2005-11-28,-18.000000,-19.149557,-0.101054,-0.026004,-0.677022,1.051476,-18.902160,0.902160,0.451080,False
2005-12-28,-19.000000,-19.403305,0.244669,-0.067200,-0.634535,0.969899,-18.890472,-0.109528,-0.054764,False
2006-01-11,-20.000000,-19.521299,0.339010,-0.080935,-0.609017,0.931475,-18.940766,-1.059234,-0.529617,False
2006-02-23,-24.000000,-19.882037,0.150305,-0.091959,-0.509911,0.812161,-19.521441,-4.478559,-2.239279,False
2006-03-24,-22.000000,-20.123898,-0.193287,-0.071480,-0.427447,0.730684,-20.085428,-1.914572,-0.957286,False
2006-04-28,-21.000000,-20.414269,-0.352410,-0.024327,-0.314383,0.631400,-20.473988,-0.526012,-0.263006,False
2006-05-24,-22.000000,-20.628889,-0.164224,0.017351,-0.223007,0.557052,-20.441718,-1.558282,-0.779141,False
2006-06-22,-21.000000,-20.867183,0.180058,0.059446,-0.116065,0.473609,-20.270137,-0.729863,-0.364932,False
2006-07-21,-17.000000,-21.104328,0.359273,0.087031,-0.006322,0.389698,-20.274648,3.274648,1.637324,False
2006-08-31,-21.000000,-21.437640,0.074038,0.089225,0.148467,0.270432,-20.855479,-0.144521,-0.072260,False
2006-09-20,-20.000000,-21.599398,-0.166495,0.074039,0.221832,0.212045,-21.257977,1.257977,0.628988,False
2006-10-26,-21.000000,-21.889183,-0.355656,0.026662,0.346917,0.106718,-21.764543,0.764543,0.382271,False
2006-11-22,-22.000000,-22.105360,-0.169708,-0.016555,0.432510,0.027607,-21.831507,-0.168493,-0.084246,False
2006-12-21,-21.000000,-22.336441,0.174671,-0.058817,0.514315,-0.057388,-21.763660,0.763660,0.381830,False
2007-01-25,-21.000000,-22.613800,0.356105,-0.089992,0.596353,-0.159885,-21.911219,0.911219,0.455609,False
2007-02-15,-22.000000,-22.779412,0.233510,-0.093742,0.635676,-0.221283,-22.225252,0.225252,0.112626,False
2007-03-29,-24.000000,-23.108827,-0.242390,-0.065972,0.689765,-0.343704,-23.071129,-0.928871,-0.464436,False
2007-04-26,-26.000000,-23.327098,-0.356528,-0.027437,0.706565,-0.424940,-23.429438,-2.570562,-1.285281,False
2007-05-24,-27.000000,-23.544297,-0.164224,0.017351,0.707463,-0.505785,-23.489493,-3.510507,-1.755253,False
2007-06-22,-24.000000,-23.768124,0.180058,0.059446,0.691613,-0.589028,-23.426036,-0.573964,-0.286982,False
2007-07-18,-25.000000,-23.967819,0.355575,0.085086,0.663190,-0.663168,-23.527136,-1.472864,-0.736432,False
2007-08-23,-27.000000,-24.242795,0.166972,0.092427,0.602747,-0.764946,-24.145594,-2.854406,-1.427203,False
2007-09-13,-24.000000,-24.402379,-0.085586,0.080458,0.556967,-0.823790,-24.674331,0.674331,0.337166,False
2007-10-18,-22.000000,-24.667014,-0.356857,0.038779,0.465313,-0.920904,-25.440683,3.440683,1.720341,False
2007-11-13,-26.000000,-24.862515,-0.258328,-0.002083,0.386445,-0.992198,-25.728680,-0.271320,-0.135660,False
2007-12-10,-26.000000,-25.064559,0.046042,-0.043972,0.296627,-1.065403,-25.831265,-0.168735,-0.084368,False
2008-01-16,-23.000000,-25.339511,0.354503,-0.084711,0.164012,-1.164123,-26.069830,3.069830,1.534915,False
2008-02-19,-23.000000,-25.590116,0.195136,-0.093101,0.036568,-1.253058,-26.704570,3.704570,1.852285,False
2008-03-13,-25.000000,-25.758752,-0.077182,-0.081034,-0.050587,-1.312271,-27.279827,2.279827,1.139913,False
2008-04-16,-28.000000,-26.006723,-0.353407,-0.041398,-0.177643,-1.398312,-27.977483,-0.022517,-0.011258,False
2008-05-20,-28.000000,-26.253123,-0.200294,0.011947,-0.298842,-1.482472,-28.222785,0.222785,0.111392,False
2008-06-24,-32.000000,-26.505129,0.206380,0.062548,-0.413275,-1.567021,-28.216496,-3.783504,-1.891752,False
2008-07-16,-29.000000,-26.662680,0.352206,0.084001,-0.478048,-1.619030,-28.323552,-0.676448,-0.338224,False
2008-08-21,-26.000000,-26.919072,0.184649,0.092868,-0.569410,-1.702155,-28.913120,2.913120,1.456560,False
2008-09-19,-29.000000,-27.124329,-0.158587,0.074746,-0.627840,-1.767255,-29.603265,0.603265,0.301632,False
2008-10-08,-32.000000,-27.258187,-0.322005,0.052557,-0.658022,-1.808972,-29.994630,-2.005370,-1.002685,False
2008-11-05,-33.000000,-27.454558,-0.315739,0.010583,-0.690056,-1.869060,-30.318830,-2.681170,-1.340585,False
2008-12-04,-31.000000,-27.656819,-0.027159,-0.035290,-0.706946,-1.929494,-30.355708,-0.644292,-0.322146,False
2009-01-14,-32.000000,-27.941069,0.349596,-0.083292,-0.701835,-2.011769,-30.388368,-1.611632,-0.805816,False
2009-02-05,-31.000000,-28.092933,0.312148,-0.093475,-0.685092,-2.054379,-30.613730,-0.386270,-0.193135,False
2009-03-04,-29.000000,-28.278407,0.043505,-0.087874,-0.651560,-2.105079,-31.079415,2.079415,1.039708,False
2009-04-17,-30.000000,-28.578526,-0.354056,-0.040976,-0.568132,-2.183835,-31.725525,1.725525,0.862763,False
2009-05-06,-30.000000,-28.707304,-0.319548,-0.011636,-0.522037,-2.216323,-31.776848,1.776848,0.888424,False
2009-06-10,-32.000000,-28.943237,0.039895,0.043255,-0.423340,-2.273708,-31.557135,-0.442865,-0.221432,False
2009-07-15,-31.000000,-29.177495,0.348088,0.082914,-0.309773,-2.327833,-31.384099,0.384099,0.192050,False
2009-08-12,-30.000000,-29.363696,0.272929,0.093966,-0.210880,-2.368734,-31.576414,1.576414,0.788207,False
2009-09-15,-31.000000,-29.588357,-0.109420,0.078739,-0.084638,-2.415472,-32.119148,1.119148,0.559574,False
2009-10-14,-31.000000,-29.778730,-0.347295,0.044577,0.025422,-2.452757,-32.508784,1.508784,0.754392,False
2009-11-11,-32.000000,-29.961449,-0.274936,0.001152,0.131133,-2.486466,-32.590565,0.590565,0.295283,False
2009-12-09,-34.000000,-30.143096,0.033735,-0.042536,0.233894,-2.517892,-32.435894,-1.564106,-0.782053,False
2010-01-19,-34.000000,-30.407146,0.358922,-0.086723,0.374250,-2.559733,-32.320430,-1.679570,-0.839785,False
2010-02-10,-33.000000,-30.547884,0.276922,-0.093956,0.442533,-2.580113,-32.502498,-0.497502,-0.248751,False
2010-03-16,-33.000000,-30.764087,-0.103506,-0.079177,0.535647,-2.608729,-33.019852,0.019852,0.009926,False
2010-04-14,-34.000000,-30.947247,-0.345633,-0.045287,0.601139,-2.630349,-33.367377,-0.632623,-0.316311,False
2010-05-12,-32.000000,-31.123000,-0.278887,-0.001960,0.650619,-2.648767,-33.401996,1.401996,0.700998,False
2010-06-09,-31.000000,-31.297682,0.027566,0.041813,0.685457,-2.664754,-33.207600,2.207600,1.103800,False
2010-07-14,-31.000000,-31.514528,0.344763,0.082141,0.707254,-2.681297,-33.061667,2.061667,1.030834,False
2010-08-17,-32.000000,-31.723574,0.228766,0.093683,0.704641,-2.693687,-33.390172,1.390172,0.695086,False
2010-09-14,-31.000000,-31.894544,-0.097561,0.079610,0.684920,-2.701153,-33.928728,2.928728,1.464364,False
2010-10-12,-32.000000,-32.064442,-0.340032,0.047398,0.649785,-2.706141,-34.413432,2.413432,1.206716,False
2010-11-16,-32.000000,-32.275308,-0.231146,-0.006930,0.585428,-2.708883,-34.636839,2.636839,1.318419,False
2010-12-08,-34.000000,-32.406996,0.021389,-0.041087,0.534275,-2.708618,-34.601036,0.601036,0.300518,False
2011-01-13,-34.000000,-32.621057,0.346477,-0.082530,0.434917,-2.704875,-34.627069,0.627069,0.313534,False
2011-02-15,-35.000000,-32.815724,0.233510,-0.093742,0.329542,-2.697839,-35.044254,0.044254,0.022127,False
2011-03-21,-35.000000,-33.014733,-0.160982,-0.074534,0.210245,-2.686993,-35.726997,0.726997,0.363499,False
2011-04-26,-37.000000,-33.223727,-0.356528,-0.027437,0.076422,-2.671547,-36.202817,-0.797183,-0.398592,False
2011-05-19,-37.000000,-33.356323,-0.216612,0.009347,-0.010883,-2.659555,-36.234026,-0.765974,-0.382987,False
2011-06-28,-38.000000,-33.585203,0.240094,0.066632,-0.161545,-2.634782,-36.074803,-1.925197,-0.962598,False
2011-07-26,-38.000000,-33.744118,0.356924,0.089756,-0.263004,-2.614501,-36.174943,-1.825057,-0.912529,False
2011-08-24,-37.000000,-33.907579,0.155907,0.092122,-0.361819,-2.590967,-36.612335,-0.387665,-0.193832,False
2011-09-20,-34.000000,-34.058733,-0.166495,0.074039,-0.446015,-2.566763,-37.163966,3.163966,1.581983,False
2011-10-18,-35.000000,-34.214433,-0.356857,0.038779,-0.523448,-2.539348,-37.595308,2.595308,1.297654,False
2011-11-18,-35.000000,-34.385566,-0.211638,-0.010152,-0.595374,-2.506280,-37.709008,2.709008,1.354504,False
2011-12-20,-39.000000,-34.560841,0.163744,-0.057547,-0.652382,-2.469188,-37.576213,-1.423787,-0.711894,False
2012-01-12,-39.000000,-34.685792,0.342834,-0.081721,-0.681562,-2.440735,-37.546976,-1.453024,-0.726512,False
2012-02-21,-38.000000,-34.901076,0.173944,-0.092608,-0.707522,-2.387752,-37.915013,-0.084987,-0.042493,False
2012-03-01,-37.008917,-34.949215,0.069960,-0.089053,-0.708931,-2.375214,-38.052452,1.043535,0.521767,False
2012-04-01,-37.129666,-35.114184,-0.274599,-0.061516,-0.701227,-2.330321,-38.481847,1.352181,0.676090,False
2012-05-01,-37.246914,-35.272588,-0.340530,-0.018549,-0.675457,-2.284393,-38.591517,1.344603,0.672301,False
2012-06-01,-37.361404,-35.434987,-0.063893,0.030760,-0.630612,-2.234420,-38.333152,0.971749,0.485874,False
2012-07-01,-37.472239,-35.590903,0.270570,0.070504,-0.570731,-2.183679,-38.004240,0.532001,0.266000,False
2012-08-01,-37.579901,-35.750732,0.338492,0.092276,-0.493475,-2.128844,-37.942283,0.362382,0.181191,False
2012-09-01,-37.685083,-35.909254,0.057807,0.088525,-0.402687,-2.071626,-38.237235,0.552152,0.276076,False
2012-10-01,-37.787551,-36.061419,-0.274599,0.061516,-0.304285,-2.014047,-38.592833,0.805282,0.402641,False
2012-11-01,-37.887291,-36.217370,-0.336354,0.016965,-0.194423,-1.952333,-38.683516,0.796224,0.398112,False
2012-12-01,-37.984059,-36.367048,-0.063893,-0.030760,-0.082997,-1.890529,-38.435226,0.451167,0.225583,False
2013-01-01,-38.077985,-36.520429,0.278546,-0.071560,0.034349,-1.824584,-38.103678,0.025693,0.012846,False
2013-02-01,-38.169091,-36.672919,0.333727,-0.092591,0.151068,-1.756410,-38.037124,-0.131967,-0.065983,False
2013-03-01,-38.257435,-36.809522,0.080085,-0.089475,0.252999,-1.693132,-38.259046,0.001611,0.000805,False
2013-04-01,-38.342814,-36.959512,-0.268498,-0.062430,0.359118,-1.621265,-38.552588,0.209774,0.104887,False
2013-05-01,-38.425523,-37.103413,-0.343109,-0.019609,0.452413,-1.549979,-38.563697,0.138174,0.069087,False
2013-06-01,-38.505639,-37.250819,-0.071005,0.029864,0.536518,-1.474602,-38.230043,-0.275596,-0.137798,False
2013-07-01,-38.582513,-37.392218,0.266428,0.069964,0.603845,-1.400076,-37.852058,-0.730455,-0.365228,False
2013-08-01,-38.656946,-37.537039,0.340208,0.092146,0.657016,-1.321517,-37.769187,-0.887759,-0.443879,False
2013-09-01,-38.728964,-37.680547,0.061878,0.088704,0.692070,-1.241472,-38.079366,-0.649598,-0.324799,False
2013-10-01,-38.799032,-37.818174,-0.272578,0.061823,0.707831,-1.162678,-38.483776,-0.315256,-0.157628,False
