date,67.395,67.395_trend,67.395_0.5yr,67.395_1yr,67.395_12.24yr,67.395_model,67.395_noise,67.395_wtest,flagged
2003-12-03,0.000000,-3.170441,-0.273608,0.569948,0.856833,-2.017268,2.017268,1.008634,False
2004-01-09,1.000000,-3.317576,0.118452,0.543708,0.864006,-1.791410,2.791410,1.395705,False
2004-02-12,1.000000,-3.452491,0.343147,0.330640,0.868530,-1.910174,2.910174,1.455087,False
2004-03-17,0.000000,-3.587407,0.150970,0.008089,0.871080,-2.557269,2.557269,1.278634,False
2004-04-27,-1.000000,-3.750099,-0.280051,-0.374179,0.871520,-3.532809,2.532809,1.266405,False
2004-05-26,-3.000000,-3.865174,-0.319383,-0.545216,0.870091,-3.859681,0.859681,0.429840,False
2004-06-25,-3.000000,-3.984217,-0.055779,-0.582644,0.867099,-3.755542,0.755542,0.377771,False
2004-07-26,-2.000000,-4.107228,0.269432,-0.462765,0.862395,-3.438167,1.438167,0.719084,False
2004-08-27,,-4.234208,0.312436,-0.205463,0.855829,-3.271406,,,False
2004-09-30,-0.082557,-4.369123,-0.008857,0.132039,0.846964,-3.398977,3.316420,1.658210,False
2004-10-28,-5.000000,-4.480230,-0.286720,0.381905,0.838217,-3.546829,-1.453171,-0.726586,False
2004-11-26,-4.000000,-4.595305,-0.314844,0.548905,0.827795,-3.533450,-0.466550,-0.233275,False
2004-12-24,-8.000000,-4.706412,-0.067385,0.583888,0.816433,-3.373476,-4.626524,-2.313262,False
2005-01-25,-6.000000,-4.833652,0.269912,0.462355,0.801876,-3.299509,-2.700491,-1.350246,False
2005-02-24,-7.000000,-4.953022,0.320891,0.222865,0.786745,-3.622521,-3.377479,-1.688740,False
2005-03-24,-5.000000,-5.064433,0.082069,-0.054641,0.771358,-4.265647,-0.734353,-0.367177,False
2005-04-22,-4.000000,-5.179823,-0.236027,-0.328139,0.754161,-4.989828,0.989828,0.494914,False
2005-05-30,-3.000000,-5.331024,-0.302404,-0.557122,0.729733,-5.460817,2.460817,1.230409,False
2005-06-13,-3.000000,-5.386730,-0.192328,-0.585729,0.720205,-5.444582,2.444582,1.222291,False
2005-07-27,-4.000000,-5.561805,0.273532,-0.459215,0.688457,-5.059030,1.059030,0.529515,False
2005-08-17,-4.000000,-5.645363,0.342688,-0.299781,0.672368,-4.930089,0.930089,0.465044,False
2005-09-30,-7.000000,-5.820438,-0.005852,0.129532,0.636773,-5.059985,-1.940015,-0.970008,False
2005-10-28,-5.000000,-5.931850,-0.285557,0.380537,0.612844,-5.224026,0.224026,0.112013,False
2005-11-28,-4.000000,-6.055198,-0.305167,0.555490,0.585244,-5.219632,1.219632,0.609816,False
2005-12-28,-4.000000,-6.174567,-0.020752,0.577904,0.557474,-5.059940,1.059940,0.529970,False
2006-01-11,-5.000000,-6.230273,0.140598,0.535609,0.544173,-5.009893,0.009893,0.004946,False
2006-02-23,-5.000000,-6.401369,0.324929,0.232194,0.502021,-5.342224,0.342224,0.171112,False
2006-03-24,-6.000000,-6.516759,0.082069,-0.054641,0.472547,-6.016783,0.016783,0.008391,False
2006-04-28,-6.000000,-6.656023,-0.282225,-0.376667,0.435934,-6.878982,0.878982,0.439491,False
2006-05-24,-7.000000,-6.759477,-0.329435,-0.534841,0.408046,-7.215707,0.215707,0.107853,False
2006-06-22,-6.000000,-6.874867,-0.096348,-0.586264,0.376299,-7.181180,1.181180,0.590590,False
2006-07-21,-10.000000,-6.990257,0.225066,-0.494593,0.343926,-6.915858,-3.084142,-1.542071,False
2006-08-31,-7.000000,-7.153395,0.292032,-0.170451,0.297194,-6.734620,-0.265380,-0.132690,False
2006-09-20,-7.000000,-7.232975,0.110448,0.029412,0.274030,-6.819084,-0.180916,-0.090458,False
2006-10-26,-4.000000,-7.376218,-0.271732,0.364892,0.231800,-7.051258,3.051258,1.525629,False
2006-11-22,-5.000000,-7.483650,-0.331067,0.532723,0.199732,-7.082263,2.082263,1.041131,False
2006-12-21,-7.000000,-7.599040,-0.102011,0.586604,0.164969,-6.949478,-0.050522,-0.025261,False
2007-01-25,-6.000000,-7.738305,0.269912,0.462355,0.122654,-6.883383,0.883383,0.441692,False
2007-02-15,-6.000000,-7.821863,0.343068,0.304121,0.097115,-7.077558,1.077558,0.538779,False
2007-03-29,-8.000000,-7.988980,0.023703,-0.104747,0.045807,-8.024217,0.024217,0.012109,False
2007-04-26,-10.000000,-8.100391,-0.268072,-0.360912,0.011501,-8.717875,-1.282125,-0.641063,False
2007-05-24,-9.000000,-8.211803,-0.329435,-0.534841,-0.022822,-9.098901,0.098901,0.049451,False
2007-06-22,-9.000000,-8.327193,-0.096348,-0.586264,-0.058334,-9.068139,0.068139,0.034069,False
2007-07-18,-12.000000,-8.430646,0.197098,-0.510326,-0.090091,-8.833965,-3.166035,-1.583018,False
