date,86.914,86.914_trend,86.914_0.5yr,86.914_1yr,86.914_12.87yr,86.914_jump,86.914_exp,86.914_model,86.914_noise,86.914_wtest,flagged
2003-12-03,0.000000,-6.919614,0.200658,1.617771,0.053630,0.000000,0.000000,-5.047554,5.047554,2.523777,False
2004-01-09,-2.000000,-7.299234,1.201829,1.154058,0.152159,0.000000,0.000000,-4.791187,2.791187,1.395594,False
2004-02-12,0.000000,-7.645887,0.617904,0.323525,0.242185,0.000000,0.000000,-6.462274,6.462274,3.231137,False
2004-03-17,-5.000000,-7.991165,-0.716683,-0.614135,0.331712,0.000000,0.000000,-8.990271,3.990271,1.995136,False
2004-04-27,-6.000000,-8.405698,-1.081139,-1.449885,0.438747,0.000000,0.000000,-10.497975,4.497975,2.248987,False
2004-05-26,-9.000000,-8.697696,-0.127852,-1.636333,0.513682,0.000000,0.000000,-9.948199,0.948199,0.474100,False
2004-06-25,-10.000000,-8.998709,0.967693,-1.411511,0.590390,0.000000,0.000000,-8.852136,-1.147864,-0.573932,False
2004-07-26,-8.000000,-9.308630,1.107937,-0.796073,0.668661,0.000000,0.000000,-8.328104,0.328104,0.164052,False
2004-08-27,-9.000000,-9.627348,0.065624,0.067636,0.748256,0.000000,0.000000,-8.745833,-0.254167,-0.127083,False
2004-09-30,-10.000000,-9.964651,-1.087563,0.957563,0.831329,0.000000,0.000000,-9.263322,-0.736678,-0.368339,False
2004-10-28,-10.000000,-10.241396,-1.061676,1.462701,0.898465,0.000000,0.000000,-8.941905,-1.058095,-0.529047,False
2004-11-26,-10.000000,-10.527041,-0.086394,1.635654,0.966678,0.000000,0.000000,-8.011103,-1.988897,-0.994449,False
2004-12-24,-5.000000,-10.801886,0.942057,1.425520,1.031166,0.000000,0.000000,-7.403143,2.403143,1.201571,False
2005-01-25,-8.000000,-11.115493,1.106824,0.794458,1.103247,0.000000,0.000000,-8.110964,0.110964,0.055482,False
2005-02-24,-8.000000,-11.408587,0.142414,-0.015622,1.169037,0.000000,0.000000,-10.112758,2.112758,1.056379,False
2005-03-24,-12.000000,-11.681170,-0.907755,-0.772423,1.228745,0.000000,0.000000,-12.132602,0.132602,0.066301,False
2005-04-22,-15.000000,-11.962499,-1.167100,-1.368862,1.288768,0.000000,0.000000,-13.209692,-1.790308,-0.895154,False
2005-05-30,-15.000000,-12.329613,0.013770,-1.632041,1.364470,0.000000,0.000000,-12.583414,-2.416586,-1.208293,False
2005-06-13,-15.000000,-12.464429,0.574118,-1.555959,1.391482,0.000000,0.000000,-12.054789,-2.945211,-1.472606,False
2005-07-27,-13.000000,-12.886611,1.098147,-0.782114,1.473157,0.000000,0.000000,-11.097421,-1.902579,-0.951290,False
2005-08-17,-13.000000,-13.087290,0.483660,-0.223139,1.510357,0.000000,0.000000,-11.316412,-1.683588,-0.841794,False
2005-09-30,-12.000000,-13.506048,-1.082836,0.951749,1.584402,0.000000,0.000000,-12.052733,0.052733,0.026366,False
2005-10-28,-12.000000,-13.771323,-1.065234,1.460450,1.628681,0.000000,0.000000,-11.747426,-0.252574,-0.126287,False
2005-11-28,-13.000000,-14.063926,-0.007099,1.633024,1.675037,0.000000,0.000000,-10.762964,-2.237036,-1.118518,False
2005-12-28,-13.000000,-14.345995,1.037409,1.367175,1.717157,0.000000,0.000000,-10.224255,-2.775745,-1.387873,False
2006-01-11,-12.000000,-14.477259,1.209967,1.112982,1.735871,0.000000,0.000000,-10.418439,-1.581561,-0.790780,False
2006-02-23,-19.000000,-14.878958,0.183769,0.012549,1.789516,0.000000,0.000000,-12.893123,-6.106877,-3.053439,False
2006-03-24,-18.000000,-15.148621,-0.907755,-0.772423,1.822364,-0.712553,0.000000,-15.718987,-2.281013,-1.140506,False
2006-04-28,-16.000000,-15.472737,-1.075038,-1.454040,1.858353,-0.712553,0.000000,-16.856014,0.856014,0.428007,False
2006-05-24,-16.000000,-15.712558,-0.235151,-1.635835,1.882456,-0.712553,0.000000,-16.413642,0.413642,0.206821,False
2006-06-22,-16.000000,-15.979097,0.872346,-1.459061,1.906653,-0.712553,0.000000,-15.371712,-0.628288,-0.314144,False
2006-07-21,-14.000000,-16.244630,1.180125,-0.926159,1.927982,-0.712553,0.000000,-14.775235,0.775235,0.387617,False
2006-08-31,-13.000000,-16.618319,-0.086735,0.170257,1.953181,-0.712553,0.000000,-15.294169,2.294169,1.147085,False
