date,122.818,122.818_trend,122.818_0.5yr,122.818_1yr,122.818_4.78yr,122.818_12.1yr,122.818_jump,122.818_exp,122.818_model,122.818_noise,122.818_wtest,flagged
2003-12-03,0.000000,-5.777518,-0.339111,0.954255,0.710011,-0.577823,0.000000,0.000000,-5.030187,5.030187,2.515094,False
2004-01-09,0.000000,-6.070727,-0.214856,0.274275,0.727337,-0.552032,0.000000,0.000000,-5.836002,5.836002,2.918001,False
2004-02-12,-4.000000,-6.339584,0.181262,-0.451358,0.731909,-0.527039,0.000000,0.000000,-6.404810,2.404810,1.202405,False
2004-03-17,-6.000000,-6.608441,0.357173,-1.027535,0.725580,-0.500820,0.000000,0.000000,-7.054042,1.054042,0.527021,False
2004-04-27,-6.000000,-6.932651,0.013958,-1.260179,0.703598,-0.467659,0.000000,0.000000,-7.942933,1.942933,0.971467,False
2004-05-26,-5.000000,-7.161970,-0.294229,-1.057893,0.678813,-0.443241,0.000000,0.000000,-8.278520,3.278520,1.639260,False
2004-06-25,-7.000000,-7.399197,-0.329230,-0.579571,0.645436,-0.417193,0.000000,0.000000,-8.079756,1.079756,0.539878,False
2004-07-26,-5.000000,-7.644332,-0.032455,0.070790,0.603088,-0.389483,0.000000,0.000000,-7.392392,2.392392,1.196196,False
2004-08-27,-5.000000,-7.897374,0.304513,0.719525,0.551547,-0.360090,0.000000,0.000000,-6.681879,1.681879,0.840939,False
2004-09-30,-3.000000,-8.166231,0.296063,1.173385,0.488829,-0.328048,0.000000,0.000000,-6.536001,3.536001,1.768000,False
2004-10-28,-8.000000,-8.387643,0.001602,1.258220,0.431668,-0.301083,0.000000,0.000000,-6.997236,-1.002764,-0.501382,False
2004-11-26,-8.000000,-8.616962,-0.301173,1.045849,0.367875,-0.272656,0.000000,0.000000,-7.777068,-0.222932,-0.111466,False
2004-12-24,-10.000000,-8.838374,-0.334031,0.598777,0.302491,-0.244770,0.000000,0.000000,-8.515908,-1.484092,-0.742046,False
2005-01-25,-11.000000,-9.091936,-0.031645,-0.072215,0.223899,-0.212364,0.000000,0.000000,-9.184261,-1.815739,-0.907869,False
2005-02-24,-11.000000,-9.329813,0.291701,-0.686109,0.147452,-0.181561,0.000000,0.000000,-9.758330,-1.241670,-0.620835,False
2005-03-24,-8.000000,-9.551832,0.339582,-1.100259,0.074532,-0.152513,0.000000,0.000000,-10.390490,2.390490,1.195245,False
2005-04-22,-11.000000,-9.781779,0.083585,-1.264241,-0.001781,-0.122172,0.000000,0.000000,-11.086389,0.086389,0.043194,False
2005-05-30,-11.000000,-10.083090,-0.316425,-1.015587,-0.101618,-0.082109,0.000000,0.000000,-11.598829,0.598829,0.299414,False
2005-06-13,-12.147975,-10.194099,-0.359911,-0.806470,-0.138019,-0.067282,0.000000,0.000000,-11.565781,-0.582194,-0.291097,False
2005-07-27,-11.000000,-10.542985,-0.025469,0.083077,-0.249715,-0.020537,0.000000,0.000000,-10.755629,-0.244371,-0.122185,False
2005-08-17,-10.000000,-10.709499,0.218461,0.523930,-0.300985,0.001813,0.000000,0.000000,-10.266280,0.266280,0.133140,False
2005-09-30,-12.000000,-11.058385,0.297843,1.171314,-0.402495,0.048612,0.000000,0.000000,-9.943111,-2.056889,-1.028444,False
2005-10-28,-12.000000,-11.280404,0.003803,1.258596,-0.461991,0.078306,0.000000,0.000000,-10.401690,-1.598310,-0.799155,False
2005-11-28,-12.000000,-11.526210,-0.313425,1.022032,-0.522364,0.111034,0.000000,0.000000,-11.228933,-0.771067,-0.385534,False
2005-12-28,-12.000000,-11.764087,-0.312591,0.521170,-0.574604,0.142501,0.000000,0.000000,-11.987610,-0.012390,-0.006195,False
2006-01-11,-12.000000,-11.875096,-0.194249,0.231158,-0.596724,0.157101,0.000000,0.000000,-12.277810,0.277810,0.138905,False
2006-02-23,-12.000000,-12.216053,0.284269,-0.667726,-0.654960,0.201528,0.000000,0.000000,-13.052941,1.052941,0.526471,False
2006-03-24,-13.000000,-12.446000,0.339582,-1.100259,-0.685455,0.231075,0.000000,0.000000,-13.661058,0.661058,0.330529,False
2006-04-28,-16.000000,-12.723523,0.009998,-1.259591,-0.712287,0.266206,0.000000,0.000000,-14.419197,-1.580803,-0.790401,False
2006-05-24,-16.000000,-12.929683,-0.274506,-1.087830,-0.724920,0.291881,0.000000,0.000000,-14.725059,-1.274941,-0.637471,False
2006-06-22,-13.000000,-13.159631,-0.344403,-0.646542,-0.731516,0.320046,0.000000,0.000000,-14.562045,1.562045,0.781023,False
2006-07-21,-12.000000,-13.389579,-0.098570,-0.047446,-0.730140,0.347667,0.000000,0.000000,-13.918068,1.918068,0.959034,False
2006-08-31,-12.000000,-13.714677,0.326182,0.783440,-0.714639,0.385696,0.000000,0.000000,-12.933998,0.933998,0.466999,False
2006-09-20,-10.000000,-13.873262,0.348586,1.072437,-0.701401,0.403779,0.000000,0.000000,-12.749860,2.749860,1.374930,False
2006-10-26,-12.000000,-14.158714,0.028558,1.262017,-0.668463,0.435494,0.000000,0.000000,-13.101108,1.101108,0.550554,False
2006-11-22,-16.000000,-14.372803,-0.270458,1.093337,-0.636360,0.458535,0.000000,0.000000,-13.727749,-2.272251,-1.136126,False
2006-12-21,-16.000000,-14.602751,-0.346153,0.655871,-0.595192,0.482529,0.000000,0.000000,-14.405696,-1.594304,-0.797152,False
2007-01-25,-14.000000,-14.880274,-0.031645,-0.072215,-0.536915,0.510390,0.000000,0.000000,-15.010659,1.010659,0.505329,False
2007-02-15,-16.000000,-15.046787,0.213505,-0.514007,-0.497794,0.526503,0.000000,0.000000,-15.318580,-0.681420,-0.340710,False
2007-03-29,-19.000000,-15.379815,0.314116,-1.149743,-0.411256,0.557307,0.000000,0.000000,-16.069393,-2.930607,-1.465304,False
