date,198.421,198.421_trend,198.421_0.5yr,198.421_1yr,198.421_model,198.421_noise,198.421_wtest,flagged
2003-12-03,0.000000,-0.485022,-0.194167,-0.090134,-0.769323,0.769323,0.384661,False
2004-01-09,-1.000000,-0.553396,-0.587291,-0.006746,-1.147433,0.147433,0.073717,False
2004-02-12,0.000000,-0.616092,-0.209484,0.072906,-0.752670,0.752670,0.376335,False
2004-03-17,0.000000,-0.678787,0.422815,0.128417,-0.127555,0.127555,0.063778,False
2004-04-27,-1.000000,-0.754390,0.471477,0.138119,-0.144794,-0.855206,-0.427603,False
2004-05-26,2.000000,-0.807866,-0.038025,0.104292,-0.741598,2.741598,1.370799,False
2004-06-25,-3.000000,-0.863185,-0.522395,0.042816,-1.342764,-1.657236,-0.828618,False
2004-07-26,0.000000,-0.920348,-0.488917,-0.032159,-1.441424,1.441424,0.720712,False
2004-08-27,0.000000,-0.979356,0.068167,-0.100000,-1.011189,1.011189,0.505594,False
2004-09-30,0.000000,-1.042051,0.563667,-0.139519,-0.617903,0.617903,0.308952,False
2004-10-28,-1.000000,-1.093682,0.459153,-0.137485,-0.772015,-0.227985,-0.113993,False
2004-11-26,0.000000,-1.147158,-0.058135,-0.102606,-1.307899,1.307899,0.653949,False
2004-12-24,0.000000,-1.198789,-0.512842,-0.045146,-1.756777,1.756777,0.878388,False
2005-01-25,1.000000,-1.257918,-0.488179,0.032316,-1.713782,2.713782,1.356891,False
2005-02-24,2.000000,-1.313389,0.030932,0.096715,-1.185742,3.185742,1.592871,False
2005-03-24,0.000000,-1.365162,0.499782,0.134313,-0.731067,0.731067,0.365533,False
2005-04-22,-1.000000,-1.418784,0.530681,0.140947,-0.747156,-0.252844,-0.126422,False
2005-05-30,-2.000000,-1.489047,-0.106240,0.098421,-1.496866,-0.503134,-0.251567,False
2005-06-13,-4.000000,-1.514933,-0.362094,0.070927,-1.806101,-2.193899,-1.096950,False
2005-07-27,-1.000000,-1.596291,-0.482473,-0.033511,-2.112275,1.112275,0.556137,False
2005-08-17,0.000000,-1.635121,-0.139700,-0.080390,-1.855210,1.855210,0.927605,False
2005-09-30,-2.000000,-1.716478,0.562189,-0.139387,-1.293677,-0.706323,-0.353162,False
2005-10-28,-1.000000,-1.768251,0.461388,-0.137601,-1.444464,0.444464,0.222232,False
2005-11-28,0.000000,-1.825571,-0.096274,-0.099306,-2.021152,2.021152,1.010576,False
2005-12-28,-2.000000,-1.881042,-0.547239,-0.035779,-2.464060,0.464060,0.232030,False
2006-01-11,-1.000000,-1.906928,-0.584275,-0.001783,-2.492987,1.492987,0.746493,False
2006-02-23,-1.000000,-1.986437,0.010711,0.094895,-1.880830,0.880830,0.440415,False
2006-03-24,-1.000000,-2.040059,0.499782,0.134313,-1.405964,0.405964,0.202982,False
2006-04-28,-2.000000,-2.104775,0.467587,0.137920,-1.499268,-0.500732,-0.250366,False
2006-05-24,0.000000,-2.152850,0.014580,0.108545,-2.029725,2.029725,1.014862,False
2006-06-22,-2.000000,-2.206472,-0.486014,0.050976,-2.641509,0.641509,0.320755,False
2006-07-21,-2.000000,-2.260094,-0.541057,-0.019035,-2.820186,0.820186,0.410093,False
2006-08-31,-2.000000,-2.335904,0.140854,-0.106197,-2.301246,0.301246,0.150623,False
2006-09-20,0.000000,-2.372885,0.471345,-0.132119,-2.033658,2.033658,1.016829,False
2006-10-26,1.000000,-2.439450,0.485344,-0.138816,-2.092922,3.092922,1.546461,False
2006-11-22,-2.000000,-2.489374,0.024692,-0.109338,-2.574019,0.574019,0.287010,False
2006-12-21,-1.000000,-2.542995,-0.480253,-0.052121,-3.075370,2.075370,1.037685,False
2007-01-25,-2.000000,-2.607712,-0.488179,0.032316,-3.063575,1.063575,0.531788,False
2007-02-15,-2.000000,-2.646541,-0.149506,0.079373,-2.716674,0.716674,0.358337,False
2007-03-29,-5.000000,-2.724201,0.545373,0.137950,-2.040878,-2.959122,-1.479561,False
2007-04-26,-5.000000,-2.775974,0.490978,0.139094,-2.145901,-2.854099,-1.427050,False
2007-05-24,-3.000000,-2.827746,0.014580,0.108545,-2.704621,-0.295379,-0.147689,False
2007-06-22,-5.000000,-2.881368,-0.486014,0.050976,-3.316406,-1.683594,-0.841797,False
2007-07-18,-6.000000,-2.929443,-0.561841,-0.011711,-3.502995,-2.497005,-1.248503,False
2007-08-23,-5.000000,-2.996008,-0.019637,-0.092113,-3.107758,-1.892242,-0.946121,False
2007-09-13,-3.000000,-3.034838,0.373926,-0.124690,-2.785602,-0.214398,-0.107199,False
2007-10-18,-2.000000,-3.099554,0.557199,-0.142020,-2.684376,0.684376,0.342188,False
2007-11-13,-3.000000,-3.147629,0.202571,-0.122170,-3.067227,0.067227,0.033614,False
2007-12-10,-3.000000,-3.197553,-0.320956,-0.076187,-3.594696,0.594696,0.297348,False
2008-01-16,-2.000000,-3.265891,-0.564957,0.010386,-3.820462,1.820462,0.910231,False
2008-02-19,-3.000000,-3.328587,-0.072750,0.087081,-3.314256,0.314256,0.157128,False
2008-03-13,-4.000000,-3.370998,0.362943,0.123850,-2.884206,-1.115794,-0.557897,False
2008-04-16,-2.000000,-3.433694,0.567655,0.142370,-2.723668,0.723668,0.361834,False
