date,220.335,220.335_trend,220.335_0.5yr,220.335_1yr,220.335_3.13yr,220.335_6.99yr,220.335_12.39yr,220.335_jump,220.335_exp,220.335_model,220.335_noise,220.335_wtest,flagged
2003-12-03,0.000000,-3.710544,-0.097108,0.568361,0.540159,-0.805440,2.071702,0.000000,0.000000,-1.432870,1.432870,0.716435,False
2004-01-09,0.000000,-3.737151,-0.108175,0.433384,0.639136,-0.776216,2.077662,0.000000,0.000000,-1.471360,1.471360,0.735680,False
2004-02-12,0.000000,-3.761548,0.020429,0.157801,0.706820,-0.743759,2.078309,0.000000,0.000000,-1.541948,1.541948,0.770974,False
2004-03-17,-1.000000,-3.785945,0.124215,-0.170034,0.749996,-0.706119,2.074345,0.000000,0.000000,-1.713542,0.713542,0.356771,False
2004-04-27,-2.000000,-3.815365,0.050567,-0.481545,0.767402,-0.654211,2.063444,0.000000,0.000000,-2.069709,0.069709,0.034854,False
2004-05-26,-3.000000,-3.836175,-0.071148,-0.568511,0.756355,-0.613460,2.051711,0.000000,0.000000,-2.281229,-0.718771,-0.359386,False
2004-06-25,-2.000000,-3.857702,-0.127826,-0.513287,0.724841,-0.568034,2.036088,0.000000,0.000000,-2.305920,0.305920,0.152960,False
2004-07-26,-4.000000,-3.879946,-0.056552,-0.316819,0.671721,-0.517858,2.016250,0.000000,0.000000,-2.083204,-1.916796,-0.958398,False
2004-08-27,-2.000000,-3.902908,0.076530,-0.022950,0.596590,-0.462920,1.991871,0.000000,0.000000,-1.723787,-0.276213,-0.138107,False
2004-09-30,-2.000000,-3.927305,0.124384,0.294587,0.496742,-0.401425,1.961679,0.000000,0.000000,-1.451338,-0.548662,-0.274331,False
2004-10-28,1.000000,-3.947397,0.046501,0.486702,0.401408,-0.348662,1.933544,0.000000,0.000000,-1.427903,2.427903,1.213951,False
2004-11-26,-2.000000,-3.968206,-0.074758,0.569073,0.292740,-0.292280,1.901337,0.000000,0.000000,-1.572094,-0.427906,-0.213953,False
2004-12-24,-2.000000,-3.988298,-0.127965,0.517457,0.180774,-0.236433,1.867328,0.000000,0.000000,-1.787137,-0.212863,-0.106432,False
2005-01-25,-4.000000,-4.011307,-0.056293,0.316284,0.047486,-0.171120,1.824932,0.000000,0.000000,-2.050018,-1.949982,-0.974991,False
2005-02-24,-6.000000,-4.032893,0.069857,0.041036,-0.078967,-0.108875,1.781882,0.000000,0.000000,-2.327960,-3.672040,-1.836020,False
2005-03-24,-5.000000,-4.053040,0.127923,-0.227063,-0.195123,-0.050238,1.738908,0.000000,0.000000,-2.658632,-2.341368,-1.170684,False
2005-04-22,-4.000000,-4.073906,0.072448,-0.449516,-0.310526,0.010743,1.691626,0.000000,0.000000,-3.059130,-0.940870,-0.470435,False
2005-05-30,-5.000000,-4.101248,-0.083082,-0.569737,-0.449377,0.090516,1.625527,0.000000,0.000000,-3.487401,-1.512599,-0.756299,False
2005-06-13,-2.000000,-4.111321,-0.118740,-0.554296,-0.495900,0.119744,1.600022,0.000000,0.000000,-3.560492,1.560492,0.780246,False
