date,25.605,25.605_trend,25.605_0.5yr,25.605_1yr,25.605_1.28yr,25.605_2.79yr,25.605_3.51yr,25.605_model,25.605_noise,25.605_wtest,flagged
2003-12-03,0.000000,-0.750851,-0.213213,0.372623,-0.255524,0.213085,-0.397908,-1.031787,1.031787,0.515893,False
2004-01-09,-3.000000,-0.829168,0.191581,0.182279,-0.007021,0.088171,-0.344814,-0.718972,-2.281028,-1.140514,False
2004-02-12,1.000000,-0.900981,0.334390,-0.057468,0.223870,-0.030549,-0.286141,-0.716879,1.716879,0.858439,False
2004-03-17,0.000000,-0.972795,0.070965,-0.278186,0.409011,-0.147936,-0.219573,-1.138514,1.138514,0.569257,False
2004-04-27,-1.000000,-1.059393,-0.317342,-0.417182,0.518831,-0.280462,-0.131424,-1.686972,0.686972,0.343486,False
2004-05-26,1.000000,-1.120646,-0.276777,-0.395948,0.504269,-0.363934,-0.065676,-1.718711,2.718711,1.359356,False
2004-06-25,-1.000000,-1.184010,0.027928,-0.273113,0.410069,-0.438093,0.003711,-1.453509,0.453509,0.226754,False
2004-07-26,0.000000,-1.249487,0.310531,-0.072303,0.244197,-0.499061,0.075309,-1.190815,1.190815,0.595407,False
2004-08-27,-3.000000,-1.317076,0.266177,0.155259,0.029720,-0.542989,0.147387,-1.261521,-1.738479,-0.869239,False
2004-09-30,-2.000000,-1.388889,-0.091183,0.345630,-0.203139,-0.566645,0.219982,-1.684243,-0.315757,-0.157878,False
2004-10-28,-2.000000,-1.448030,-0.321416,0.418177,-0.365637,-0.567585,0.275294,-2.009197,0.009197,0.004598,False
2004-11-26,-3.000000,-1.509282,-0.269790,0.393399,-0.479994,-0.550845,0.327134,-2.089380,-0.910620,-0.455310,False
2004-12-24,-3.000000,-1.568423,0.016254,0.278589,-0.522475,-0.518075,0.370962,-1.943168,-1.056832,-0.528416,False
2005-01-25,-2.000000,-1.636151,0.310847,0.071834,-0.481800,-0.461782,0.412580,-1.784472,-0.215528,-0.107764,False
2005-02-24,-3.000000,-1.699689,0.279159,-0.142717,-0.363501,-0.392630,0.442432,-1.876946,-1.123054,-0.561527,False
2005-03-24,-2.000000,-1.758991,-0.001339,-0.310402,-0.199893,-0.315932,0.461679,-2.124878,0.124878,0.062439,False
2005-04-22,-4.000000,-1.820412,-0.287170,-0.409177,-0.001243,-0.226611,0.472446,-2.272167,-1.727833,-0.863917,False
2005-05-30,-2.000000,-1.900893,-0.251677,-0.386785,0.254581,-0.099095,0.472105,-1.911764,-0.088236,-0.044118,False
2005-06-13,-2.596156,-1.930545,-0.116513,-0.335506,0.335535,-0.050364,0.467839,-1.629554,-0.966603,-0.483301,False
2005-07-27,2.000000,-2.023734,0.313204,-0.068255,0.502074,0.103530,0.440235,-0.732946,2.732946,1.366473,False
