date,86.914,86.914_trend,86.914_0.5yr,86.914_1yr,86.914_12.87yr,86.914_jump,86.914_exp,86.914_model,86.914_noise,86.914_wtest,flagged
2003-12-03,0.000000,-8.465496,0.200535,1.603605,-0.379253,0.000000,0.000000,-7.040609,7.040609,2.346870,False
2004-01-09,-2.000000,-8.632257,1.208820,1.141087,-0.316205,0.000000,0.000000,-6.598554,4.598554,1.532851,False
2004-02-12,0.000000,-8.785169,0.622739,0.316165,-0.257708,0.000000,0.000000,-8.103973,8.103973,2.701324,False
2004-03-17,-5.000000,-8.938081,-0.719878,-0.613447,-0.198682,0.000000,0.000000,-10.470088,5.470088,1.823363,False
2004-04-27,-6.000000,-9.122474,-1.088191,-1.440044,-0.126971,0.000000,0.000000,-11.777681,5.777681,1.925894,False
2004-05-26,-9.000000,-9.252899,-0.129945,-1.622658,-0.076007,0.000000,0.000000,-11.081509,2.081509,0.693836,False
2004-06-25,-10.000000,-9.387821,0.972658,-1.397367,-0.023167,0.000000,0.000000,-9.835697,-0.164303,-0.054768,False
2004-07-26,-8.000000,-9.527241,1.115087,-0.785293,0.031473,0.000000,0.000000,-9.165973,1.165973,0.388658,False
2004-08-27,-9.000000,-9.671158,0.067351,0.071834,0.087818,0.000000,0.000000,-9.444155,0.444155,0.148052,False
2004-09-30,-10.000000,-9.824070,-1.093457,0.953467,0.147506,0.000000,0.000000,-9.816553,-0.183447,-0.061149,False
2004-10-28,-10.000000,-9.949997,-1.068653,1.452680,0.196440,0.000000,0.000000,-9.369530,-0.630470,-0.210157,False
2004-11-26,-10.000000,-10.080422,-0.088244,1.621903,0.246830,0.000000,0.000000,-8.299932,-1.700068,-0.566689,False
2004-12-24,-5.000000,-10.206349,0.946832,1.411330,0.295134,0.000000,0.000000,-7.553052,2.553052,0.851017,False
2005-01-25,-8.000000,-10.350562,1.113970,0.783689,0.349942,0.000000,0.000000,-8.102961,0.102961,0.034320,False
2005-02-24,-8.000000,-10.485854,0.144592,-0.020257,0.400780,0.000000,0.000000,-9.960738,1.960738,0.653579,False
2005-03-24,-12.000000,-10.612126,-0.912281,-0.770203,0.447648,0.000000,0.000000,-11.846962,-0.153038,-0.051013,False
2005-04-22,-15.000000,-10.742908,-1.174421,-1.360095,0.495527,0.000000,0.000000,-12.781897,-2.218103,-0.739368,False
2005-05-30,-15.000000,-10.914278,0.012514,-1.618123,0.557126,0.000000,0.000000,-11.962762,-3.037238,-1.012413,False
2005-06-13,-15.000000,-10.977414,0.576363,-1.541549,0.579466,0.000000,0.000000,-11.363135,-3.636865,-1.212288,False
2005-07-27,-13.000000,-11.175842,1.105262,-0.771428,0.648318,0.000000,0.000000,-10.193690,-2.806310,-0.935437,False
2005-08-17,-13.000000,-11.270546,0.487771,-0.216564,0.680402,0.000000,0.000000,-10.318938,-2.681062,-0.893687,False
2005-09-30,-12.000000,-11.468974,-1.088692,0.947714,0.745856,0.000000,0.000000,-10.864096,-1.135904,-0.378635,False
2005-10-28,-12.000000,-11.595247,-1.072225,1.450461,0.786178,0.000000,0.000000,-10.430833,-1.569167,-0.523056,False
2005-11-28,-13.000000,-11.735048,-0.008479,1.619138,0.829532,0.000000,0.000000,-9.294857,-3.705143,-1.235048,False
2005-12-28,-13.000000,-11.870340,1.042903,1.353192,0.870130,0.000000,0.000000,-8.604115,-4.395885,-1.465295,False
2006-01-11,-12.000000,-11.933476,1.217100,1.100237,0.888600,0.000000,0.000000,-8.727539,-3.272461,-1.090820,False
2006-02-23,-19.000000,-12.127395,0.186188,0.007680,0.943355,0.000000,0.000000,-10.990171,-8.009829,-2.669943,False
2006-03-24,-18.000000,-12.258177,-0.912281,-0.770203,0.978532,-0.846027,-0.855325,-14.663480,-3.336520,-1.112173,False
2006-04-28,-16.000000,-12.416017,-1.082067,-1.444141,1.019022,-0.846027,-1.719805,-16.489035,0.489035,0.163012,False
2006-05-24,-16.000000,-12.533270,-0.237866,-1.622377,1.047659,-0.846027,-2.261450,-16.453331,0.453331,0.151110,False
2006-06-22,-16.000000,-12.664052,0.876619,-1.444775,1.078105,-0.846027,-2.780053,-15.780184,-0.219816,-0.073272,False
2006-07-21,-14.000000,-12.794834,1.187469,-0.914533,1.106929,-0.846027,-3.221438,-15.482435,1.482435,0.494145,False
2006-08-31,-13.000000,-12.979733,-0.085918,0.173581,1.144829,-0.846027,-3.735681,-16.328950,3.328950,1.109650,False
2006-09-20,-15.000000,-13.069928,-0.839333,0.708031,1.162074,-0.846027,-3.947059,-16.832243,1.832243,0.610748,False
2006-10-26,-19.000000,-13.232278,-1.109657,1.424540,1.191012,-0.846027,-4.273069,-16.845479,-2.154521,-0.718174,False
2006-11-22,-19.000000,-13.354040,-0.258420,1.621951,1.210907,-0.846027,-4.478147,-16.103777,-2.896223,-0.965408,False
2006-12-21,-15.000000,-13.484823,0.861896,1.451085,1.230516,-0.846027,-4.666692,-15.454045,0.454045,0.151348,False
2007-01-25,-17.000000,-13.642663,1.113970,0.783689,1.251715,-0.846027,-4.857255,-16.196572,-0.803428,-0.267809,False
2007-02-15,-17.000000,-13.737367,0.506938,0.230400,1.263120,-0.846027,-4.955012,-17.537948,0.537948,0.179316,False
2007-03-29,-17.000000,-13.926776,-1.037423,-0.890155,1.282933,-0.846027,-5.119398,-20.536846,3.536846,1.178949,False
2007-04-26,-17.000000,-14.053048,-1.118200,-1.417795,1.293897,-0.846027,-5.209497,-21.350670,4.350670,1.450223,False
2007-05-24,-19.000000,-14.179321,-0.237866,-1.622377,1.303046,-0.846027,-5.286608,-20.869154,1.869154,0.623051,False
2007-06-22,-19.000000,-14.310103,0.876619,-1.444775,1.310594,-0.846027,-5.354776,-19.768468,0.768468,0.256156,False
2007-07-18,-17.000000,-14.427356,1.209773,-0.982522,1.315686,-0.846027,-5.407217,-19.137661,2.137661,0.712554,False
2007-08-23,-18.000000,-14.589706,0.248152,-0.049579,1.320109,-0.846027,-5.468381,-19.385431,1.385431,0.461810,False
2007-09-13,-20.000000,-14.684410,-0.603918,0.527351,1.321277,-0.846027,-5.498798,-19.784526,-0.215474,-0.071825,False
2007-10-18,-20.000000,-14.842251,-1.205399,1.304310,1.320905,-0.846027,-5.542230,-19.810691,-0.189309,-0.063103,False
2007-11-13,-19.000000,-14.959503,-0.609523,1.593796,1.318756,-0.846027,-5.569442,-19.071944,0.071944,0.023981,False
2007-12-10,-18.000000,-15.081266,0.481842,1.561956,1.314836,-0.846027,-5.593832,-18.162492,0.162492,0.054164,False
2008-01-16,-18.000000,-15.247941,1.212428,0.994508,1.306691,-0.846027,-5.621803,-18.202144,0.202144,0.067381,False
2008-02-19,-21.000000,-15.400853,0.355256,0.123053,1.296410,-0.846027,-5.642870,-20.115031,-0.884969,-0.294990,False
2008-03-13,-21.000000,-15.504293,-0.578333,-0.508905,1.287942,-0.846027,-5.655029,-21.804646,0.804646,0.268215,False
2008-04-16,-24.000000,-15.657205,-1.214502,-1.273944,1.273207,-0.846027,-5.670388,-23.388859,-0.611141,-0.203714,False
2008-05-20,-25.000000,-15.810117,-0.375231,-1.617149,1.255853,-0.846027,-5.683108,-23.075779,-1.924221,-0.641407,False
2008-06-24,-22.000000,-15.967526,0.946832,-1.411330,1.235292,-0.846027,-5.693924,-21.736684,-0.263316,-0.087772,False
