date,122.911,122.911_exp_trend,122.911_trend,122.911_0.5yr,122.911_1yr,122.911_5.06yr,122.911_8.98yr,122.911_17.88yr,122.911_jump,122.911_model,122.911_noise,122.911_wtest,flagged
1997-05-19,0.000000,0.000000,0.813610,-0.214756,-0.065245,-0.179139,-0.511490,2.437075,0.000000,2.280054,-2.280054,-1.140027,False
1997-06-02,0.000000,-0.891386,0.826056,-0.174603,-0.045906,-0.176944,-0.525061,2.432230,0.000000,1.444386,-1.444386,-0.722193,False
1997-07-01,-4.072952,-2.713561,0.851838,0.014319,0.001148,-0.171128,-0.551959,2.420791,0.000000,-0.148551,-3.924401,-1.962200,False
1997-08-15,5.000000,-5.477425,0.891844,0.217192,0.069364,-0.158834,-0.590291,2.399309,0.000000,-2.648841,7.648841,3.824420,True
1997-09-09,-5.000000,-6.980129,0.914069,0.134271,0.091922,-0.150376,-0.609707,2.385425,-4.867982,-9.082506,4.082506,2.041253,False
1997-10-06,-10.254291,-8.577272,0.938073,-0.056705,0.097402,-0.140023,-0.629102,2.368879,-4.867982,-10.866729,0.612438,0.306219,False
1997-11-04,-12.235397,-10.263398,0.963855,-0.207143,0.080332,-0.127590,-0.648056,2.349325,-4.867982,-12.720657,0.485260,0.242630,False
1997-12-10,-14.131439,-12.315058,0.995859,-0.129811,0.032791,-0.110445,-0.668794,2.322506,-4.867982,-14.740934,0.609496,0.304748,False
1998-01-14,-15.000000,-14.266589,1.026975,0.116426,-0.025320,-0.092187,-0.685904,2.293756,-4.867982,-16.500825,1.500825,0.750413,False
1998-02-04,-16.000000,-15.417476,1.045645,0.208778,-0.057167,-0.080589,-0.694693,2.275254,-4.867982,-17.588230,1.588230,0.794115,False
1998-03-06,-18.000000,-17.035994,1.072315,0.159047,-0.089017,-0.063321,-0.705293,2.247211,-4.867982,-19.283032,1.283032,0.641516,False
1998-04-10,-20.000000,-18.886855,1.103431,-0.081523,-0.096574,-0.042356,-0.714710,2.212127,-4.867982,-21.374441,1.374441,0.687221,False
1998-05-05,-21.000000,-20.184686,1.125656,-0.205976,-0.080812,-0.026996,-0.719469,2.185527,-4.867982,-22.774737,1.774737,0.887369,False
1998-06-01,-24.568823,-21.564081,1.149660,-0.178958,-0.047389,-0.010191,-0.722753,2.155378,-4.867982,-24.086317,-0.482506,-0.241253,False
1998-07-01,-26.190790,-23.070080,1.176331,0.014319,0.001148,0.008575,-0.724132,2.120171,-4.867982,-25.341649,-0.849141,-0.424570,False
1998-08-01,-27.776612,-24.597323,1.203890,0.196920,0.050836,0.027871,-0.723041,2.081933,-4.867982,-26.626895,-1.149717,-0.574859,False
1998-09-01,-29.327272,-26.095685,1.231450,0.175711,0.086387,0.046858,-0.719398,2.041840,-4.867982,-28.100818,-1.226454,-0.613227,False
1998-10-14,-40.000000,-28.127263,1.269678,-0.111646,0.094994,0.072287,-0.710144,1.983225,-4.867982,-30.396851,-9.603149,-4.801575,True
1998-11-06,-40.443108,-29.192038,1.290125,-0.211194,0.078352,0.085289,-0.703210,1.950472,-4.801314,-31.503517,-8.939591,-4.469795,True
1998-12-04,-31.000000,-30.468093,1.315018,-0.162821,0.042138,0.100405,-0.692924,1.909308,-4.801314,-32.758284,1.758284,0.879142,False
1999-01-05,-32.000000,-31.899752,1.343467,0.054896,-0.010407,0.116558,-0.678728,1.860567,-4.801314,-34.014713,2.014713,1.007356,False
1999-02-02,-34.000000,-33.129516,1.368359,0.204111,-0.054394,0.129566,-0.664209,1.816468,-4.801314,-35.130928,1.130928,0.565464,False
1999-03-02,-37.918821,-34.338256,1.393252,0.177889,-0.085986,0.141399,-0.647778,1.771050,-4.801314,-36.389744,-1.529077,-0.764538,False
1999-04-06,-37.000000,-35.820164,1.424368,-0.053084,-0.097492,0.154376,-0.624621,1.712471,-4.801314,-38.105460,1.105460,0.552730,False
