date,13.135,13.135_trend,13.135_0.5yr,13.135_1yr,13.135_4.22yr,13.135_9.57yr,13.135_model,13.135_noise,13.135_wtest,flagged
1997-05-19,0.000000,-2.210804,-0.089714,-0.239399,0.264128,0.708607,-1.567183,1.567183,0.783592,False
1997-06-02,-1.855447,-2.211790,0.004419,-0.068589,0.279856,0.721790,-1.274314,-0.581133,-0.290566,False
1997-07-01,0.598574,-2.213834,0.172186,0.286371,0.309479,0.747634,-0.698165,1.296739,0.648369,False
1997-08-15,1.000000,-2.217006,0.109366,0.672218,0.346751,0.783685,-0.304986,1.304986,0.652493,False
1997-09-09,1.000000,-2.218767,-0.057519,0.726662,0.362487,0.801509,-0.385628,1.385628,0.692814,False
1997-10-06,-0.150318,-2.220670,-0.189608,0.636883,0.375248,0.818939,-0.579209,0.428890,0.214445,False
1997-11-04,-0.874302,-2.222714,-0.161336,0.391110,0.383886,0.835507,-0.773548,-0.100754,-0.050377,False
1997-12-10,-2.000000,-2.225251,0.062500,-0.037698,0.387137,0.852908,-0.960405,-1.039595,-0.519798,False
1998-01-14,-1.000000,-2.227718,0.201767,-0.442619,0.382307,0.866398,-1.219865,0.219865,0.109932,False
1998-02-04,-2.000000,-2.229198,0.158143,-0.618083,0.375662,0.872847,-1.440628,-0.559372,-0.279686,False
1998-03-06,-1.000000,-2.231312,-0.026945,-0.726674,0.361407,0.879899,-1.743626,0.743626,0.371813,False
1998-04-10,-1.314404,-2.233779,-0.196619,-0.614591,0.337963,0.884886,-1.822139,0.507735,0.253868,False
1998-05-05,-0.654960,-2.235541,-0.163406,-0.396372,0.316973,0.886303,-1.592042,0.937082,0.468541,False
1998-06-01,-0.575389,-2.237443,-0.002536,-0.081041,0.290613,0.885820,-1.144588,0.569199,0.284600,False
1998-07-01,-0.213086,-2.239558,0.172186,0.286371,0.257208,0.882834,-0.640960,0.427873,0.213937,False
1998-08-01,-0.092955,-2.241742,0.175650,0.586578,0.218654,0.877048,-0.383813,0.290857,0.145429,False
1998-09-01,-0.267272,-2.243927,-0.002680,0.723670,0.176609,0.868536,-0.477794,0.210521,0.105261,False
1998-10-14,-2.000000,-2.246958,-0.201433,0.582665,0.113770,0.852266,-0.899690,-1.100310,-0.550155,False
1998-11-06,-3.000000,-2.248578,-0.152587,0.369775,0.078598,0.841464,-1.111330,-1.888670,-0.944335,False
1998-12-04,-2.000000,-2.250552,0.021766,0.037379,0.034877,0.826372,-1.330158,-0.669842,-0.334921,False
1999-01-05,-2.000000,-2.252807,0.189001,-0.348282,-0.015613,0.806560,-1.621141,-0.378859,-0.189430,False
1999-02-02,-2.000000,-2.254780,0.166419,-0.604527,-0.059603,0.787031,-1.965460,-0.034540,-0.017270,False
1999-03-02,-3.000000,-2.256754,0.000797,-0.723026,-0.102816,0.765506,-2.316292,-0.683708,-0.341854,False
1999-04-06,-3.000000,-2.259220,-0.188379,-0.639881,-0.154884,0.735876,-2.506488,-0.493512,-0.246756,False
1999-05-04,-2.000000,-2.261194,-0.167399,-0.406808,-0.194317,0.710067,-2.319651,0.319651,0.159825,False
1999-06-01,-2.000000,-2.263167,-0.002536,-0.081041,-0.231219,0.682457,-1.895506,-0.104494,-0.052247,False
1999-07-13,-2.500000,-2.266127,0.200130,0.417386,-0.280782,0.637820,-1.291573,-1.208427,-0.604213,False
1999-08-17,-4.239021,-2.268593,0.097419,0.681369,-0.315859,0.597831,-1.207833,-3.031187,-1.515594,False
1999-09-14,-2.000000,-2.270567,-0.089844,0.721537,-0.339323,0.564127,-1.414069,-0.585931,-0.292966,False
1999-10-07,-3.000000,-2.272188,-0.191897,0.630746,-0.355300,0.535367,-1.653271,-1.346729,-0.673364,False
1999-11-02,-2.000000,-2.274020,-0.169321,0.411982,-0.369593,0.501755,-1.899197,-0.100803,-0.050402,False
1999-12-07,-2.000000,-2.276487,0.042359,-0.000160,-0.382251,0.454790,-2.161749,0.161749,0.080874,False
2000-01-05,-3.000000,-2.278530,0.188974,-0.348162,-0.386852,0.414517,-2.410053,-0.589947,-0.294974,False
2000-02-16,-3.000000,-2.281482,0.095130,-0.682992,-0.383957,0.354368,-2.898932,-0.101068,-0.050534,False
2000-03-14,-2.000000,-2.283379,-0.085460,-0.722577,-0.376173,0.314617,-3.152972,1.152972,0.576486,False
2000-04-11,-3.000000,-2.285347,-0.199028,-0.602785,-0.363313,0.272616,-3.177858,0.177858,0.088929,False
