date,182.089,182.089_exp_trend,182.089_trend,182.089_0.5yr,182.089_1yr,182.089_7.86yr,182.089_13.56yr,182.089_jump,182.089_model,182.089_noise,182.089_wtest,flagged
1997-05-19,0.000000,0.000000,-0.628231,0.021225,0.064596,-0.843650,3.242244,0.000000,1.856183,-1.856183,-0.742473,False
1997-06-02,0.000000,99.114668,-99.765035,-0.080216,-0.015915,-0.853132,3.379219,0.000000,1.779588,-1.779588,-0.711835,False
1997-07-01,-0.360812,303.982739,-304.704941,-0.210831,-0.174541,-0.870213,3.659509,0.000000,1.681722,-2.042535,-0.817014,False
1997-08-15,0.000000,620.707573,-621.609348,-0.044944,-0.325379,-0.889750,4.084488,0.000000,1.922640,-1.922640,-0.769056,False
1997-09-09,0.000000,796.050935,-797.087514,0.129879,-0.330303,-0.896881,4.314916,0.000000,2.181031,-2.181031,-0.872412,False
1997-10-06,4.000000,984.930049,-986.139748,0.214662,-0.268197,-0.901563,4.558890,0.000000,2.394093,1.605907,0.642363,False
1997-11-04,1.411710,1187.232976,-1188.659905,0.114723,-0.138746,-0.903081,4.814963,0.000000,2.460929,-1.049219,-0.419688,False
1997-12-10,1.000000,1437.552829,-1439.293597,-0.134248,0.064646,-0.899900,5.123731,0.000000,2.413461,-1.413461,-0.565384,False
1998-01-14,0.000000,1680.056926,-1682.148690,-0.204450,0.239990,-0.891447,5.413670,0.000000,2.465999,-2.465999,-0.986400,False
1998-02-04,-1.000000,1825.152500,-1827.476123,-0.110000,0.307538,-0.883858,5.582540,0.000000,2.572597,-3.572597,-1.429039,False
1998-03-06,-1.000000,2031.904041,-2034.586013,0.101948,0.333986,-0.869778,5.816872,0.000000,2.701056,-3.701056,-1.480423,False
1998-04-10,0.000000,2272.331545,-2275.471124,0.212885,0.255545,-0.848612,6.079573,0.000000,2.559813,-2.559813,-1.023925,False
1998-05-05,1.000000,2443.551004,-2447.042965,0.117829,0.141373,-0.830435,6.259899,0.000000,2.196706,-1.196706,-0.478682,False
1998-06-01,2.515685,2627.987868,-2631.883800,-0.073315,-0.010140,-0.808009,6.447565,0.000000,1.660170,0.855515,0.342206,False
1998-07-01,2.477531,2832.334513,-2836.707243,-0.210831,-0.174541,-0.779783,6.647189,0.000000,1.109305,1.368226,0.547290,False
1998-08-01,2.378964,3042.849666,-3047.745331,-0.137129,-0.296185,-0.747082,6.843337,0.000000,0.767278,1.611686,0.644674,False
1998-09-01,2.223801,3252.713233,-3258.161881,0.078499,-0.335466,-0.710938,7.028888,0.000000,0.612335,1.611466,0.644587,False
1998-10-14,-1.000000,3542.739333,-3549.003479,0.206072,-0.237923,-0.655419,7.268186,0.000000,0.316770,-1.316770,-0.526708,False
1998-11-06,-1.000000,3697.358401,-3704.081297,0.101967,-0.128139,-0.623305,7.387338,0.000000,0.014966,-1.014966,-0.405986,False
1998-12-04,-1.000000,3885.110951,-3892.413030,-0.097037,0.030330,-0.582084,7.523883,0.000000,-0.426986,-0.573014,-0.229206,False
1999-01-05,-2.000000,4099.042556,-4107.033800,-0.214670,0.200877,-0.532304,7.668285,0.000000,-0.869056,-1.130944,-0.452378,False
1999-02-02,-1.000000,4285.671963,-4294.289511,-0.122423,0.302716,-0.486594,7.784265,0.000000,-1.139583,0.139583,0.055833,False
1999-03-02,0.000000,4471.779539,-4481.044612,0.075049,0.335578,-0.439054,7.890411,0.000000,-1.403090,1.403090,0.561236,False
1999-04-06,-1.000000,4703.682406,-4713.785996,0.214662,0.269926,-0.377331,8.009061,0.000000,-1.987272,0.987272,0.394909,False
1999-05-04,0.500000,4888.621189,-4899.418297,0.123936,0.146595,-0.326338,8.092609,0.000000,-2.760307,3.260307,1.304123,False
1999-06-01,-1.000000,5073.042868,-5084.553163,-0.073315,-0.010140,-0.274119,8.165933,0.000000,-3.701936,2.701936,1.080774,False
1999-07-13,-1.500000,5348.708978,-5361.324907,-0.209320,-0.229664,-0.193920,8.256550,0.000000,-4.992283,3.492283,1.396913,False
1999-08-17,5.000000,5577.547956,-5591.117115,-0.030395,-0.328040,-0.125807,8.314147,0.000000,-5.739253,10.739253,4.295701,True
1999-09-14,-11.832234,5760.043339,-5774.395294,0.157237,-0.323890,-0.070764,8.348413,-0.705114,-6.946073,-4.886161,-1.954465,False
1999-10-07,-3.000000,5909.568468,-5924.576529,0.214472,-0.264680,-0.025342,8.368672,-0.705114,-7.420053,4.420053,1.768021,False
1999-11-02,-4.000000,6078.183273,-6093.946902,0.126935,-0.149189,0.026075,8.382982,-0.705114,-8.081940,4.081940,1.632776,False
1999-12-07,-3.000000,6304.473554,-6321.276955,-0.116262,0.047552,0.095127,8.387824,-0.705114,-9.094274,6.094274,2.437710,False
2000-01-05,-4.000000,6491.372153,-6508.985548,-0.214670,0.200826,0.151915,8.379298,-0.705114,-9.801141,5.801141,2.320456,False
2000-02-16,-4.000000,6761.093772,-6779.273575,-0.027654,0.328495,0.232825,8.346944,-0.705114,-10.004309,6.004309,2.401724,False
2000-03-14,-6.000000,6933.888993,-6952.454026,0.153672,0.324932,0.283847,8.313677,-0.705114,-10.194018,4.194018,1.677607,False
2000-04-11,-7.000000,7112.591932,-7131.573415,0.210871,0.248970,0.335713,8.268919,-0.705114,-10.622123,3.622123,1.448849,False
2000-05-09,-7.000000,7290.795203,-7310.209970,0.087734,0.116580,0.386325,8.213772,-0.705114,-11.315468,4.315468,1.726187,False
2000-06-21,-10.467625,7563.494830,-7583.606792,-0.186779,-0.125672,0.461174,8.109016,-0.705114,-12.559338,2.091713,0.836685,False
2000-07-31,-11.000000,7816.118308,-7836.912217,-0.140395,-0.294593,0.527164,7.989991,-0.705114,-13.416856,2.416856,0.966742,False
2000-08-29,-12.000000,7998.639487,-8019.947220,0.059909,-0.335777,0.572521,7.890868,-0.705114,-13.825327,1.825327,0.730131,False
2000-09-01,-13.678348,8017.490795,-8038.852593,0.080787,-0.335378,0.577085,7.880005,-0.705114,-13.864413,0.186065,0.074426,False
2000-10-03,-13.000000,8218.219920,-8240.168789,0.213872,-0.277470,0.624187,7.757087,-0.705114,-14.336307,1.336307,0.534523,False
2000-10-31,-14.000000,8393.331763,-8415.809574,0.137587,-0.158593,0.662909,7.639084,-0.705114,-14.901938,0.901938,0.360775,False
2000-11-01,-17.142691,8399.576694,-8422.073653,0.131849,-0.153489,0.664247,7.634692,-0.705114,-14.924775,-2.217916,-0.887166,False
2000-12-05,-16.000000,8611.533188,-8634.691558,-0.104048,0.036506,0.707810,7.478102,-0.705114,-15.745113,-0.254887,-0.101955,False
2001-01-01,-19.584392,8779.338962,-8803.036590,-0.212636,0.181888,0.739636,7.343868,-0.705114,-16.349986,-3.234406,-1.293762,False
2001-02-01,-20.837423,8971.446948,-8996.305796,-0.128420,0.300170,0.773087,7.178709,-0.705114,-17.440417,-3.397005,-1.358802,False
2001-03-01,-22.108269,9144.452704,-9170.370852,0.068081,0.335728,0.800242,7.019972,-0.705114,-18.399239,-3.709030,-1.483612,False
2001-04-25,-24.500000,9482.878373,-9510.904679,0.171481,0.191454,0.844739,6.682544,-0.705114,-20.841202,-3.658798,-1.463519,False
