date,226.085,226.085_trend,226.085_0.5yr,226.085_1yr,226.085_8.6yr,226.085_16.97yr,226.085_jump,226.085_model,226.085_noise,226.085_wtest,flagged
1997-05-19,0.000000,2.927291,-0.007419,0.009581,-0.449768,-0.083368,0.000000,2.396317,-2.396317,-1.198159,False
1997-06-02,3.000000,2.914759,-0.035751,0.023816,-0.451805,-0.096761,0.000000,2.354259,0.645741,0.322871,False
1997-07-01,1.850236,2.888800,-0.063355,0.048082,-0.454895,-0.124438,0.000000,2.294194,-0.443958,-0.221979,False
1997-08-15,-1.000000,2.848518,0.000345,0.061244,-0.456654,-0.167164,0.000000,2.286289,-3.286289,-1.643144,False
1997-09-09,2.000000,2.826139,0.048284,0.053087,-0.456031,-0.190756,0.000000,2.280724,-0.280724,-0.140362,False
1997-10-06,2.000000,2.801970,0.061782,0.033491,-0.454076,-0.216097,0.000000,2.227070,-0.227070,-0.113535,False
1997-11-04,3.000000,2.776011,0.021580,0.004680,-0.450499,-0.243134,0.000000,2.108638,0.891362,0.445681,False
1997-12-10,3.000000,2.743785,-0.049328,-0.031837,-0.443950,-0.276402,0.000000,1.942269,1.057731,0.528866,False
1998-01-14,1.000000,2.712455,-0.054805,-0.056086,-0.435373,-0.308393,0.000000,1.857799,-0.857799,-0.428899,False
1998-02-04,2.000000,2.693657,-0.020035,-0.061431,-0.429198,-0.327403,0.000000,1.855590,0.144410,0.072205,False
1998-03-06,3.000000,2.666803,0.041371,-0.055339,-0.419065,-0.354301,0.000000,1.879468,1.120532,0.560266,False
1998-04-10,3.000000,2.635472,0.059634,-0.030321,-0.405336,-0.385266,0.000000,1.874184,1.125816,0.562908,False
1998-05-05,2.000000,2.613094,0.022603,-0.005208,-0.394309,-0.407088,0.000000,1.829092,0.170908,0.085454,False
1998-06-01,1.458728,2.588925,-0.033928,0.022836,-0.381291,-0.430362,0.000000,1.766179,-0.307451,-0.153725,False
1998-07-01,1.432230,2.562070,-0.063355,0.048082,-0.365522,-0.455843,0.000000,1.725433,-0.293203,-0.146602,False
1998-08-01,1.404888,2.534320,-0.029073,0.060946,-0.347844,-0.481729,0.000000,1.736620,-0.331732,-0.165866,False
1998-09-01,1.377194,2.506571,0.035299,0.056861,-0.328828,-0.507139,0.000000,1.762765,-0.385571,-0.192786,False
1998-10-14,2.000000,2.468079,0.055609,0.026084,-0.300371,-0.541549,0.000000,1.707853,0.292147,0.146073,False
1998-11-06,1.000000,2.447491,0.017429,0.002564,-0.284223,-0.559536,0.000000,1.623726,-0.623726,-0.311863,False
1998-12-04,1.000000,2.422427,-0.040117,-0.026236,-0.263755,-0.581021,0.000000,1.511298,-0.511298,-0.255649,False
1999-01-05,1.000000,2.393782,-0.061901,-0.051500,-0.239352,-0.605000,0.000000,1.436029,-0.436029,-0.218014,False
1999-02-02,1.000000,2.368718,-0.024124,-0.061261,-0.217191,-0.625460,0.000000,1.440682,-0.440682,-0.220341,False
1999-03-02,1.000000,2.343654,0.034388,-0.057062,-0.194348,-0.645415,0.000000,1.481216,-0.481216,-0.240608,False
1999-04-06,2.500000,2.312324,0.062016,-0.033935,-0.164945,-0.669625,0.000000,1.505835,0.994165,0.497083,False
1999-05-04,0.000000,2.287259,0.024628,-0.006263,-0.140833,-0.688387,0.000000,1.476404,-1.476404,-0.738202,False
1999-06-01,2.000000,2.262195,-0.033928,0.022836,-0.116278,-0.706594,0.000000,1.428231,0.571769,0.285885,False
1999-07-13,1.000000,2.224599,-0.057339,0.054943,-0.078786,-0.732830,0.000000,1.410587,-0.410587,-0.205293,False
1999-08-17,2.000000,2.193269,0.004704,0.060996,-0.047106,-0.753680,0.000000,1.458183,0.541817,0.270909,False
1999-09-14,1.000000,2.168205,0.054603,0.050213,-0.021588,-0.769677,0.000000,1.481755,-0.481755,-0.240877,False
1999-10-07,2.000000,2.147616,0.061258,0.032597,-0.000572,-0.782354,0.000000,1.458546,0.541454,0.270727,False
1999-11-02,1.000000,2.124342,0.025629,0.006790,0.023183,-0.796171,0.000000,1.383774,-0.383774,-0.191887,False
1999-12-07,1.000000,2.093012,-0.044962,-0.029075,0.055051,-0.813894,0.000000,1.260131,-0.260131,-0.130066,False
2000-01-05,1.000000,2.067062,-0.061906,-0.051494,0.081248,-0.827798,0.000000,1.207113,-0.207113,-0.103556,False
2000-02-16,1.000000,2.029569,0.005519,-0.060941,0.118594,-0.846620,0.000000,1.246120,-0.246120,-0.123060,False
2000-03-14,1.000000,2.005466,0.053812,-0.050638,0.142178,-0.857915,0.000000,1.292903,-0.292903,-0.146452,False
2000-04-11,0.000000,1.980470,0.058256,-0.028718,0.166199,-0.868953,0.000000,1.307255,-1.307255,-0.653627,False
2000-05-09,2.000000,1.955475,0.012880,-0.000290,0.189700,-0.879293,0.000000,1.278473,0.721527,0.360764,False
2000-06-21,1.139596,1.917088,-0.060565,0.041208,0.224613,-0.893796,0.000000,1.228549,-0.088953,-0.044476,False
2000-07-31,2.000000,1.881380,-0.030190,0.060857,0.255611,-0.905770,0.000000,1.261888,0.738112,0.369056,False
2000-08-29,0.000000,1.855492,0.030340,0.057880,0.277076,-0.913524,0.000000,1.307265,-1.307265,-0.653632,False
2000-09-01,1.147205,1.852814,0.035901,0.056725,0.279245,-0.914282,0.000000,1.310403,-0.163199,-0.081599,False
2000-10-03,1.000000,1.824247,0.062842,0.035901,0.301741,-0.921836,0.000000,1.302896,-0.302896,-0.151448,False
2000-10-31,2.000000,1.799251,0.029229,0.008714,0.320418,-0.927654,0.000000,1.229959,0.770041,0.385021,False
2000-11-01,1.156447,1.798359,0.027281,0.007667,0.321066,-0.927848,0.000000,1.226526,-0.070078,-0.035039,False
2000-12-05,0.500000,1.768007,-0.041903,-0.027261,0.342350,-0.933879,0.000000,1.107314,-0.607314,-0.303657,False
2001-01-01,1.164378,1.743904,-0.063182,-0.049059,0.358133,-0.937881,0.000000,1.051915,0.112463,0.056232,False
2001-02-01,1.169015,1.716154,-0.026127,-0.061148,0.375013,-0.941623,0.000000,1.062269,0.106746,0.053373,False
2001-03-01,1.173060,1.691090,0.032535,-0.057451,0.389021,-0.944202,0.000000,1.110992,0.062067,0.031034,False
2001-04-25,1.000000,1.641857,0.041261,-0.015637,0.412942,-0.947050,0.000000,1.133373,-0.133373,-0.066686,False
2001-05-01,1.177856,1.636486,0.030517,-0.009415,0.415254,-0.947183,0.000000,1.125658,0.052197,0.026099,False
2001-06-07,2.000000,1.603365,-0.044187,0.028607,0.428174,-0.947224,0.000000,1.068736,0.931264,0.465632,False
2001-07-02,3.000000,1.580987,-0.063259,0.048737,0.435578,-0.946497,0.000000,1.055546,1.944454,0.972227,False
2001-08-28,1.000000,1.529963,0.027739,0.058349,0.448358,-0.942564,0.000000,1.121845,-0.121845,-0.060922,False
2001-09-26,1.000000,1.504004,0.062927,0.041843,0.452630,-0.939353,0.000000,1.122051,-0.122051,-0.061026,False
2001-10-31,1.000000,1.472674,0.029557,0.008892,0.455755,-0.934395,0.000000,1.032482,-0.032482,-0.016241,False
2001-11-29,0.000000,1.446714,-0.031120,-0.021352,0.456650,-0.929394,0.000000,0.921498,-0.921498,-0.460749,False
2001-12-13,0.000000,1.434182,-0.053168,-0.034514,0.456531,-0.926692,0.000000,0.876339,-0.876339,-0.438170,False
2002-01-30,-2.000000,1.391215,-0.030038,-0.060869,0.453407,-0.916013,0.000000,0.837702,-2.837702,-1.418851,False
2002-02-26,1.000000,1.367046,0.026754,-0.058515,0.449808,-0.909049,0.000000,0.876043,0.123957,0.061978,False
2002-03-26,0.000000,1.341982,0.062454,-0.042994,0.444688,-0.901108,0.000000,0.905021,-0.905021,-0.452511,False
2002-04-30,1.000000,1.310652,0.032411,-0.010461,0.436327,-0.890160,0.000000,0.878769,0.121231,0.060615,False
2002-05-29,1.000000,1.284692,-0.028228,0.019855,0.427776,-0.880238,0.000000,0.823857,0.176143,0.088072,False
2002-06-18,1.000000,1.266789,-0.057854,0.038355,0.421037,-0.872951,0.000000,0.795376,0.204624,0.102312,False
2002-07-31,0.000000,1.228298,-0.030994,0.060788,0.404279,-0.856071,0.000000,0.806299,-0.806299,-0.403150,False
2002-08-26,1.000000,1.205024,0.023752,0.058989,0.392685,-0.845073,0.000000,0.835378,0.164622,0.082311,False
2002-09-13,2.000000,1.188911,0.053463,0.050818,0.384034,-0.837114,0.000000,0.840112,1.159888,0.579944,False
2002-09-24,1.000000,1.179065,0.062259,0.043372,0.378501,-0.832112,0.000000,0.831084,0.168916,0.084458,False
