date,252.124,252.124_trend,252.124_0.5yr,252.124_1yr,252.124_model,252.124_noise,252.124_wtest,flagged
1997-05-19,0.000000,-1.273427,0.105446,0.042329,-1.125652,1.125652,0.562826,False
1997-06-02,0.000000,-1.279609,0.110280,0.046317,-1.123012,1.123012,0.561506,False
1997-07-01,-2.185942,-1.292415,0.045712,0.045979,-1.200724,-0.985218,-0.492609,False
1997-08-15,-4.000000,-1.312287,-0.100729,0.024168,-1.388848,-2.611152,-1.305576,False
1997-09-09,1.000000,-1.323327,-0.101981,0.004842,-1.420466,2.420466,1.210233,False
1997-10-06,,-1.335250,-0.024811,-0.016910,-1.376971,,,False
1997-11-04,,-1.348057,0.077970,-0.036162,-1.306249,,,False
1997-12-10,0.190319,-1.363954,0.100781,-0.047441,-1.310614,1.500933,0.750466,False
1998-01-14,-1.000000,-1.379410,-0.008571,-0.041484,-1.429466,0.429466,0.214733,False
1998-02-04,-1.000000,-1.388684,-0.080003,-0.030527,-1.499214,0.499214,0.249607,False
1998-03-06,,-1.401932,-0.107728,-0.008494,-1.518154,,,False
1998-04-10,0.000000,-1.417388,-0.011559,0.019560,-1.409387,1.409387,0.704694,False
1998-05-05,1.000000,-1.428428,0.076586,0.035894,-1.315948,2.315948,1.157974,False
1998-06-01,-2.116035,-1.440351,0.110789,0.046119,-1.283443,-0.832592,-0.416296,False
1998-07-01,-2.162104,-1.453599,0.045712,0.045979,-1.361908,-0.800196,-0.400098,False
1998-08-01,-2.197912,-1.467288,-0.067053,0.033265,-1.501077,-0.696835,-0.348417,False
1998-09-01,-2.224960,-1.480978,-0.110420,0.011301,-1.580097,-0.644863,-0.322432,False
1998-10-14,-2.000000,-1.499967,0.005697,-0.022862,-1.517132,-0.482868,-0.241434,False
1998-11-06,0.000000,-1.510123,0.083273,-0.037208,-1.464059,1.464059,0.732029,False
1998-12-04,-1.000000,-1.522488,0.108438,-0.046752,-1.460802,0.460802,0.230401,False
1999-01-05,-1.000000,-1.536619,0.025746,-0.044598,-1.555472,0.555472,0.277736,False
1999-02-02,-1.000000,-1.548984,-0.074467,-0.031768,-1.655219,0.655219,0.327609,False
1999-03-02,-2.000000,-1.561349,-0.110674,-0.011698,-1.683721,-0.316279,-0.158139,False
1999-04-06,-2.000000,-1.576805,-0.026679,0.016526,-1.586958,-0.413042,-0.206521,False
1999-05-04,-1.500000,-1.589170,0.073749,0.035350,-1.480070,-0.019930,-0.009965,False
1999-06-01,-2.000000,-1.601534,0.110789,0.046119,-1.444626,-0.555374,-0.277687,False
1999-07-13,-1.000000,-1.620081,0.001020,0.042453,-1.576608,0.576608,0.288304,False
1999-08-17,,-1.635537,-0.103785,0.022741,-1.716582,,,False
1999-09-14,,-1.647902,-0.092737,0.000751,-1.739889,,,False
1999-10-07,-1.000000,-1.658059,-0.021053,-0.017674,-1.696786,0.696786,0.348393,False
1999-11-02,-1.000000,-1.669540,0.072298,-0.035074,-1.632316,0.632316,0.316158,False
