date,274.072,274.072_exp_trend,274.072_trend,274.072_0.5yr,274.072_1yr,274.072_4.66yr,274.072_model,274.072_noise,274.072_wtest,flagged
1997-05-19,0.000000,0.000000,0.383062,-0.053328,-0.101747,-0.029647,0.198340,-0.198340,-0.099170,False
1997-06-02,-1.000000,-0.024154,0.393419,-0.043060,-0.123265,-0.011377,0.191563,-1.191563,-0.595781,False
1997-07-01,-0.741969,-0.074033,0.414874,0.004195,-0.144239,0.026508,0.227304,-0.969273,-0.484637,False
1997-08-15,1.000000,-0.151021,0.448166,0.054005,-0.108009,0.084536,0.327677,0.672323,0.336161,False
1997-09-09,,-0.193577,0.466662,0.032905,-0.058169,0.115867,0.363688,,,False
1997-10-06,-1.000000,-0.239366,0.486637,-0.014719,0.007247,0.148588,0.388387,-1.388387,-0.694194,False
1997-11-04,,-0.288349,0.508092,-0.051725,0.075410,0.182079,0.425506,,,False
1997-12-10,0.809681,-0.348872,0.534725,-0.031786,0.132917,0.220708,0.507693,0.301989,0.150994,False
1998-01-14,0.000000,-0.407415,0.560619,0.029499,0.141508,0.254534,0.578746,-0.578746,-0.289373,False
1998-02-04,1.000000,-0.442399,0.576156,0.052116,0.122174,0.272823,0.580870,0.419130,0.209565,False
1998-03-06,-2.000000,-0.492193,0.598350,0.039136,0.068223,0.296079,0.509595,-2.509595,-1.254797,False
1998-04-10,0.000000,-0.550016,0.624244,-0.020869,-0.015919,0.318602,0.356043,-0.356043,-0.178021,False
1998-05-05,-1.000000,-0.591139,0.642740,-0.051445,-0.074347,0.331452,0.257260,-1.257260,-0.628630,False
1998-06-01,0.494400,-0.635388,0.662715,-0.044161,-0.121952,0.342154,0.203368,0.291032,0.145516,False
1998-07-01,0.522983,-0.684351,0.684909,0.004195,-0.144239,0.350054,0.210568,0.312415,0.156208,False
1998-08-01,0.544095,-0.734725,0.707844,0.049258,-0.127766,0.353704,0.248315,0.295780,0.147890,False
1998-09-01,0.557470,-0.784875,0.730779,0.043340,-0.075764,0.352721,0.266201,0.291269,0.145634,False
1998-10-14,2.000000,-0.854068,0.762591,-0.028319,0.026978,0.343722,0.250904,1.749096,0.874548,False
1998-11-06,0.000000,-0.890903,0.779607,-0.052691,0.079605,0.335332,0.250950,-0.250950,-0.125475,False
1998-12-04,1.000000,-0.935582,0.800322,-0.040086,0.126388,0.321861,0.272903,0.727097,0.363549,False
1999-01-05,0.000000,-0.986423,0.823996,0.014270,0.144259,0.302263,0.298365,-0.298365,-0.149182,False
1999-02-02,0.000000,-1.030718,0.844711,0.050997,0.124752,0.281643,0.271385,-0.271385,-0.135692,False
1999-03-02,1.000000,-1.074834,0.865426,0.043891,0.076819,0.258013,0.169314,0.830686,0.415343,False
1999-04-06,2.000000,-1.129731,0.891320,-0.013821,-0.006006,0.224629,-0.033608,2.033608,1.016804,False
1999-05-04,-3.576279,-1.173450,0.912035,-0.050840,-0.072205,0.195194,-0.189266,-3.387013,-1.693506,False
1999-06-01,0.000000,-1.216992,0.932750,-0.044161,-0.121952,0.163672,-0.286684,0.286684,0.143342,False
1999-07-13,-1.000000,-1.281979,0.963823,0.025493,-0.142617,0.113219,-0.322061,-0.677939,-0.338969,False
1999-08-17,,-1.335835,0.989717,0.053668,-0.104645,0.069043,-0.328052,,,False
1999-09-14,0.371362,-1.378725,1.010432,0.025065,-0.046591,0.032837,-0.356982,0.728345,0.364172,False
1999-10-07,1.000000,-1.413827,1.027447,-0.016502,0.009729,0.002816,-0.390336,1.390336,0.695168,False
1999-11-02,-1.000000,-1.453369,1.046683,-0.050514,0.071126,-0.031133,-0.417207,-0.582793,-0.291396,False
1999-12-07,1.000000,-1.506364,1.072577,-0.036129,0.129826,-0.076325,-0.416415,1.416415,0.708208,False
2000-01-05,-3.000000,-1.550073,1.094023,0.014251,0.144260,-0.112823,-0.410362,-2.589638,-1.294819,False
2000-02-16,1.000000,-1.613053,1.125011,0.053577,0.104002,-0.163168,-0.493632,1.493632,0.746816,False
2000-03-14,0.500000,-1.653340,1.144932,0.026212,0.048234,-0.193546,-0.627508,1.127508,0.563754,False
2000-04-11,-2.000000,-1.694954,1.165590,-0.023792,-0.020171,-0.223025,-0.796351,-1.203649,-0.601824,False
2000-05-09,0.000000,-1.736401,1.186249,-0.053450,-0.084003,-0.250132,-0.937737,0.937737,0.468869,False
2000-06-21,-0.140502,-1.799727,1.217974,-0.013298,-0.141184,-0.286493,-1.022728,0.882227,0.441113,False
2000-07-31,-4.000000,-1.858284,1.247486,0.048803,-0.128431,-0.313893,-1.004318,-2.995682,-1.497841,False
2000-08-29,1.000000,-1.900528,1.268882,0.046117,-0.081309,-0.329531,-0.996369,1.996369,0.998184,False
2000-09-01,-0.260114,-1.904888,1.271096,0.042966,-0.075057,-0.330937,-0.996821,0.736707,0.368353,False
2000-10-03,2.000000,-1.951278,1.294705,-0.009725,0.000404,-0.343388,-1.009282,3.009282,1.504641,False
2000-10-31,-2.000000,-1.991694,1.315364,-0.049196,0.067131,-0.350377,-1.008772,-0.991228,-0.495614,False
2000-11-01,-0.374182,-1.993135,1.316102,-0.049939,0.069316,-0.350558,-1.008214,0.634032,0.317016,False
