date,287.997,287.997_trend,287.997_0.5yr,287.997_1yr,287.997_14.74yr,287.997_model,287.997_noise,287.997_wtest,flagged
1997-05-19,0.000000,-1.487385,0.096404,0.042715,0.444547,-0.903719,0.903719,0.451860,False
1997-06-02,1.000000,-1.486875,0.119673,0.050281,0.439081,-0.877840,1.877840,0.938920,False
1997-07-01,0.454439,-1.485817,0.082290,0.056406,0.427386,-0.919735,1.374175,0.687087,False
1997-08-15,2.000000,-1.484176,-0.087551,0.039203,0.408274,-1.124250,3.124250,1.562125,False
1997-09-09,,-1.483264,-0.120919,0.018696,0.397165,-1.188321,,,False
1997-10-06,-1.500000,-1.482280,-0.063112,-0.007151,0.384788,-1.167755,-0.332245,-0.166123,False
1997-11-04,-1.000000,-1.481222,0.053057,-0.033075,0.371068,-1.090171,0.090171,0.045086,False
1997-12-10,-1.000000,-1.479909,0.120581,-0.053478,0.353446,-1.059359,0.059359,0.029680,False
1998-01-14,-1.000000,-1.478633,0.029476,-0.054266,0.335715,-1.167708,0.167708,0.083854,False
1998-02-04,-2.000000,-1.477867,-0.055861,-0.045288,0.324805,-1.254211,-0.745789,-0.372895,False
1998-03-06,-2.000000,-1.476773,-0.121246,-0.022760,0.308882,-1.311897,-0.688103,-0.344052,False
1998-04-10,-1.000000,-1.475496,-0.050179,0.010508,0.289827,-1.225339,0.225339,0.112670,False
1998-05-05,-1.000000,-1.474585,0.051169,0.032680,0.275919,-1.114817,0.114817,0.057409,False
1998-06-01,-2.258758,-1.473600,0.118887,0.049832,0.260633,-1.044247,-1.214510,-0.607255,False
1998-07-01,-2.378247,-1.472506,0.082290,0.056406,0.243347,-1.090463,-1.287784,-0.643892,False
1998-08-01,-2.485129,-1.471375,-0.038548,0.047757,0.225170,-1.236997,-1.248132,-0.624066,False
1998-09-01,-2.579521,-1.470245,-0.119490,0.025828,0.206698,-1.357208,-1.222312,-0.611156,False
1998-10-14,-1.000000,-1.468677,-0.032509,-0.014767,0.180633,-1.335320,0.335320,0.167660,False
1998-11-06,-1.000000,-1.467838,0.060449,-0.034629,0.166500,-1.275517,0.275517,0.137759,False
1998-12-04,-2.000000,-1.466817,0.121017,-0.051336,0.149134,-1.248002,-0.751998,-0.375999,False
1999-01-05,0.000000,-1.465650,0.064003,-0.056003,0.129092,-1.328558,1.328558,0.664279,False
1999-02-02,-1.000000,-1.464628,-0.048307,-0.046420,0.111407,-1.447949,0.447949,0.223975,False
1999-03-02,-2.000000,-1.463607,-0.119097,-0.026259,0.093602,-1.515361,-0.484639,-0.242320,False
1999-04-06,-4.000000,-1.462331,-0.064889,0.006669,0.071208,-1.449343,-2.550657,-1.275329,False
1999-05-04,0.576279,-1.461310,0.047346,0.031883,0.053205,-1.328875,1.905153,0.952577,False
1999-06-01,,-1.460289,0.118887,0.049832,0.035146,-1.256423,,,False
1999-07-13,,-1.458757,0.039497,0.054882,0.007992,-1.356386,,,False
1999-08-17,,-1.457480,-0.093136,0.037783,-0.014653,-1.527487,,,False
1999-09-14,-3.212274,-1.456459,-0.117161,0.014050,-0.032754,-1.592324,-1.619950,-0.809975,False
1999-10-07,-2.000000,-1.455620,-0.059502,-0.008114,-0.047597,-1.570833,-0.429167,-0.214583,False
1999-11-02,-2.000000,-1.454672,0.045414,-0.031481,-0.064334,-1.505074,-0.494926,-0.247463,False
1999-12-07,-3.000000,-1.453396,0.121446,-0.052477,-0.086769,-1.471195,-1.528805,-0.764402,False
2000-01-05,-1.000000,-1.452339,0.064042,-0.056005,-0.105242,-1.549544,0.549544,0.274772,False
2000-02-16,-3.000000,-1.450811,-0.094133,-0.037512,-0.131715,-1.714171,-1.285829,-0.642914,False
2000-03-14,-1.500000,-1.449829,-0.117898,-0.014707,-0.148571,-1.731005,0.231005,0.115503,False
2000-04-11,-2.000000,-1.448811,-0.043529,0.012149,-0.165896,-1.646086,-0.353914,-0.176957,False
2000-05-09,-2.000000,-1.447792,0.068067,0.036252,-0.183044,-1.526518,-0.473482,-0.236741,False
2000-06-21,-2.744997,-1.446228,0.106570,0.055915,-0.208994,-1.492737,-1.252261,-0.626130,False
2000-07-31,0.000000,-1.444774,-0.036244,0.048054,-0.232664,-1.665627,1.665627,0.832813,False
2000-08-29,-4.000000,-1.443719,-0.116996,0.028096,-0.249512,-1.782131,-2.217869,-1.108935,False
2000-09-01,-2.632130,-1.443610,-0.119732,0.025540,-0.251239,-1.789041,-0.843089,-0.421544,False
2000-10-03,-5.000000,-1.442446,-0.072654,-0.004490,-0.269465,-1.789055,-3.210945,-1.605472,False
2000-10-31,-1.000000,-1.441428,0.038228,-0.029990,-0.285107,-1.718296,0.718296,0.359148,False
2000-11-01,-2.520827,-1.441391,0.042164,-0.030806,-0.285660,-1.715694,-0.805134,-0.402567,False
2000-12-05,-1.500000,-1.440155,0.121319,-0.051760,-0.304230,-1.674826,0.174826,0.087413,False
2001-01-01,-2.454196,-1.439173,0.077569,-0.056346,-0.318639,-1.736590,-0.717606,-0.358803,False
2001-02-01,-2.422433,-1.438042,-0.044443,-0.046965,-0.334837,-1.864287,-0.558146,-0.279073,False
2001-03-01,-2.390982,-1.437021,-0.118205,-0.027115,-0.349091,-1.931431,-0.459551,-0.229775,False
2001-04-25,-1.000000,-1.435015,0.010984,0.024317,-0.375989,-1.775703,0.775703,0.387851,False
2001-05-01,-2.331947,-1.434796,0.035562,0.029437,-0.378831,-1.748629,-0.583318,-0.291659,False
2001-06-07,0.000000,-1.433447,0.121465,0.052296,-0.395944,-1.655630,1.655630,0.827815,False
2001-07-02,-3.000000,-1.432535,0.079166,0.056370,-0.407089,-1.704088,-1.295912,-0.647956,False
2001-08-28,-1.000000,-1.430456,-0.115364,0.029219,-0.431189,-1.947791,0.947791,0.473896,False
2001-09-26,-1.000000,-1.429399,-0.094437,0.002542,-0.442724,-1.964017,0.964017,0.482009,False
2001-10-31,-2.000000,-1.428122,0.037555,-0.029851,-0.455968,-1.876386,-0.123614,-0.061807,False
2001-11-29,0.000000,-1.427065,0.117443,-0.049132,-0.466365,-1.825119,1.825119,0.912560,False
2001-12-13,-1.000000,-1.426554,0.118431,-0.054336,-0.471194,-1.833653,0.833653,0.416827,False
2002-01-30,0.000000,-1.424804,-0.036560,-0.048014,-0.486786,-1.996163,1.996163,0.998082,False
2002-02-26,-2.000000,-1.423819,-0.114693,-0.029633,-0.494887,-2.063031,0.063031,0.031516,False
2002-03-26,-4.000000,-1.422798,-0.098254,-0.003997,-0.502768,-2.027817,-1.972183,-0.986091,False
2002-04-30,-3.000000,-1.421521,0.031543,0.028604,-0.511863,-1.873238,-1.126762,-0.563381,False
2002-05-29,-2.000000,-1.420464,0.115687,0.048399,-0.518752,-1.775129,-0.224871,-0.112435,False
2002-06-18,-3.000000,-1.419734,0.112850,0.055351,-0.523156,-1.774690,-1.225310,-0.612655,False
2002-07-31,-2.000000,-1.418166,-0.034561,0.048267,-0.531657,-1.936116,-0.063884,-0.031942,False
2002-08-26,-2.000000,-1.417218,-0.112475,0.030863,-0.536148,-2.034978,0.034978,0.017489,False
2002-09-13,-1.000000,-1.416562,-0.118194,0.014989,-0.538967,-2.058734,1.058734,0.529367,False
2002-09-24,-3.000000,-1.416160,-0.099469,0.004481,-0.540573,-2.051721,-0.948279,-0.474139,False
2002-10-25,-3.000000,-1.415030,0.013065,-0.024754,-0.544618,-1.971338,-1.028662,-0.514331,False
2002-11-25,-3.000000,-1.413899,0.112077,-0.047107,-0.547950,-1.896879,-1.103121,-0.551560,False
2002-12-23,-2.000000,-1.412878,0.102376,-0.056140,-0.550342,-1.916984,-0.083016,-0.041508,False
2003-01-27,-1.000000,-1.411602,-0.024423,-0.049480,-0.552504,-2.038008,1.038008,0.519004,False
2003-02-25,-3.000000,-1.410544,-0.113248,-0.030455,-0.553596,-2.107844,-0.892156,-0.446078,False
2003-03-25,-1.971181,-1.409523,-0.100654,-0.004965,-0.554048,-2.069191,0.098009,0.049005,False
2003-04-28,-1.954218,-1.408283,0.023398,0.026913,-0.553801,-1.911773,-0.042445,-0.021222,False
2003-05-26,-2.000000,-1.407262,0.111254,0.046837,-0.552942,-1.802112,-0.197888,-0.098944,False
2003-06-23,-1.000000,-1.406241,0.103486,0.056089,-0.551492,-1.798157,0.798157,0.399079,False
2003-07-29,-3.000000,-1.404928,-0.026467,0.049245,-0.548761,-1.930911,-1.069089,-0.534545,False
2003-08-29,-3.000000,-1.403797,-0.116604,0.028383,-0.545632,-2.037649,-0.962351,-0.481175,False
2003-09-30,-1.000000,-1.402630,-0.083056,-0.001342,-0.541652,-2.028680,1.028680,0.514340,False
