date,292.095,292.095_trend,292.095_0.5yr,292.095_0.84yr,292.095_0.92yr,292.095_1yr,292.095_2.53yr,292.095_9.85yr,292.095_model,292.095_noise,292.095_wtest,flagged
1997-05-19,0.000000,1.018483,-0.187145,0.304877,-0.145023,0.006465,-0.317790,-0.510570,0.169297,-0.169297,-0.084649,False
1997-06-02,1.000000,1.018632,-0.158638,0.312589,-0.209722,0.029349,-0.309983,-0.508260,0.173966,0.826034,0.413017,False
1997-07-01,-3.142816,1.018941,-0.001453,0.248971,-0.294341,0.069966,-0.284980,-0.502511,0.254594,-3.397410,-1.698705,False
1997-08-15,1.000000,1.019420,0.187706,-0.000905,-0.257187,0.096872,-0.224780,-0.491040,0.330086,0.669914,0.334957,False
1997-09-09,,1.019686,0.126530,-0.154273,-0.155173,0.087601,-0.181855,-0.483351,0.259165,,,False
1997-10-06,1.500000,1.019974,-0.035507,-0.274432,-0.008399,0.059766,-0.129642,-0.474011,0.157748,1.342252,0.671126,False
1997-11-04,,1.020282,-0.174240,-0.311776,0.150527,0.015971,-0.068753,-0.462804,0.169206,,,False
1997-12-10,-2.300083,1.020666,-0.122906,-0.211354,0.283516,-0.042496,0.010271,-0.447242,0.490455,-2.790538,-1.395269,False
1998-01-14,0.000000,1.021038,0.088622,-0.007435,0.294246,-0.084351,0.086553,-0.430415,0.968258,-0.968258,-0.484129,False
1998-02-04,1.000000,1.021262,0.175990,0.123830,0.240298,-0.095751,0.130244,-0.419542,1.176332,-0.176332,-0.088166,False
1998-03-06,2.000000,1.021581,0.146426,0.267025,0.102964,-0.090540,0.187846,-0.403033,1.232270,0.767730,0.383865,False
1998-04-10,0.000000,1.021954,-0.057416,0.308701,-0.093553,-0.055066,0.245040,-0.382375,0.987284,-0.987284,-0.493642,False
1998-05-05,0.000000,1.022220,-0.173009,0.243422,-0.214658,-0.016792,0.277583,-0.366740,0.772026,-0.772026,-0.386013,False
1998-06-01,0.077129,1.022508,-0.162003,0.103616,-0.293081,0.027755,0.303708,-0.349068,0.653435,-0.576306,-0.288153,False
1998-07-01,0.248291,1.022827,-0.001453,-0.085774,-0.294092,0.069966,0.320721,-0.328523,0.703673,-0.455381,-0.227691,False
1998-08-01,0.406678,1.023157,0.163774,-0.247729,-0.200567,0.094323,0.324308,-0.306345,0.850922,-0.444244,-0.222122,False
1998-09-01,0.551751,1.023487,0.159497,-0.313021,-0.041431,0.092451,0.313520,-0.283269,0.951235,-0.399483,-0.199742,False
1998-10-14,2.000000,1.023945,-0.084317,-0.204640,0.189396,0.048733,0.275764,-0.249898,0.998982,1.001018,0.500509,False
1998-11-06,1.000000,1.024190,-0.178646,-0.074722,0.272155,0.012672,0.245658,-0.231458,1.069851,-0.069851,-0.034925,False
1998-12-04,1.000000,1.024488,-0.149413,0.102296,0.305134,-0.033294,0.200989,-0.208506,1.241695,-0.241695,-0.120847,False
1999-01-05,0.000000,1.024829,0.033919,0.261522,0.243096,-0.075988,0.141139,-0.181668,1.446849,-1.446849,-0.723425,False
1999-02-02,0.000000,1.025127,0.171066,0.313091,0.117887,-0.095187,0.083199,-0.157716,1.457468,-1.457468,-0.728734,False
1999-03-02,2.000000,1.025426,0.161180,0.264370,-0.038946,-0.092697,0.022248,-0.133386,1.208195,0.791805,0.395902,False
1999-04-06,0.000000,1.025798,-0.032328,0.088965,-0.215470,-0.060420,-0.054810,-0.102532,0.649203,-0.649203,-0.324602,False
1999-05-04,-2.407383,1.026096,-0.170393,-0.088240,-0.294946,-0.018432,-0.114435,-0.077567,0.262083,-2.669466,-1.334733,False
