date,32.107,32.107_exp_trend,32.107_trend,32.107_0.5yr,32.107_1yr,32.107_3.72yr,32.107_9.06yr,32.107_17.26yr,32.107_model,32.107_noise,32.107_wtest,flagged
1997-05-19,0.000000,0.000000,1.125713,0.026689,0.172594,-0.197599,0.022653,0.126894,1.276944,-1.276944,-0.638472,False
1997-06-02,2.855447,-0.069150,1.126317,0.030648,0.218231,-0.178628,0.029476,0.124132,1.281025,1.574421,0.787211,False
1997-07-01,-0.626808,-0.208523,1.127567,0.017446,0.270487,-0.137041,0.043538,0.118336,1.231808,-1.858617,-0.929308,False
1997-08-15,1.000000,-0.414849,1.129506,-0.024836,0.221429,-0.067919,0.065080,0.109147,1.017559,-0.017559,-0.008779,False
1997-09-09,1.000000,-0.524464,1.130584,-0.029829,0.134294,-0.028052,0.076853,0.103947,0.863333,0.136667,0.068333,False
1997-10-06,-0.327771,-0.638991,1.131747,-0.012146,0.013275,0.015410,0.089372,0.098257,0.696925,-1.024696,-0.512348,False
1997-11-04,1.310941,-0.757691,1.132997,0.017090,-0.119104,0.061805,0.102556,0.092067,0.529720,0.781222,0.390611,False
1997-12-10,2.000000,-0.899070,1.134549,0.029635,-0.239924,0.117761,0.118484,0.084276,0.345711,1.654289,0.827145,False
1998-01-14,0.000000,-1.030441,1.136057,0.003245,-0.272035,0.169049,0.133440,0.076598,0.215913,-0.215913,-0.107956,False
1998-02-04,1.000000,-1.106497,1.136962,-0.017742,-0.244599,0.197780,0.142134,0.071945,0.179984,0.820016,0.410008,False
1998-03-06,1.000000,-1.211677,1.138255,-0.030568,-0.152326,0.235524,0.154158,0.065244,0.198609,0.801391,0.400695,False
1998-04-10,-1.000000,-1.329413,1.139764,-0.008673,0.003195,0.273783,0.167551,0.057353,0.303560,-1.303560,-0.651780,False
1998-05-05,-1.000000,-1.410352,1.140841,0.016649,0.116981,0.296776,0.176667,0.051673,0.389236,-1.389236,-0.694618,False
1998-06-01,0.487947,-1.494918,1.142005,0.030595,0.215362,0.317143,0.186065,0.045503,0.441754,0.046193,0.023096,False
1998-07-01,0.548287,-1.585531,1.143298,0.017446,0.270487,0.333963,0.195931,0.038609,0.414203,0.134084,0.067042,False
1998-08-01,0.485547,-1.675594,1.144634,-0.013670,0.253328,0.344591,0.205457,0.031449,0.290194,0.195353,0.097677,False
1998-09-01,0.315928,-1.762170,1.145970,-0.030638,0.165724,0.348140,0.214270,0.024259,0.105555,0.210373,0.105186,False
1998-10-14,-1.000000,-1.876735,1.147823,-0.004031,-0.024346,0.341233,0.225259,0.014248,-0.176548,-0.823452,-0.411726,False
1998-11-06,1.000000,-1.935485,1.148814,0.018801,-0.127507,0.331971,0.230524,0.008882,-0.323998,1.323998,0.661999,False
1998-12-04,-0.000000,-2.004721,1.150021,0.030621,-0.225118,0.315640,0.236339,0.002343,-0.494876,0.494876,0.247438,False
1999-01-05,-0.000000,-2.080882,1.151400,0.012388,-0.273076,0.290515,0.242165,-0.005132,-0.662622,0.662622,0.331311,False
1999-02-02,-1.000000,-2.145022,1.152607,-0.015979,-0.248663,0.263293,0.246529,-0.011669,-0.758905,-0.241095,-0.120548,False
1999-03-02,0.000000,-2.206915,1.153814,-0.030611,-0.167590,0.231657,0.250195,-0.018197,-0.787647,0.787647,0.393824,False
1999-04-06,-0.000000,-2.281238,1.155322,-0.012629,-0.015626,0.186719,0.253781,-0.026336,-0.740006,0.740006,0.370003,False
1999-05-04,-1.500000,-2.338356,1.156529,0.015753,0.112709,0.147188,0.255843,-0.032824,-0.683157,-0.816843,-0.408421,False
1999-06-01,-1.000000,-2.393471,1.157736,0.030595,0.215362,0.105190,0.257181,-0.039287,-0.666694,-0.333306,-0.166653,False
1999-07-13,0.000000,-2.472544,1.159546,0.005854,0.272982,0.039115,0.257823,-0.048923,-0.786146,0.786146,0.393073,False
1999-08-17,-0.158949,-2.535280,1.161055,-0.026015,0.215774,-0.017180,0.257104,-0.056887,-1.001429,0.842480,0.421240,False
1999-09-14,-1.790200,-2.583494,1.162261,-0.028170,0.113319,-0.061963,0.255710,-0.063210,-1.205545,-0.584654,-0.292327,False
1999-10-07,-1.000000,-2.621831,1.163253,-0.011170,0.008572,-0.098006,0.254024,-0.068366,-1.373523,0.373523,0.186762,False
1999-11-02,-1.000000,-2.663836,1.164373,0.015298,-0.110560,-0.137392,0.251534,-0.074152,-1.554736,0.554736,0.277368,False
1999-12-07,-3.000000,-2.718229,1.165882,0.030289,-0.232832,-0.187177,0.247214,-0.081861,-1.776713,-1.223287,-0.611643,False
2000-01-05,-2.000000,-2.761495,1.167131,0.012398,-0.273073,-0.224754,0.242807,-0.088171,-1.925157,-0.074843,-0.037421,False
