date,60.042,60.042_exp_trend,60.042_trend,60.042_0.5yr,60.042_1yr,60.042_6.45yr,60.042_17.57yr,60.042_model,60.042_noise,60.042_wtest,flagged
1997-05-19,,0.000000,-2.838752,0.091797,0.060048,0.366182,1.876902,-0.443823,,,False
1997-06-02,-1.000000,-0.343546,-2.833026,0.126576,0.045960,0.372755,1.878401,-0.752881,-0.247119,-0.123560,False
1997-07-01,,-1.041767,-2.821166,0.105476,0.009429,0.384704,1.880382,-1.482942,,,False
1997-08-15,-3.000000,-2.090317,-2.802762,-0.080326,-0.048317,0.398664,1.880450,-2.742608,-0.257392,-0.128696,False
1997-09-09,-2.000000,-2.655035,-2.792537,-0.133677,-0.070131,0.403948,1.878908,-3.368525,1.368525,0.684262,False
1997-10-06,-1.637303,-3.251045,-2.781495,-0.087168,-0.079258,0.407635,1.875977,-3.915355,2.278051,1.139026,False
1997-11-04,-3.064356,-3.875523,-2.769634,0.038316,-0.070353,0.409237,1.871366,-4.396590,1.332234,0.666117,False
1997-12-10,-6.000000,-4.628748,-2.754911,0.133865,-0.036051,0.407818,1.863542,-5.014484,-0.985516,-0.492758,False
1998-01-14,-5.000000,-5.338376,-2.740596,0.053054,0.010307,0.402832,1.853713,-5.759067,0.759067,0.379533,False
1998-02-04,-6.000000,-5.753712,-2.732008,-0.041618,0.037440,0.398150,1.846768,-6.244979,0.244979,0.122489,False
1998-03-06,-7.000000,-6.333804,-2.719738,-0.130689,0.067061,0.389298,1.835492,-6.892380,-0.107620,-0.053810,False
1998-04-10,-8.000000,-6.991378,-2.705424,-0.074306,0.079211,0.375822,1.820334,-7.495741,-0.504259,-0.252129,False
1998-05-05,-8.000000,-7.448747,-2.695199,0.036101,0.070665,0.364182,1.808194,-7.864804,-0.135196,-0.067598,False
1998-06-01,-8.871077,-7.931459,-2.684157,0.124990,0.047065,0.349792,1.793866,-8.299903,-0.571174,-0.285587,False
1998-07-01,-9.440415,-8.454438,-2.671887,0.105476,0.009429,0.331678,1.776473,-8.903268,-0.537147,-0.268573,False
1998-08-01,-10.024730,-8.980444,-2.659209,-0.021468,-0.031921,0.310729,1.756889,-9.625424,-0.399307,-0.199653,False
1998-09-01,-10.627917,-9.492202,-2.646530,-0.126194,-0.064393,0.287654,1.735685,-10.305980,-0.321937,-0.160968,False
1998-10-14,-11.000000,-10.179190,-2.628944,-0.056212,-0.078728,0.252425,1.703626,-10.987023,-0.012977,-0.006489,False
1998-11-06,-11.000000,-10.536046,-2.619538,0.047059,-0.069054,0.232188,1.685233,-11.260158,0.260158,0.130079,False
1998-12-04,-12.000000,-10.960780,-2.608086,0.129883,-0.043138,0.206378,1.661688,-11.614056,-0.385944,-0.192972,False
1999-01-05,-11.000000,-11.433463,-2.594999,0.088041,-0.001945,0.175478,1.633249,-12.133639,1.133639,0.566819,False
1999-02-02,-12.000000,-11.836211,-2.583547,-0.032758,0.035013,0.147384,1.607047,-12.663071,0.663071,0.331536,False
1999-03-02,-15.000000,-12.229092,-2.572096,-0.125400,0.063993,0.118468,1.579636,-13.164491,-1.835509,-0.917755,False
1999-04-06,-14.000000,-12.706685,-2.557781,-0.088907,0.079241,0.081411,1.543703,-13.649017,-0.350983,-0.175491,False
1999-05-04,-13.500000,-13.078240,-2.546330,0.031638,0.071273,0.051240,1.513648,-13.956771,0.456771,0.228386,False
1999-06-01,-13.000000,-13.440692,-2.534878,0.124990,0.047065,0.020782,1.482453,-14.300281,1.300281,0.650141,False
1999-07-13,-14.000000,-13.967789,-2.517701,0.063433,-0.006916,-0.025069,1.433578,-15.020465,1.020465,0.510232,False
1999-08-17,-15.000000,-14.392301,-2.503387,-0.087513,-0.050452,-0.063063,1.390990,-15.705725,0.705725,0.352863,False
1999-09-14,-16.076071,-14.722559,-2.491935,-0.133242,-0.073049,-0.093077,1.355740,-16.158122,0.082051,0.041026,False
1999-10-07,-15.000000,-14.987782,-2.482529,-0.083614,-0.079274,-0.117351,1.326020,-16.424529,1.424529,0.712264,False
1999-11-02,-16.000000,-15.281163,-2.471895,0.029392,-0.071569,-0.144253,1.291614,-16.647873,0.647873,0.323937,False
1999-12-07,-17.000000,-15.665577,-2.457581,0.132581,-0.039648,-0.179348,1.243979,-16.965595,-0.034405,-0.017203,False
2000-01-05,-18.000000,-15.975186,-2.445725,0.088079,-0.001960,-0.207245,1.203414,-17.338623,-0.661377,-0.330688,False
2000-02-16,-18.000000,-16.409716,-2.428594,-0.088813,0.050845,-0.245321,1.143099,-17.978502,-0.021498,-0.010749,False
2000-03-14,-20.000000,-16.680640,-2.417582,-0.133541,0.072673,-0.268209,1.103301,-18.323998,-1.676002,-0.838001,False
2000-04-11,-18.000000,-16.954836,-2.406162,-0.067561,0.079082,-0.290481,1.061220,-18.578739,0.578739,0.289369,False
2000-05-09,-19.000000,-17.222315,-2.394742,0.056196,0.067568,-0.311141,1.018343,-18.786089,-0.213911,-0.106955,False
